time,heart_rate,Stage
0,0.20652173913043478,Calibration (20s)
1,0.21739130434782608,Calibration (20s)
2,0.21739130434782608,Calibration (20s)
3,0.1956521739130435,Calibration (20s)
4,0.1956521739130435,Calibration (20s)
5,0.1956521739130435,Calibration (20s)
6,0.1956521739130435,Calibration (20s)
7,0.1956521739130435,Calibration (20s)
8,0.1956521739130435,Calibration (20s)
9,0.1956521739130435,Calibration (20s)
10,0.1956521739130435,Calibration (20s)
11,0.1956521739130435,Calibration (20s)
12,0.1956521739130435,Calibration (20s)
13,0.1956521739130435,Calibration (20s)
14,0.1956521739130435,Calibration (20s)
15,0.1956521739130435,Calibration (20s)
16,0.2826086956521739,Calibration (20s)
17,0.21739130434782608,Calibration (20s)
18,0.2391304347826087,Calibration (20s)
19,0.21739130434782608,Calibration (20s)
20,0.1956521739130435,Normal - Watch Video (4 min)
21,0.17391304347826086,Normal - Watch Video (4 min)
22,0.17391304347826086,Normal - Watch Video (4 min)
23,0.1956521739130435,Normal - Watch Video (4 min)
24,0.21739130434782608,Normal - Watch Video (4 min)
25,0.21739130434782608,Normal - Watch Video (4 min)
26,0.2391304347826087,Normal - Watch Video (4 min)
27,0.2391304347826087,Normal - Watch Video (4 min)
28,0.2391304347826087,Normal - Watch Video (4 min)
29,0.21739130434782608,Normal - Watch Video (4 min)
30,0.21739130434782608,Normal - Watch Video (4 min)
31,0.21739130434782608,Normal - Watch Video (4 min)
32,0.21739130434782608,Normal - Watch Video (4 min)
33,0.2608695652173913,Normal - Watch Video (4 min)
34,0.30434782608695654,Normal - Watch Video (4 min)
35,0.31521739130434784,Normal - Watch Video (4 min)
36,0.32608695652173914,Normal - Watch Video (4 min)
37,0.32608695652173914,Normal - Watch Video (4 min)
38,0.32608695652173914,Normal - Watch Video (4 min)
39,0.32608695652173914,Normal - Watch Video (4 min)
40,0.32608695652173914,Normal - Watch Video (4 min)
41,0.34782608695652173,Normal - Watch Video (4 min)
42,0.32608695652173914,Normal - Watch Video (4 min)
43,0.3695652173913043,Normal - Watch Video (4 min)
44,0.32608695652173914,Normal - Watch Video (4 min)
45,0.32608695652173914,Normal - Watch Video (4 min)
46,0.32608695652173914,Normal - Watch Video (4 min)
47,0.32608695652173914,Normal - Watch Video (4 min)
48,0.32608695652173914,Normal - Watch Video (4 min)
49,0.32608695652173914,Normal - Watch Video (4 min)
50,0.32608695652173914,Normal - Watch Video (4 min)
51,0.32608695652173914,Normal - Watch Video (4 min)
52,0.32608695652173914,Normal - Watch Video (4 min)
53,0.32608695652173914,Normal - Watch Video (4 min)
54,0.32608695652173914,Normal - Watch Video (4 min)
55,0.32608695652173914,Normal - Watch Video (4 min)
56,0.13043478260869565,Normal - Watch Video (4 min)
57,0.2391304347826087,Normal - Watch Video (4 min)
58,0.1956521739130435,Normal - Watch Video (4 min)
59,0.21739130434782608,Normal - Watch Video (4 min)
60,0.1956521739130435,Normal - Watch Video (4 min)
61,0.2391304347826087,Normal - Watch Video (4 min)
62,0.2391304347826087,Normal - Watch Video (4 min)
63,0.2391304347826087,Normal - Watch Video (4 min)
64,0.30434782608695654,Normal - Watch Video (4 min)
65,0.21739130434782608,Normal - Watch Video (4 min)
66,0.2391304347826087,Normal - Watch Video (4 min)
67,0.21739130434782608,Normal - Watch Video (4 min)
68,0.21739130434782608,Normal - Watch Video (4 min)
69,0.21739130434782608,Normal - Watch Video (4 min)
70,0.21739130434782608,Normal - Watch Video (4 min)
71,0.2608695652173913,Normal - Watch Video (4 min)
72,0.21739130434782608,Normal - Watch Video (4 min)
73,0.2391304347826087,Normal - Watch Video (4 min)
74,0.21739130434782608,Normal - Watch Video (4 min)
75,0.21739130434782608,Normal - Watch Video (4 min)
76,0.21739130434782608,Normal - Watch Video (4 min)
77,0.21739130434782608,Normal - Watch Video (4 min)
78,0.2391304347826087,Normal - Watch Video (4 min)
79,0.2608695652173913,Normal - Watch Video (4 min)
80,0.2826086956521739,Normal - Watch Video (4 min)
81,0.2826086956521739,Normal - Watch Video (4 min)
82,0.2826086956521739,Normal - Watch Video (4 min)
83,0.2826086956521739,Normal - Watch Video (4 min)
84,0.2826086956521739,Normal - Watch Video (4 min)
85,0.2608695652173913,Normal - Watch Video (4 min)
86,0.2391304347826087,Normal - Watch Video (4 min)
87,0.2391304347826087,Normal - Watch Video (4 min)
88,0.2391304347826087,Normal - Watch Video (4 min)
89,0.2391304347826087,Normal - Watch Video (4 min)
90,0.2391304347826087,Normal - Watch Video (4 min)
91,0.2391304347826087,Normal - Watch Video (4 min)
92,0.2391304347826087,Normal - Watch Video (4 min)
93,0.2391304347826087,Normal - Watch Video (4 min)
94,0.2391304347826087,Normal - Watch Video (4 min)
95,0.2391304347826087,Normal - Watch Video (4 min)
96,0.2391304347826087,Normal - Watch Video (4 min)
97,0.2826086956521739,Normal - Watch Video (4 min)
98,0.30434782608695654,Normal - Watch Video (4 min)
99,0.34782608695652173,Normal - Watch Video (4 min)
100,0.3695652173913043,Normal - Watch Video (4 min)
101,0.391304347826087,Normal - Watch Video (4 min)
102,0.41304347826086957,Normal - Watch Video (4 min)
103,0.41304347826086957,Normal - Watch Video (4 min)
104,0.391304347826087,Normal - Watch Video (4 min)
105,0.358695652173913,Normal - Watch Video (4 min)
106,0.3423913043478261,Normal - Watch Video (4 min)
107,0.32608695652173914,Normal - Watch Video (4 min)
108,0.31521739130434784,Normal - Watch Video (4 min)
109,0.30978260869565216,Normal - Watch Video (4 min)
110,0.30434782608695654,Normal - Watch Video (4 min)
111,0.25,Normal - Watch Video (4 min)
112,0.22282608695652173,Normal - Watch Video (4 min)
113,0.1956521739130435,Normal - Watch Video (4 min)
114,0.17391304347826086,Normal - Watch Video (4 min)
115,0.17391304347826086,Normal - Watch Video (4 min)
116,0.17391304347826086,Normal - Watch Video (4 min)
117,0.17391304347826086,Normal - Watch Video (4 min)
118,0.17391304347826086,Normal - Watch Video (4 min)
119,0.17391304347826086,Normal - Watch Video (4 min)
120,0.17391304347826086,Normal - Watch Video (4 min)
121,0.17391304347826086,Normal - Watch Video (4 min)
122,0.17391304347826086,Normal - Watch Video (4 min)
123,0.17391304347826086,Normal - Watch Video (4 min)
124,0.17391304347826086,Normal - Watch Video (4 min)
125,0.17391304347826086,Normal - Watch Video (4 min)
126,0.17391304347826086,Normal - Watch Video (4 min)
127,0.17391304347826086,Normal - Watch Video (4 min)
128,0.17391304347826086,Normal - Watch Video (4 min)
129,0.17391304347826086,Normal - Watch Video (4 min)
130,0.17391304347826086,Normal - Watch Video (4 min)
131,0.17391304347826086,Normal - Watch Video (4 min)
132,0.17391304347826086,Normal - Watch Video (4 min)
133,0.17391304347826086,Normal - Watch Video (4 min)
134,0.17391304347826086,Normal - Watch Video (4 min)
135,0.17391304347826086,Normal - Watch Video (4 min)
136,0.17391304347826086,Normal - Watch Video (4 min)
137,0.17391304347826086,Normal - Watch Video (4 min)
138,0.21739130434782608,Normal - Watch Video (4 min)
139,0.21739130434782608,Normal - Watch Video (4 min)
140,0.2391304347826087,Normal - Watch Video (4 min)
141,0.2608695652173913,Normal - Watch Video (4 min)
142,0.2826086956521739,Normal - Watch Video (4 min)
143,0.2826086956521739,Normal - Watch Video (4 min)
144,0.2826086956521739,Normal - Watch Video (4 min)
145,0.30434782608695654,Normal - Watch Video (4 min)
146,0.30434782608695654,Normal - Watch Video (4 min)
147,0.32608695652173914,Normal - Watch Video (4 min)
148,0.32608695652173914,Normal - Watch Video (4 min)
149,0.32608695652173914,Normal - Watch Video (4 min)
150,0.32608695652173914,Normal - Watch Video (4 min)
151,0.30434782608695654,Normal - Watch Video (4 min)
152,0.30434782608695654,Normal - Watch Video (4 min)
153,0.2826086956521739,Normal - Watch Video (4 min)
154,0.2608695652173913,Normal - Watch Video (4 min)
155,0.2608695652173913,Normal - Watch Video (4 min)
156,0.2391304347826087,Normal - Watch Video (4 min)
157,0.2608695652173913,Normal - Watch Video (4 min)
158,0.2608695652173913,Normal - Watch Video (4 min)
159,0.2826086956521739,Normal - Watch Video (4 min)
160,0.2608695652173913,Normal - Watch Video (4 min)
161,0.2608695652173913,Normal - Watch Video (4 min)
162,0.2608695652173913,Normal - Watch Video (4 min)
163,0.2608695652173913,Normal - Watch Video (4 min)
164,0.2608695652173913,Normal - Watch Video (4 min)
165,0.2608695652173913,Normal - Watch Video (4 min)
166,0.2608695652173913,Normal - Watch Video (4 min)
167,0.3695652173913043,Normal - Watch Video (4 min)
168,0.391304347826087,Normal - Watch Video (4 min)
169,0.41304347826086957,Normal - Watch Video (4 min)
170,0.391304347826087,Normal - Watch Video (4 min)
171,0.3695652173913043,Normal - Watch Video (4 min)
172,0.34782608695652173,Normal - Watch Video (4 min)
173,0.34782608695652173,Normal - Watch Video (4 min)
174,0.2826086956521739,Normal - Watch Video (4 min)
175,0.2391304347826087,Normal - Watch Video (4 min)
176,0.21739130434782608,Normal - Watch Video (4 min)
177,0.1956521739130435,Normal - Watch Video (4 min)
178,0.1956521739130435,Normal - Watch Video (4 min)
179,0.1956521739130435,Normal - Watch Video (4 min)
180,0.21739130434782608,Normal - Watch Video (4 min)
181,0.1956521739130435,Normal - Watch Video (4 min)
182,0.1956521739130435,Normal - Watch Video (4 min)
183,0.1956521739130435,Normal - Watch Video (4 min)
184,0.1956521739130435,Normal - Watch Video (4 min)
185,0.1956521739130435,Normal - Watch Video (4 min)
