df_hash,22ZHK4.LL4ER7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JMHB
person_label,V30
date_time_start,2025-08-06_11-16-09.652000_+03
date_time_start_unix,1754460969.652
date_time_end,2025-08-06_11-35-16.520000_+03
length_difference_noticed,no

time,battery
13.635,45
23.630,45
33.673,45
43.682,45
53.663,45
63.706,45
73.652,45
83.640,45
93.723,45
103.615,45
113.603,44
123.692,44
133.631,44
143.622,44
153.664,44
163.604,44
173.596,44
183.588,44
193.581,44
203.671,44
213.711,44
223.640,44
233.600,43
243.691,43
253.587,43
263.580,43
273.573,43
283.586,43
293.597,43
303.554,43
313.547,43
323.606,43
333.583,43
343.577,43
353.571,43
363.565,43
373.559,42
383.553,42
393.547,42
403.546,42
413.535,42
423.585,42
433.572,42
443.565,42
453.562,42
463.553,42
473.557,42
483.541,42
493.632,42
503.529,42
513.534,42
523.568,42
533.559,42
543.553,42
553.546,41
563.638,41
573.534,41
583.625,41
593.522,41
603.515,41
613.558,41
623.635,41
633.545,41
643.540,41
653.630,41
663.561,41
673.521,41
683.612,41
693.508,41
703.502,41
713.544,41
723.538,41
733.533,41
743.526,41
753.541,41
763.513,41
773.508,41
783.516,41
793.494,41
803.488,41
813.580,40
823.573,40
833.519,40
843.528,40
853.603,40
863.597,40
873.541,40
883.511,40
893.480,40
903.474,40
1123.445,40
1133.490,40
