df_hash,22ZHK4.LL4ER7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JMHB
person_label,V30
date_time_start,2025-08-06_11-16-09.652000_+03
date_time_start_unix,1754460969.652
date_time_end,2025-08-06_11-35-16.520000_+03
length_difference_noticed,no

time,quality
18.367,69
19.586,71
20.464,71
21.357,72
22.560,72
23.584,72
24.316,74
25.534,70
26.413,58
27.393,47
28.509,48
29.386,50
30.312,51
31.483,52
32.362,58
33.286,68
34.457,75
35.383,80
36.260,77
37.431,73
38.356,78
39.234,45
40.502,46
41.330,47
42.312,39
43.570,37
44.548,27
45.182,26
46.402,31
47.280,41
48.305,39
49.376,37
50.409,37
51.130,32
52.352,0
53.228,0
54.153,0
55.323,0
56.201,0
57.127,44
58.297,32
59.175,22
60.101,0
61.271,18
62.200,25
63.172,34
64.247,52
65.174,72
66.097,72
67.270,75
68.146,74
69.171,75
70.243,75
71.265,74
71.998,71
73.228,71
74.094,68
75.019,71
76.190,71
77.209,73
77.992,77
79.161,76
80.037,76
80.963,65
82.132,50
83.008,57
83.934,46
85.103,46
86.123,44
86.906,49
88.093,56
89.196,62
89.901,65
91.047,70
92.216,78
92.852,79
94.068,75
94.944,76
95.870,77
97.040,78
98.208,69
98.797,40
100.012,36
100.986,29
101.766,31
103.078,26
103.861,24
104.883,0
105.956,0
106.833,0
107.758,51
108.928,42
109.807,40
110.826,43
111.901,44
112.829,49
113.703,67
114.971,50
115.801,25
116.676,27
117.845,25
118.795,21
119.648,24
120.818,23
121.840,53
122.621,52
123.807,55
124.716,60
125.604,62
126.812,65
127.741,61
128.567,65
129.789,71
130.661,73
131.597,76
132.764,74
133.734,76
134.560,80
135.781,46
136.609,24
137.535,18
138.704,18
139.580,27
140.603,30
141.676,34
142.571,36
143.478,30
144.649,35
145.717,0
146.483,0
147.628,30
148.548,20
149.424,22
150.695,28
151.521,55
152.549,57
153.616,58
154.518,58
155.379,68
156.591,72
157.560,77
158.343,77
159.563,74
160.442,66
161.560,72
162.583,72
163.412,58
164.384,59
165.605,63
166.385,61
167.312,57
168.530,64
169.501,64
170.284,75
171.481,76
172.392,54
173.260,0
174.428,28
175.406,0
176.376,0
177.452,0
178.373,0
179.253,28
180.426,26
181.446,33
182.178,31
183.397,22
184.277,33
185.197,35
186.613,30
187.247,24
188.125,27
189.389,18
190.369,21
191.147,0
192.365,25
193.193,24
194.269,29
195.289,33
196.233,38
197.093,57
198.552,64
199.189,64
200.066,64
201.236,69
202.305,69
203.040,67
204.304,17
205.135,0
206.013,26
207.233,0
208.109,0
209.036,0
210.207,25
211.090,0
212.010,22
213.189,50
214.102,57
215.019,24
216.154,33
217.146,25
217.956,28
219.271,0
220.100,0
220.940,45
222.148,42
223.029,44
223.905,46
225.132,44
225.999,46
226.922,37
228.192,30
228.972,34
229.850,0
231.068,18
231.947,0
232.872,0
234.042,0
234.919,0
235.878,0
237.016,0
238.041,0
238.819,20
240.012,25
240.917,45
242.082,58
242.969,57
243.896,29
244.767,26
245.985,28
247.103,44
247.740,0
249.202,0
249.836,0
250.859,0
251.934,41
252.862,50
253.880,60
254.905,58
255.783,71
256.755,75
257.928,71
259.048,76
259.689,41
261.145,0
261.827,0
262.658,0
263.923,0
264.756,0
265.632,27
266.817,50
267.772,40
268.604,40
269.783,49
270.700,50
271.613,49
272.747,50
273.674,76
274.552,75
275.769,70
276.693,74
277.525,75
278.791,54
279.621,31
280.498,0
281.779,2
282.594,11
283.522,36
284.737,44
285.568,0
286.540,0
287.674,18
288.570,0
289.468,0
290.638,30
291.517,33
292.539,30
293.614,0
294.538,22
295.418,23
296.680,16
297.512,0
298.535,21
299.561,18
300.506,0
301.363,0
302.679,26
303.459,44
304.483,50
305.555,55
306.578,59
307.405,62
308.674,57
309.406,62
310.283,70
311.599,69
312.380,59
313.307,51
314.476,51
315.655,49
316.328,40
317.601,44
318.570,17
319.254,0
320.424,0
321.353,0
322.231,0
323.540,0
324.323,14
325.493,26
326.371,28
327.301,32
328.176,25
329.397,27
330.271,31
331.148,33
332.464,26
333.246,23
334.153,0
335.343,0
336.317,0
337.096,0
338.558,0
339.194,27
340.122,32
341.291,23
342.464,32
343.092,2
344.283,20
345.140,0
346.212,3
347.382,0
348.308,0
349.134,0
350.405,0
351.380,8
352.014,0
353.202,0
354.110,0
355.005,0
356.208,10
357.086,19
357.963,7
359.181,42
360.058,38
360.984,37
362.155,29
363.052,36
363.958,32
365.326,29
366.005,33
366.932,43
368.102,0
369.174,0
370.149,0
371.075,0
372.002,30
372.974,0
374.100,5
374.976,0
375.853,9
377.218,13
378.050,0
378.828,0
380.095,0
380.924,0
381.850,0
383.020,26
384.043,27
384.823,35
386.139,0
386.871,0
387.797,25
388.967,0
390.037,0
390.771,15
391.943,0
392.868,0
393.746,30
395.158,31
395.842,39
396.816,0
397.889,29
398.816,19
399.741,36
401.159,0
401.791,0
402.685,0
403.933,0
404.767,2
405.653,28
406.956,22
407.738,33
408.616,41
409.833,10
410.710,4
411.592,1
412.807,0
413.778,22
414.610,47
415.781,66
416.706,61
417.678,42
418.754,44
419.682,16
420.558,26
421.895,25
422.606,26
423.581,28
424.896,35
425.674,35
426.602,28
427.723,0
428.603,35
429.625,43
430.746,45
431.583,36
432.453,29
