df_hash,22ZHK4.LL4ER7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JMHB
person_label,V30
date_time_start,2025-08-06_11-16-09.652000_+03
date_time_start_unix,1754460969.652
date_time_end,2025-08-06_11-35-16.520000_+03
length_difference_noticed,no

time,heart_rate
18.364,94
19.583,91
20.460,90
21.352,90
22.557,90
23.436,90
24.312,90
25.531,90
26.408,90
27.385,90
28.505,90
29.383,90
30.309,90
31.479,90
32.357,89
33.283,88
34.453,87
35.379,86
36.257,85
37.427,85
38.353,84
39.231,84
40.498,84
41.327,84
42.309,84
43.377,84
44.317,84
45.179,82
46.398,83
47.275,82
48.158,82
49.372,82
50.400,82
51.127,82
52.346,82
53.223,82
54.151,82
55.320,82
56.197,82
57.124,84
58.294,83
59.171,83
60.098,83
61.268,83
62.194,83
63.076,86
64.242,86
65.168,87
66.056,87
67.265,88
68.142,88
69.031,88
70.239,88
71.135,88
71.994,88
73.226,88
74.090,88
74.971,88
76.186,88
77.064,88
77.989,88
79.157,88
80.034,88
80.960,88
82.129,88
83.006,87
83.931,87
85.100,87
86.041,88
86.903,89
88.088,89
89.024,89
89.897,89
91.044,88
92.213,87
92.846,86
94.064,86
94.941,85
95.833,86
97.036,86
97.942,86
98.790,85
100.008,85
100.900,85
101.762,85
102.983,85
103.857,85
104.754,85
105.952,85
106.830,85
107.755,86
108.925,86
109.802,85
110.746,85
111.897,84
112.823,84
113.700,84
114.967,84
115.795,84
116.672,84
117.842,84
118.769,84
119.645,84
120.814,84
121.744,83
122.617,84
123.804,84
124.713,85
125.590,84
126.808,84
127.735,84
128.563,84
129.782,83
130.658,83
131.585,83
132.755,83
133.729,83
134.557,83
135.776,83
136.604,83
137.530,83
138.699,83
139.576,83
140.554,83
141.672,80
142.567,81
143.475,80
144.645,81
145.574,80
146.474,80
147.618,77
148.544,78
149.421,77
150.689,77
151.517,80
152.546,81
153.612,82
154.515,83
155.368,84
156.586,85
157.475,86
158.340,87
159.559,87
160.436,87
161.334,87
162.532,86
163.409,86
164.335,86
165.510,87
166.382,87
167.308,87
168.504,86
169.359,85
170.281,84
171.477,83
172.377,82
173.255,82
174.424,82
175.399,82
176.242,82
177.446,82
178.349,82
179.202,82
180.420,82
181.298,84
182.174,80
183.393,82
184.270,77
185.188,76
186.368,77
187.244,77
188.121,76
189.342,76
190.366,76
191.143,76
192.362,76
193.190,76
194.265,76
195.286,76
196.230,76
197.090,87
198.275,87
199.186,90
200.063,91
201.233,92
202.176,93
203.037,93
204.255,92
205.132,92
206.010,92
207.229,92
208.106,92
209.032,92
210.202,92
211.080,92
212.006,92
213.175,91
214.053,90
215.008,90
216.149,90
217.143,90
217.952,84
219.142,87
220.065,86
220.926,85
222.145,86
223.025,86
223.899,87
225.118,87
225.995,88
226.877,87
228.094,87
228.969,87
229.846,87
231.065,87
231.943,87
232.869,87
234.039,87
234.916,87
235.875,87
237.012,87
238.039,87
238.816,87
240.008,90
240.912,91
241.794,91
242.959,91
243.886,90
244.763,90
245.982,90
246.871,90
247.737,90
248.989,90
249.833,90
250.716,90
251.929,93
252.858,94
253.687,95
254.902,95
255.780,95
256.730,95
257.925,95
258.821,95
259.683,95
260.874,95
261.729,95
262.653,95
263.842,95
264.749,95
265.627,95
266.797,95
267.741,94
268.600,93
269.770,91
270.697,90
271.606,88
272.744,87
273.670,86
274.548,85
275.766,85
276.647,84
277.521,84
278.741,83
279.618,83
280.495,83
281.776,83
282.591,83
283.517,83
284.691,83
285.565,83
286.494,83
287.663,83
288.565,83
289.465,83
290.635,76
291.512,75
292.491,71
293.608,73
294.535,73
295.412,73
296.588,72
297.508,72
298.406,72
299.556,72
300.501,72
301.359,72
302.676,81
303.456,85
304.338,85
305.552,87
306.431,87
307.325,87
308.534,87
309.403,86
310.280,85
311.501,85
312.377,84
313.303,85
314.473,85
315.649,84
316.280,84
317.596,85
318.326,84
319.250,84
320.420,84
321.347,84
322.225,84
323.397,84
324.320,84
325.211,83
326.368,82
327.295,82
328.171,82
329.390,77
330.267,81
331.145,81
332.380,80
333.241,80
334.147,80
335.338,80
336.313,80
337.093,80
338.400,80
339.189,80
340.115,82
341.285,80
342.458,80
343.089,80
344.272,80
345.137,80
346.077,80
347.236,80
348.163,80
349.102,80
350.209,80
351.184,80
352.011,80
353.198,80
354.107,80
355.002,80
356.203,80
357.081,80
357.958,80
359.177,80
360.055,80
360.981,73
362.151,71
363.049,65
363.955,62
365.323,64
366.002,58
366.928,54
368.098,56
369.075,57
369.910,56
371.072,55
371.999,55
372.925,55
374.095,55
374.972,55
375.850,55
377.084,55
378.047,55
378.824,55
380.092,55
380.920,55
381.846,55
383.016,55
383.914,55
384.820,55
385.993,55
386.868,55
387.794,53
388.964,53
389.856,53
390.768,53
391.938,53
392.864,53
393.742,53
395.155,53
395.838,53
396.719,53
397.885,53
398.812,53
399.691,62
401.155,58
401.785,57
402.682,57
403.885,57
404.760,57
405.637,57
406.869,57
407.733,58
408.610,54
409.829,55
410.707,55
411.585,55
412.803,54
413.684,54
414.559,54
415.777,68
416.658,76
417.586,69
418.751,77
419.632,74
420.555,74
421.880,73
422.602,73
423.577,73
424.702,74
425.641,74
426.516,73
427.687,73
428.599,63
429.481,66
430.649,60
431.572,57
432.450,59
