df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,rr_int
10.778,4040
11.074,1435
11.268,450
11.364,200
12.728,790
12.732,520
12.879,10
13.021,15
13.316,315
13.319,305
13.558,185
13.561,10
14.684,325
15.461,765
15.474,810
16.190,10
16.193,815
16.486,10
17.071,205
17.945,655
18.725,815
19.553,810
20.236,845
21.065,730
21.894,785
22.186,830
22.190,355
22.342,10
22.381,10
22.385,15
22.388,15
22.391,10
22.432,15
22.441,15
22.447,10
22.450,10
22.478,15
22.482,10
22.485,15
22.530,15
22.725,20
23.554,340
24.282,760
24.285,805
25.258,10
26.086,885
26.915,825
27.773,880
28.576,890
29.549,870
30.377,875
31.352,945
32.180,925
33.155,885
34.328,940
34.959,940
36.134,920
36.372,925
36.377,395
36.909,15
37.737,540
37.742,835
38.566,10
39.590,890
40.396,895
41.102,895
41.249,650
42.329,250
43.247,910
44.124,1005
44.130,950
44.398,10
44.416,280
44.442,10
46.080,700
46.903,995
47.342,865
47.780,320
48.722,550
49.438,845
50.271,790
50.949,750
51.779,735
53.015,925
53.874,1015
54.853,1005
55.678,955
56.507,920
57.335,810
58.213,835
59.484,900
60.122,970
61.089,975
62.067,930
62.795,840
63.770,860
63.779,950
64.698,10
65.574,965
66.405,930
66.654,845
67.235,200
68.207,640
69.035,910
69.913,855
70.937,870
71.826,935
72.692,930
73.524,860
74.448,890
75.299,900
76.104,870
77.128,840
77.372,950
78.055,305
78.785,670
79.745,835
80.687,965
81.420,880
82.262,765
83.083,820
83.909,880
84.879,860
85.854,960
86.683,905
86.690,835
87.512,10
88.486,870
89.315,915
89.320,920
90.169,10
91.123,840
92.094,935
92.825,950
93.752,800
94.726,865
94.730,870
94.874,200
94.882,60
94.886,15
94.931,10
94.943,10
94.971,25
94.974,45
95.019,15
95.458,10
96.214,430
96.217,795
97.116,10
98.093,935
98.188,990
99.099,10
99.748,905
100.616,820
100.869,830
101.405,160
102.234,600
102.966,800
103.943,820
104.775,865
105.363,830
105.513,585
105.601,10
106.429,300
106.475,895
107.402,10
108.231,875
108.913,855
109.888,800
109.942,870
110.110,10
111.304,170
111.984,1270
112.276,740
112.281,235
112.818,15
113.700,565
113.934,830
113.938,215
113.985,25
113.989,20
114.474,25
115.299,515
116.136,830
116.909,850
116.913,710
117.008,15
117.883,10
117.954,955
118.079,255
118.089,10
118.224,140
118.370,135
118.378,15
118.519,10
118.712,185
118.716,10
118.811,210
118.820,10
120.370,1355
120.860,235
121.588,465
122.417,825
123.246,800
124.075,780
124.220,830
124.232,200
124.272,10
124.278,10
124.376,10
124.908,35
125.086,560
125.605,215
126.414,540
126.574,820
127.145,210
127.243,590
128.121,10
128.124,855
128.803,10
129.388,675
129.391,665
129.682,10
129.689,280
130.071,10
130.753,370
131.435,735
132.284,710
132.557,770
132.571,285
132.733,10
133.093,160
133.922,365
134.907,875
135.872,930
136.506,1010
136.996,585
136.999,220
137.140,35
138.017,480
138.658,730
139.733,770
139.739,980
140.405,10
141.186,695
142.063,900
142.843,830
143.818,800
144.796,895
145.479,875
146.304,875
147.133,835
148.010,830
148.790,840
149.765,845
150.646,940
151.472,910
152.449,840
153.422,1010
153.958,985
154.251,515
155.909,290
156.309,1670
156.786,440
157.419,430
157.907,725
157.912,365
158.105,10
158.932,320
159.080,710
159.808,10
160.784,845
161.710,1015
162.685,1005
163.660,1000
164.537,930
164.591,910
165.710,10
166.292,905
167.169,820
167.413,835
167.417,330
167.465,30
167.852,250
167.855,115
167.859,15
168.681,15
169.071,865
169.217,330
169.510,170
170.338,260
171.178,855
171.996,840
172.971,910
173.800,885
174.872,890
175.604,935
176.481,890
177.309,850
177.315,830
177.561,10
178.188,230
178.870,555
179.663,805
179.942,835
180.624,225
180.771,630
181.456,195
182.428,740
183.404,955
184.338,975
184.344,845
185.893,15
186.864,1720
187.911,915
188.672,925
189.789,895
190.228,1190
190.332,385
191.057,10
191.886,865
193.836,755
195.494,2040
196.615,1660
197.589,1115
198.272,1015
198.565,645
198.663,330
198.957,190
200.271,715
201.056,780
201.344,750
201.588,285
203.161,305
203.684,1380
204.512,695
205.381,825
206.170,825
206.998,855
207.291,840
207.294,260
207.733,10
208.413,475
209.095,675
210.615,655
212.313,1575
213.290,1715
214.653,850
215.481,1575
216.165,750
216.459,755
216.602,300
216.606,10
216.895,375
216.898,10
218.406,775
219.235,795
220.064,820
220.897,870
221.185,850
221.204,230
221.234,10
221.237,10
221.240,10
221.332,10
221.335,10
221.338,10
221.771,30
222.696,515
224.256,855
225.231,1660
225.234,875
225.329,10
225.475,205
225.478,45
226.742,10
226.747,1250
228.256,10
229.131,1550
229.862,825
230.642,770
230.991,850
231.373,305
231.378,340
231.381,10
231.384,10
231.472,110
232.693,1260
232.738,10
232.742,10
232.746,10
232.787,15
232.791,10
232.794,10
233.136,10
233.275,405
233.342,185
235.225,995
235.230,925
235.380,10
236.200,15
237.029,915
238.006,930
238.985,895
239.268,990
239.825,305
240.782,585
241.611,910
242.735,930
243.562,940
243.707,890
243.711,165
243.756,20
243.768,30
