df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,spo2
92.097,94
93.756,94
98.191,94
105.503,94
106.478,94
109.895,94
116.917,94
126.709,93
129.437,94
146.308,94
148.839,94
153.962,94
164.541,94
164.637,94
207.002,94
239.368,94
251.073,93
252.055,94
268.765,94
268.828,94
271.251,94
271.305,95
287.391,95
287.761,95
305.964,96
306.648,96
310.791,96
318.738,95
319.420,95
332.924,95
343.113,95
351.792,94
369.584,94
374.557,95
383.916,94
396.007,95
402.002,95
402.685,95
404.198,96
421.995,96
443.246,96
