df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,quality
9.418,100
10.394,100
11.514,100
12.391,0
13.268,0
14.487,0
15.365,0
16.292,55
17.753,68
18.338,66
19.216,72
20.437,75
21.312,63
22.337,57
23.509,46
24.335,45
25.212,44
26.382,56
27.500,71
28.186,71
29.405,83
30.269,84
31.205,76
32.378,75
33.208,77
34.182,86
35.329,86
36.229,85
37.107,77
38.280,74
39.253,67
40.082,71
41.592,72
42.323,67
43.093,68
44.369,54
45.150,48
46.074,51
47.246,65
48.125,69
49.002,57
50.266,53
51.142,45
51.978,53
53.247,48
54.075,37
54.949,47
56.172,62
57.048,71
58.021,62
59.146,64
60.114,70
60.948,66
62.454,72
62.993,76
63.919,68
65.430,69
66.113,68
66.895,68
68.117,71
68.991,71
70.162,70
71.086,75
71.963,80
73.084,74
74.060,72
74.937,75
75.815,76
77.082,76
77.911,71
78.837,61
80.018,63
80.887,59
81.811,49
83.075,42
83.904,50
84.785,51
85.955,43
87.124,46
87.758,58
88.957,57
90.052,57
90.830,65
91.913,70
92.925,74
93.707,58
94.983,57
95.802,51
96.680,50
97.851,53
99.067,47
99.703,43
100.824,47
101.847,58
102.627,46
103.848,63
104.769,67
105.848,65
106.820,52
107.723,47
108.574,48
109.795,53
110.674,53
111.598,51
112.813,25
113.743,28
114.668,33
116.131,31
116.622,42
117.547,65
118.791,46
119.592,45
120.810,35
121.689,37
122.566,40
123.494,51
124.903,58
125.595,63
126.560,63
127.636,67
128.602,69
129.529,68
130.622,48
131.877,37
132.460,55
133.635,47
134.572,37
135.388,40
136.703,38
137.532,42
138.361,31
139.726,27
140.486,31
141.384,35
142.559,40
143.438,53
144.309,62
145.821,63
146.451,72
147.335,82
148.504,76
149.425,78
150.449,73
151.721,72
152.353,74
153.281,74
154.449,63
155.470,68
156.299,48
157.470,35
158.443,31
159.275,23
160.398,32
161.323,33
162.200,50
163.370,53
164.302,73
165.174,81
166.442,74
167.271,68
168.245,55
169.320,51
170.244,49
171.167,50
172.350,49
173.416,47
174.128,61
175.316,62
176.191,73
177.072,67
178.290,65
179.167,54
180.044,57
181.261,65
182.139,69
183.024,64
184.330,54
185.118,55
186.185,41
187.210,41
188.087,40
189.013,38
190.183,0
191.352,0
191.987,31
193.449,33
194.035,0
194.984,0
196.131,0
197.008,39
198.226,0
199.105,0
199.981,33
200.908,0
202.083,31
203.010,33
203.882,22
205.299,26
206.021,25
206.856,23
208.034,0
208.952,51
209.836,30
210.999,29
212.168,20
212.852,22
214.119,31
214.899,42
215.777,40
217.044,50
217.922,29
218.750,40
220.018,41
220.892,34
221.724,32
222.895,53
223.820,50
224.990,38
225.918,48
226.797,28
227.673,6
228.890,19
229.768,16
230.984,0
231.913,0
232.839,0
233.814,41
234.844,30
235.723,0
236.648,30
237.812,33
238.979,50
239.572,61
241.175,57
241.663,56
242.638,55
244.100,59
244.637,56
245.563,51
246.786,55
247.625,65
248.586,74
249.708,75
250.779,81
251.514,70
252.876,45
253.607,28
254.583,0
255.654,0
256.580,2
257.747,2
258.823,7
259.698,33
260.433,48
261.652,69
262.577,66
263.459,57
264.675,59
265.502,58
266.429,55
267.599,64
268.716,71
269.399,70
270.572,77
271.650,82
272.428,76
273.838,62
274.622,59
275.444,57
276.519,63
277.397,38
278.348,30
279.688,28
280.399,35
281.349,39
282.610,44
283.344,51
284.271,48
285.538,52
286.367,56
287.244,56
288.415,53
289.317,43
290.218,33
291.439,29
292.364,28
293.192,36
294.362,40
295.431,52
296.260,56
297.434,46
298.312,49
299.141,43
300.356,43
301.236,41
302.406,45
303.286,50
304.210,56
305.092,68
306.266,64
307.424,68
308.301,71
309.474,70
310.218,68
311.035,63
312.302,41
313.177,30
314.015,0
315.227,24
316.199,31
317.080,41
318.201,64
319.078,69
320.005,58
321.177,50
322.053,34
322.976,30
324.151,31
325.269,38
325.903,44
327.123,57
328.147,42
329.170,24
330.145,22
330.974,0
332.043,0
333.074,0
333.948,65
334.879,73
336.044,77
337.216,71
337.854,55
339.017,53
339.895,50
340.821,42
342.137,44
342.969,49
343.889,54
344.965,52
345.940,42
346.867,46
347.988,32
348.865,0
349.743,35
351.013,36
351.887,35
352.716,62
353.936,67
354.815,67
355.767,60
357.103,41
357.789,35
358.664,35
359.883,29
360.807,0
361.930,27
362.857,42
363.734,36
364.660,0
365.831,0
367.097,0
367.780,36
368.804,54
369.982,73
370.658,55
371.826,48
372.799,66
373.582,55
375.141,55
375.629,58
376.555,66
377.726,62
378.652,67
379.577,59
380.794,56
381.625,52
382.504,45
383.823,49
384.652,40
385.722,35
386.654,0
387.714,39
388.611,42
389.717,49
390.697,49
391.668,49
392.836,63
393.545,45
394.399,47
395.617,52
396.896,25
397.423,0
398.639,36
399.525,37
400.394,40
401.960,40
402.633,60
403.466,63
404.538,61
405.558,59
406.440,67
407.512,67
408.390,50
409.459,42
410.532,52
411.419,43
412.290,32
413.459,37
414.386,36
415.264,38
416.589,32
417.359,0
418.245,0
419.459,31
420.427,0
421.307,0
422.444,26
423.335,32
