df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,omega
92.247,0.719
94.047,0.701
98.483,0.690
105.512,0.701
106.485,0.719
109.941,0.714
116.960,0.725
126.721,0.736
129.444,0.725
146.405,0.725
149.086,0.709
154.018,0.725
164.589,0.709
164.646,0.702
207.054,0.702
239.376,0.709
251.134,0.745
252.342,0.714
268.773,0.690
268.847,0.699
271.259,0.690
271.315,0.681
287.465,0.662
287.778,0.681
305.970,0.642
306.891,0.637
310.840,0.642
318.889,0.662
319.518,0.681
332.976,0.662
343.213,0.681
351.844,0.690
369.685,0.690
374.704,0.681
383.929,0.690
396.057,0.662
402.013,0.681
402.692,0.660
404.249,0.628
422.093,0.620
443.297,0.603
