df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,perfusion_ir
92.243,0.150
93.759,0.150
98.195,0.150
105.507,0.150
106.481,0.140
109.936,0.140
116.957,0.140
126.715,0.140
129.440,0.140
146.402,0.140
148.846,0.140
154.012,0.140
164.585,0.140
164.641,0.140
207.050,0.140
239.372,0.150
251.122,0.150
252.339,0.150
268.769,0.170
268.838,0.170
271.255,0.180
271.311,0.180
287.437,0.180
287.765,0.180
305.967,0.180
306.651,0.180
310.836,0.180
318.882,0.180
319.514,0.180
332.972,0.180
343.209,0.180
351.837,0.180
369.681,0.180
374.699,0.180
383.923,0.180
396.052,0.170
402.008,0.170
402.688,0.170
404.245,0.170
422.088,0.170
443.293,0.160
