df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,ppg_quality
58.255,73
60.275,76
61.285,75
63.305,81
65.325,99
67.345,110
69.355,114
70.365,113
71.375,116
72.385,119
74.405,115
76.425,112
78.445,105
80.465,106
81.475,110
82.485,109
83.495,103
84.505,100
85.515,95
87.535,93
89.555,99
91.575,88
93.595,93
94.605,92
96.625,86
98.645,79
99.655,84
100.665,89
101.665,95
102.675,95
104.695,89
105.705,91
107.725,101
109.745,102
111.765,98
112.775,96
114.795,91
116.815,89
118.835,77
120.855,51
122.875,44
124.895,37
126.915,46
127.925,47
128.935,53
129.945,62
131.965,68
133.975,74
135.995,73
138.015,83
140.035,88
141.045,99
142.055,94
143.065,90
145.085,99
147.105,88
148.115,86
149.125,94
152.155,101
154.175,111
156.195,108
157.205,101
158.215,99
159.225,101
160.235,99
161.245,91
163.265,94
165.285,103
167.305,115
169.325,95
170.335,80
171.345,70
172.355,55
173.365,45
174.375,43
176.395,38
178.415,44
180.435,75
181.445,87
182.455,98
184.475,104
185.485,99
187.505,86
188.515,78
189.525,79
191.545,83
193.565,65
195.585,56
196.595,60
198.615,68
200.635,70
201.645,69
202.655,74
203.665,77
204.675,74
205.685,69
207.705,66
209.725,72
211.745,67
213.765,93
215.785,121
216.795,125
217.805,134
219.825,128
220.835,126
222.855,120
224.875,103
226.895,99
227.905,96
228.915,96
229.925,97
231.945,82
233.965,71
235.985,47
236.995,45
238.005,42
239.015,42
241.035,37
243.055,64
244.065,74
245.075,86
247.095,87
249.115,86
251.135,90
252.145,91
253.155,66
254.165,65
256.185,64
258.205,63
260.225,71
262.245,64
263.255,79
265.275,73
267.295,77
269.315,69
270.325,69
272.345,75
273.355,80
274.365,84
276.385,86
278.405,81
280.425,92
282.445,86
283.455,84
285.475,80
287.495,93
288.505,100
289.515,94
291.535,60
293.555,50
295.575,52
296.585,53
298.605,57
300.625,65
302.645,71
303.655,68
304.665,69
306.685,62
308.705,54
309.715,57
310.725,55
311.735,53
313.755,46
315.775,38
316.785,35
317.795,30
318.805,29
319.815,30
320.825,42
322.845,43
324.865,65
325.875,73
326.885,77
327.895,82
328.905,81
330.925,47
331.935,49
333.955,62
335.975,57
336.985,51
337.995,42
340.015,50
341.025,68
343.045,81
345.065,91
346.075,90
347.085,99
348.095,110
349.105,120
350.115,112
351.125,105
352.135,96
353.145,90
354.155,79
356.175,57
358.195,40
360.215,23
361.225,29
362.235,34
363.245,28
364.255,24
365.265,24
367.285,33
369.305,66
370.315,65
371.325,60
373.345,65
374.355,75
376.375,78
378.395,60
379.405,53
380.415,50
382.435,60
384.455,46
385.465,39
387.485,25
389.505,48
391.525,62
393.545,61
395.565,75
397.585,99
398.595,95
399.605,76
400.615,62
402.635,51
403.645,51
404.655,55
406.675,56
408.695,62
410.715,87
411.725,97
412.735,102
413.745,110
415.765,81
417.785,56
418.795,47
420.815,35
422.835,30
424.855,45
426.875,87
428.895,102
429.905,110
431.925,91
432.935,83
433.945,64
435.965,43
436.975,28
437.985,9
440.005,34
441.015,34
443.035,27
444.045,39
445.055,37
446.065,42
447.075,49
449.095,38
451.115,45
453.135,60
454.145,63
456.165,34
458.185,21
460.205,13
461.215,17
462.225,22
463.235,22
464.245,16
466.265,39
467.275,43
469.295,59
471.315,51
473.335,41
475.355,55
477.375,27
479.395,38
480.405,35
481.415,26
482.425,34
484.445,29
486.465,13
488.485,38
