df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,battery
14.388,47
24.380,47
34.374,47
44.406,47
54.361,47
64.356,47
74.349,47
84.349,47
94.386,47
104.382,47
114.373,47
124.465,47
134.361,47
144.354,47
154.349,47
164.345,47
174.336,47
184.349,47
194.351,47
204.366,47
214.360,47
224.354,47
234.348,47
244.341,47
254.384,47
264.475,47
274.323,47
284.366,46
294.315,46
304.353,46
314.347,46
324.341,46
334.335,46
344.477,46
354.322,46
364.316,46
374.310,46
384.450,46
394.346,46
404.340,46
414.333,46
424.327,46
434.334,46
444.315,46
454.309,46
464.303,46
474.297,46
484.291,46
