df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,acc_mag
5.175,1.040
5.205,1.042
5.235,1.042
5.265,1.052
5.295,1.062
5.325,1.058
5.355,1.053
5.385,1.057
5.415,1.056
5.445,1.038
5.475,1.046
5.505,1.046
5.535,1.044
5.565,1.043
5.595,1.041
5.625,1.037
5.655,1.045
5.685,1.049
5.715,1.045
5.745,1.054
5.775,1.054
5.805,1.046
5.835,1.045
5.865,1.050
5.895,1.043
5.925,1.053
5.955,1.048
5.985,1.048
6.015,1.052
6.045,1.043
6.075,1.043
6.105,1.046
6.135,1.050
6.165,1.049
6.195,1.053
6.225,1.052
6.255,1.039
6.285,1.048
6.315,1.044
6.345,1.048
6.375,1.046
6.405,1.053
6.435,1.055
6.465,1.055
6.495,1.050
6.525,1.041
6.555,1.049
6.585,1.040
6.615,1.046
6.645,1.044
6.675,1.047
6.705,1.052
6.735,1.055
6.765,1.046
6.795,1.044
6.825,1.048
6.855,1.045
6.885,1.050
6.915,1.052
6.945,1.043
6.975,1.047
7.005,1.050
7.035,1.046
7.065,1.050
7.095,1.050
7.125,1.050
7.155,1.046
7.185,1.045
7.215,1.051
7.245,1.043
7.275,1.041
7.305,1.038
7.335,1.057
7.365,1.055
7.395,1.046
7.425,1.057
7.455,1.045
7.485,1.041
7.515,1.045
7.545,1.052
7.575,1.048
7.605,1.049
7.635,1.048
7.665,1.044
7.695,1.054
7.725,1.054
7.755,1.041
7.785,1.038
7.815,1.040
7.845,1.045
7.875,1.040
7.905,1.050
7.935,1.051
7.965,1.040
7.995,1.060
8.025,1.031
8.055,1.056
8.085,1.054
8.115,1.049
8.145,1.043
8.175,1.035
8.205,1.059
8.235,1.009
8.265,1.040
8.295,1.057
8.325,1.055
8.355,1.071
8.385,1.058
8.415,1.058
8.445,1.047
8.475,1.055
8.505,1.032
8.535,1.056
8.565,1.059
8.595,1.047
8.625,1.056
8.655,1.048
8.685,1.044
8.715,1.046
8.745,1.050
8.775,1.048
8.805,1.051
8.835,1.059
8.865,1.048
8.895,1.035
8.925,1.033
8.955,1.049
8.985,1.054
9.015,1.050
9.045,1.047
9.075,1.051
9.105,1.044
9.135,1.042
9.165,1.053
9.195,1.044
9.225,1.046
9.255,1.051
9.285,1.046
9.315,1.042
9.345,1.048
9.375,1.052
9.405,1.040
9.435,1.050
9.465,1.042
9.495,1.051
9.525,1.046
9.555,1.049
9.585,1.046
9.615,1.044
9.645,1.046
9.675,1.051
9.705,1.052
9.735,1.049
9.765,1.051
9.795,1.039
9.825,1.043
9.855,1.048
9.885,1.048
9.915,1.041
9.945,1.039
9.975,1.043
10.005,1.047
10.035,1.042
10.065,1.047
10.095,1.049
10.125,1.048
10.155,1.047
10.185,1.055
10.215,1.042
10.245,1.044
10.275,1.044
10.305,1.051
10.335,1.048
10.365,1.046
10.395,1.046
10.425,1.051
10.455,1.051
10.485,1.044
10.515,1.044
10.545,1.047
10.575,1.046
10.605,1.048
10.635,1.048
10.665,1.044
10.695,1.049
10.725,1.046
10.755,1.042
10.785,1.046
10.815,1.044
10.845,1.043
10.875,1.048
10.905,1.048
10.935,1.040
10.965,1.051
10.995,1.048
11.025,1.045
11.055,1.048
11.085,1.050
11.115,1.042
11.145,1.043
11.175,1.047
11.205,1.049
11.235,1.048
11.265,1.048
11.295,1.050
11.325,1.047
11.355,1.042
11.385,1.044
11.415,1.048
11.445,1.054
11.475,1.048
11.505,1.045
11.535,1.046
11.565,1.046
11.595,1.047
11.625,1.046
11.655,1.049
11.685,1.051
11.715,1.056
11.745,1.044
11.775,1.046
11.805,1.043
11.835,1.046
11.865,1.048
11.895,1.051
11.925,1.044
11.955,1.040
11.985,1.048
12.015,1.042
12.045,1.045
12.075,1.048
12.105,1.051
12.135,1.050
12.165,1.052
12.195,1.052
12.225,1.047
12.255,1.050
12.285,1.050
12.315,1.049
12.345,1.048
12.375,1.045
12.405,1.054
12.435,1.050
12.465,1.052
12.495,1.050
12.525,1.047
12.555,1.040
12.585,1.044
12.615,1.046
12.645,1.048
12.675,1.050
12.705,1.051
12.735,1.048
12.765,1.044
12.795,1.052
12.825,1.047
12.855,1.044
12.885,1.048
12.915,1.049
12.945,1.045
12.975,1.047
13.005,1.054
13.035,1.045
13.065,1.045
13.095,1.045
13.125,1.051
13.155,1.051
13.185,1.047
13.215,1.047
13.245,1.046
13.275,1.048
13.305,1.048
13.335,1.049
13.365,1.048
13.395,1.046
13.425,1.042
13.455,1.048
13.485,1.050
13.515,1.050
13.545,1.051
13.575,1.044
13.605,1.051
13.635,1.046
13.665,1.040
13.695,1.055
13.725,1.051
13.755,1.045
13.785,1.054
13.815,1.046
13.845,1.041
13.875,1.046
13.905,1.057
13.935,1.050
13.965,1.047
13.995,1.043
14.025,1.044
14.055,1.052
14.085,1.047
14.115,1.054
14.145,1.046
14.175,1.048
14.205,1.041
14.235,1.041
14.265,1.041
14.295,1.047
14.325,1.050
14.355,1.048
14.385,1.055
14.415,1.049
14.445,1.043
14.475,1.039
14.505,1.051
14.535,1.046
