df_hash,22ZHK4.PMY16R
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EM1Q
person_label,V41
date_time_start,2025-10-27_13-47-49.203000_+03
date_time_start_unix,1761558469.203
date_time_end,2025-10-27_13-56-02.654000_+03
length_difference_noticed,no

time,heart_rate
9.413,46
10.388,46
11.510,46
12.387,46
13.265,46
14.483,46
15.361,46
16.287,76
17.466,75
18.335,75
19.212,74
20.431,74
21.308,75
22.332,76
23.503,74
24.331,74
25.209,74
26.378,73
27.258,72
28.182,71
29.401,70
30.261,70
31.156,69
32.375,68
33.204,68
34.179,67
35.326,67
36.226,66
37.104,65
38.274,65
39.249,66
40.077,67
41.589,67
42.198,68
43.084,68
44.312,67
45.147,67
46.049,65
47.243,63
48.121,62
48.999,63
50.217,65
51.136,64
51.972,69
53.240,72
54.069,69
54.946,63
56.165,63
57.042,63
58.017,64
59.139,66
60.028,67
60.943,67
62.138,67
62.990,66
63.916,66
65.088,66
66.015,66
66.890,66
68.113,66
68.986,67
70.159,67
71.082,68
71.960,68
72.840,68
74.056,68
74.934,68
75.811,68
77.079,68
77.908,68
78.834,67
80.004,67
80.881,67
81.808,67
82.978,67
83.857,69
84.781,70
85.951,69
86.868,68
87.755,68
88.949,68
89.805,68
90.826,68
91.899,68
92.829,68
93.703,68
94.979,69
95.799,69
96.676,69
97.846,70
98.819,69
99.699,69
100.820,69
101.750,68
102.624,69
103.843,72
104.720,74
105.844,75
106.816,75
107.719,73
108.571,71
109.790,70
110.668,69
111.594,69
112.776,69
113.739,69
114.665,69
116.128,69
116.615,72
117.542,74
118.787,74
119.589,74
120.518,73
121.685,74
122.563,75
123.489,76
124.693,76
125.588,75
126.474,75
127.633,75
128.560,75
129.523,75
130.607,76
131.539,75
132.452,79
133.629,81
134.563,79
135.384,79
136.700,79
137.529,76
138.358,77
139.628,76
140.483,76
141.381,78
142.553,77
143.430,74
144.305,72
145.818,71
146.409,70
147.328,70
148.498,70
149.399,71
150.306,71
151.718,70
152.349,70
153.276,69
154.446,67
155.376,66
156.264,67
157.425,67
158.356,66
159.272,66
160.393,66
161.319,66
162.197,64
163.367,63
164.294,63
165.171,63
166.438,63
167.267,65
168.146,66
169.314,69
170.241,72
171.126,73
172.337,71
173.231,71
174.122,71
175.311,70
176.188,69
177.066,68
178.284,68
179.162,68
180.040,69
181.258,71
182.136,72
183.013,71
184.258,70
185.109,68
185.992,69
187.206,69
188.083,69
189.009,68
190.179,68
191.061,68
191.983,68
193.446,62
194.031,64
194.981,64
196.127,64
197.005,65
197.933,64
199.101,64
199.978,64
200.905,64
202.075,62
203.001,61
203.879,61
205.123,61
206.014,61
206.852,61
208.022,61
208.949,68
209.826,65
210.996,73
211.925,69
212.849,68
213.983,70
214.896,70
215.773,71
216.946,73
217.918,72
218.747,76
220.015,79
220.843,77
221.721,76
222.891,74
223.817,72
224.764,73
225.865,72
226.791,72
227.668,72
228.887,72
229.765,72
230.646,72
231.910,72
232.836,72
233.619,68
234.835,68
235.713,69
236.639,68
237.809,67
238.761,67
239.564,65
240.806,64
241.660,65
242.635,66
243.877,66
244.634,66
245.560,67
246.782,68
247.612,70
248.539,72
249.704,73
250.635,73
251.507,72
252.785,72
253.604,72
254.579,72
255.651,72
256.577,72
257.459,72
258.727,72
259.598,73
260.429,72
261.647,71
262.574,70
263.451,72
264.628,73
265.499,73
266.403,73
267.595,72
268.476,71
269.350,71
270.569,71
271.644,70
272.422,70
273.546,72
274.619,74
275.325,76
276.516,78
277.394,76
278.345,76
279.497,76
280.393,76
281.343,72
282.467,71
283.341,71
284.268,71
285.535,72
286.364,74
287.241,75
288.411,76
289.314,75
290.215,75
291.435,75
292.360,75
293.189,75
294.359,72
295.335,71
296.173,72
297.431,73
298.267,74
299.136,74
300.308,75
301.233,75
302.133,76
303.280,77
304.206,78
305.086,77
306.254,77
307.185,76
308.061,76
309.232,75
310.203,75
311.031,75
312.299,75
313.129,75
314.006,75
315.224,75
316.148,75
316.980,81
318.198,83
319.075,82
320.002,81
321.172,80
322.049,80
322.927,80
324.145,80
325.025,82
325.900,84
327.119,85
328.143,86
328.998,85
330.142,85
330.970,85
331.899,85
333.070,85
333.945,85
334.871,84
336.040,84
337.213,83
337.844,83
339.014,82
339.892,82
340.818,81
341.999,81
342.963,81
343.840,82
344.962,82
345.937,81
346.863,81
347.984,81
348.862,81
349.739,81
351.007,80
351.884,78
352.713,76
353.932,75
354.809,74
355.762,72
356.933,73
357.783,73
358.661,73
359.879,72
360.757,72
361.703,72
362.853,62
363.731,57
364.657,61
365.827,62
366.706,61
367.632,65
368.801,68
369.978,69
370.654,70
371.777,72
372.662,74
373.578,74
374.838,74
375.626,73
376.552,73
377.722,74
378.648,74
379.526,72
380.745,71
381.622,70
382.499,70
383.816,69
384.646,69
385.476,69
386.643,69
387.711,73
388.608,76
389.670,80
390.694,82
391.664,82
392.642,84
393.543,83
394.395,83
395.613,82
396.496,82
397.418,82
398.589,82
399.513,82
400.391,84
401.952,85
402.443,87
403.462,87
404.535,87
405.417,87
406.436,86
407.508,85
408.386,86
409.315,85
410.482,87
411.412,85
412.286,85
413.456,85
414.382,85
415.260,84
416.579,84
417.356,84
418.234,84
419.452,90
420.422,86
421.211,87
422.426,82
423.329,81
