df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,acc_mag
4.351,0.956
4.381,0.961
4.411,0.977
4.441,0.962
4.471,0.958
4.501,0.959
4.531,0.963
4.561,0.962
4.591,0.968
4.621,0.958
4.651,0.960
4.681,0.966
4.711,0.962
4.741,0.959
4.771,0.965
4.801,0.960
4.831,0.958
4.861,0.967
4.891,0.964
4.921,0.963
4.951,0.961
4.981,0.956
5.011,0.966
5.041,0.973
5.071,0.957
5.101,0.958
5.131,0.959
5.161,0.960
5.191,0.970
5.221,0.972
5.251,0.958
5.281,0.968
5.311,0.959
5.341,0.959
5.371,0.964
5.401,0.962
5.431,0.962
5.461,0.965
5.491,0.964
5.521,0.968
5.551,0.965
5.581,0.957
5.611,0.973
5.641,0.974
5.671,0.961
5.701,0.961
5.731,0.959
5.761,0.965
5.791,0.970
5.821,0.968
5.851,0.956
5.881,0.964
5.911,0.959
5.941,0.957
5.971,0.966
6.001,0.959
6.031,0.963
6.061,0.960
6.091,0.964
6.121,0.963
6.151,0.968
6.181,0.957
6.211,0.954
6.241,0.974
6.271,0.965
6.301,0.958
6.331,0.963
6.361,0.961
6.391,0.965
6.421,0.965
6.451,0.961
6.481,0.963
6.511,0.968
6.541,0.961
6.571,0.958
6.601,0.958
6.631,0.960
6.661,0.963
6.691,0.964
6.721,0.962
6.751,0.964
6.781,0.962
6.811,0.965
6.841,0.964
6.871,0.966
6.901,0.965
6.931,0.965
6.961,0.962
6.991,0.960
7.021,0.962
7.051,0.960
7.081,0.968
7.111,0.958
7.141,0.969
7.171,0.972
7.201,0.956
7.231,0.957
7.261,0.965
7.291,0.965
7.321,0.970
7.351,0.970
7.381,0.953
7.411,0.966
7.441,0.967
7.471,0.955
7.501,0.960
7.531,0.963
7.561,0.966
7.591,0.961
7.621,0.965
7.651,0.964
7.681,0.964
7.711,0.961
7.741,0.966
7.771,0.966
7.801,0.966
7.831,0.965
7.861,0.958
7.891,0.967
7.921,0.965
7.951,0.963
7.981,0.969
8.011,0.958
8.041,0.965
8.071,0.970
8.101,0.960
8.131,0.958
8.161,0.963
8.191,0.966
8.221,0.969
8.251,0.968
8.281,0.956
8.311,0.965
8.341,0.967
8.371,0.963
8.401,0.960
8.431,0.963
8.461,0.959
8.491,0.965
8.521,0.966
8.551,0.966
8.581,0.966
8.611,0.959
8.641,0.961
8.671,0.967
8.701,0.964
8.731,0.963
8.761,0.965
8.791,0.962
8.821,0.957
8.851,0.959
8.881,0.976
8.911,0.965
8.941,0.958
8.971,0.963
9.001,0.964
9.031,0.962
9.061,0.969
9.091,0.970
9.121,0.957
9.151,0.965
9.181,0.966
9.211,0.959
9.241,0.961
9.271,0.966
9.301,0.957
9.331,0.964
9.361,0.965
9.391,0.959
9.421,0.966
9.451,0.969
9.481,0.964
9.511,0.953
9.541,0.961
9.571,0.975
9.601,0.960
9.631,0.958
9.661,0.962
9.691,0.961
9.721,0.971
9.751,0.972
9.781,0.959
9.811,0.966
9.841,0.967
9.871,0.958
9.901,0.961
9.931,0.960
9.961,0.962
9.991,0.965
10.021,0.964
10.051,0.965
10.081,0.962
10.111,0.969
10.141,0.966
10.171,0.967
10.201,0.969
10.231,0.970
10.261,0.959
10.291,0.958
10.321,0.961
10.351,0.963
10.381,0.974
10.411,0.967
10.441,0.955
10.471,0.973
10.501,0.965
10.531,0.959
10.561,0.960
10.591,0.961
10.621,0.961
10.651,0.967
10.681,0.967
10.711,0.964
10.741,0.963
10.771,0.967
10.801,0.966
10.831,0.957
10.861,0.972
10.891,0.970
10.921,0.957
10.951,0.962
10.981,0.961
11.011,0.964
11.041,0.971
11.071,0.967
11.101,0.958
11.131,0.971
11.161,0.965
11.191,0.958
11.221,0.960
11.251,0.960
11.281,0.965
11.311,0.963
11.341,0.966
11.371,0.963
11.401,0.963
11.431,0.964
11.461,0.967
11.491,0.964
11.521,0.965
11.551,0.965
11.581,0.960
11.611,0.969
11.641,0.964
11.671,0.964
11.701,0.972
11.731,0.961
11.761,0.962
11.791,0.976
11.821,0.959
11.851,0.958
11.881,0.965
11.911,0.960
11.941,0.968
11.971,0.969
12.001,0.956
12.031,0.963
12.061,0.965
12.091,0.964
12.121,0.961
12.151,0.961
12.181,0.960
12.211,0.966
12.241,0.967
12.271,0.962
12.301,0.966
12.331,0.960
12.361,0.964
12.391,0.968
12.421,0.966
12.451,0.960
12.481,0.969
12.511,0.965
12.541,0.962
12.571,0.969
12.601,0.957
12.631,0.960
12.661,0.981
12.691,0.961
12.721,0.958
12.751,0.966
12.781,0.959
12.811,0.965
12.841,0.971
12.871,0.963
12.901,0.963
12.931,0.969
12.961,0.961
12.991,0.962
13.021,0.963
13.051,0.966
13.081,0.963
13.111,0.968
13.141,0.968
13.171,0.962
13.201,0.965
13.231,0.964
13.261,0.966
13.291,0.968
13.321,0.955
13.351,0.967
13.381,0.979
13.411,0.960
13.441,0.958
13.471,0.966
13.501,0.965
13.531,0.969
13.561,0.971
13.591,0.956
13.621,0.966
13.651,0.970
13.681,0.962
13.711,0.962
13.741,0.966
