df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,ppg_med
5.326,583
5.351,670
5.376,809
5.401,884
5.426,854
5.451,823
5.476,904
5.501,1051
5.526,1107
5.551,1016
5.576,919
5.601,970
5.626,1107
5.651,1115
5.676,920
5.701,714
5.726,703
5.751,805
5.776,732
5.801,385
5.826,23
5.851,-78
5.876,-30
5.901,-213
5.926,-752
5.951,-1306
5.976,-1514
6.001,-1521
6.026,-1819
6.051,-2569
6.076,-3327
6.101,-3626
6.126,-3652
6.151,-4036
6.176,-4980
6.201,-5915
6.226,-6244
6.251,-6206
6.276,-6599
6.301,-7676
6.326,-8713
6.351,-8962
6.376,-8721
6.401,-8994
6.426,-10095
6.451,-11118
6.476,-11124
6.501,-10488
6.526,-10467
6.551,-11451
6.576,-12309
6.601,-11872
6.626,-10610
6.651,-10092
6.676,-10805
6.701,-11343
6.726,-10248
6.751,-8108
6.776,-6886
6.801,-7201
6.826,-7295
6.851,-5337
6.876,-2065
6.901,39
6.926,178
6.951,576
6.976,3564
7.001,8214
7.026,11330
7.051,11853
7.076,12652
7.101,16796
7.126,23091
7.151,27286
7.176,27900
7.201,28778
7.226,32767
7.251,32767
7.276,32767
7.301,32767
7.326,32767
7.351,32767
7.376,32767
7.401,32767
7.426,32767
7.451,32767
7.476,32767
7.501,32767
7.526,32767
7.551,32767
7.576,15018
7.601,-32768
7.626,-32768
7.651,-32768
7.676,-32768
7.701,-32768
7.726,-32768
7.751,-32768
7.776,-32768
7.801,-32768
7.826,-32768
7.851,-32768
7.876,-32768
7.901,-32768
7.926,-32768
7.951,-29938
7.976,-27654
8.001,-27735
8.026,-25221
8.051,-19350
8.076,-14036
8.101,-12253
8.126,-12265
8.151,-10363
8.176,-5864
8.201,-1671
8.226,-122
8.251,-24
8.276,1392
8.301,4647
8.326,7519
8.351,8215
8.376,7695
8.401,8172
8.426,10101
8.451,11763
8.476,11753
8.501,10828
8.526,10723
8.551,11772
8.576,12589
8.601,12062
8.626,10829
8.651,10299
8.676,10724
8.701,10961
8.726,10113
8.751,8750
8.776,8097
8.801,8424
8.826,8785
8.851,8347
8.876,7423
8.901,6912
8.926,7034
8.951,7092
8.976,6470
9.001,5445
9.026,4749
9.051,4589
9.076,4450
9.101,3862
9.126,3020
9.151,2456
9.176,2300
9.201,2144
9.226,1637
9.251,947
9.276,500
9.301,401
9.326,326
9.351,-12
9.376,-505
9.401,-829
9.426,-887
9.451,-910
9.476,-1115
9.501,-1430
9.526,-1615
9.551,-1596
9.576,-1546
9.601,-1655
9.626,-1897
9.651,-2073
9.676,-2036
9.701,-1806
9.726,-1485
9.751,-1136
9.776,-771
9.801,-414
9.826,-113
9.851,107
9.876,278
9.901,433
9.926,564
9.951,638
9.976,657
10.001,675
10.026,737
10.051,828
10.076,889
10.101,890
10.126,863
10.151,833
10.176,756
10.201,665
10.226,580
10.251,506
10.276,427
10.301,337
10.326,244
10.351,154
10.376,57
10.401,-61
10.426,-193
10.451,-313
10.476,-414
10.501,-530
10.526,-698
10.551,-893
10.576,-1022
10.601,-986
10.626,-768
10.651,-450
10.676,-138
10.701,110
10.726,309
10.751,486
10.776,635
10.801,723
10.826,743
10.851,729
10.876,729
10.901,758
10.926,787
10.951,779
10.976,726
11.001,653
11.026,590
11.051,542
11.076,496
11.101,434
11.126,360
11.151,287
11.176,221
11.201,157
11.226,80
11.251,-9
11.276,-97
11.301,-173
11.326,-252
11.351,-364
11.376,-513
11.401,-647
11.426,-679
11.451,-552
11.476,-295
11.501,-2
11.526,238
11.551,406
11.576,539
11.601,662
11.626,753
11.651,773
11.676,728
11.701,671
11.726,652
11.751,667
11.776,668
11.801,624
11.826,552
11.851,486
11.876,430
11.901,354
11.926,242
11.951,120
11.976,20
12.001,-68
12.026,-193
12.051,-368
12.076,-524
12.101,-549
12.126,-393
12.151,-121
12.176,146
12.201,335
12.226,461
12.251,577
12.276,688
12.301,757
12.326,755
12.351,707
12.376,663
12.401,641
12.426,611
12.451,544
12.476,450
12.501,360
12.526,285
12.551,200
12.576,83
12.601,-50
12.626,-169
12.651,-270
12.676,-388
12.701,-539
12.726,-669
12.751,-680
12.776,-517
12.801,-228
12.826,76
12.851,314
12.876,482
12.901,618
12.926,735
12.951,803
12.976,796
13.001,734
13.026,670
13.051,635
13.076,613
13.101,571
13.126,501
13.151,418
13.176,336
13.201,249
13.226,150
13.251,55
13.276,-19
13.301,-88
13.326,-198
13.351,-375
13.376,-566
13.401,-656
13.426,-559
13.451,-293
13.476,30
13.501,307
13.526,505
13.551,660
13.576,801
13.601,910
13.626,950
13.651,922
13.676,875
13.701,857
13.726,873
13.751,891
13.776,875
13.801,821
13.826,742
13.851,652
13.876,560
13.901,475
13.926,401
13.951,328
13.976,230
14.001,96
14.026,-54
14.051,-185
14.076,-284
14.101,-375
14.126,-480
14.151,-580
14.176,-632
14.201,-629
14.226,-633
14.251,-720
14.276,-886
14.301,-1021
14.326,-993
14.351,-766
14.376,-427
14.401,-97
14.426,166
14.451,389
14.476,609
14.501,808
14.526,933
