df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,ppg_quality
57.436,91
58.446,92
60.466,94
62.486,96
64.506,95
66.526,97
68.546,97
71.576,98
73.596,101
75.616,101
77.636,101
79.656,101
82.686,101
84.706,99
86.726,99
88.746,99
89.756,98
91.776,96
93.796,97
95.816,98
97.836,98
99.856,97
101.876,97
102.886,96
103.896,96
104.906,95
106.926,93
108.946,94
110.966,94
112.986,96
115.006,95
116.016,97
118.036,98
119.046,97
120.056,98
122.076,94
123.086,89
124.096,86
125.106,85
126.116,85
127.126,85
129.146,83
131.166,84
133.186,91
135.206,94
136.216,94
137.226,93
138.236,95
140.256,96
142.276,95
144.296,94
146.316,93
148.336,93
149.346,95
150.356,94
151.366,95
153.386,94
154.396,95
155.406,95
156.416,97
157.426,95
159.446,96
160.456,96
162.476,97
164.496,101
165.506,102
166.516,100
168.536,100
170.556,98
171.566,95
173.586,91
175.606,87
177.626,88
178.636,88
180.656,89
181.666,90
182.676,91
183.686,92
184.696,91
185.706,92
186.716,91
188.736,91
190.756,92
192.776,92
193.786,92
195.806,94
196.816,95
197.826,95
198.836,96
199.846,96
201.866,96
202.876,96
203.886,96
204.896,94
206.916,96
208.936,92
210.956,86
212.976,74
213.986,69
214.996,65
216.006,66
217.016,64
218.026,62
220.046,64
222.066,65
224.086,75
226.106,78
229.136,83
230.146,87
231.156,90
233.176,92
235.196,96
237.216,96
238.226,93
239.236,83
241.256,76
242.266,72
244.286,61
246.306,40
247.316,30
248.326,24
250.346,29
252.366,26
253.376,28
254.386,28
255.396,28
256.406,36
257.416,40
258.426,40
259.436,36
261.456,48
263.476,55
264.486,61
265.496,75
266.506,87
268.526,92
270.546,85
272.566,67
274.586,60
275.596,44
277.616,29
278.626,16
279.636,16
281.656,35
283.676,30
285.696,31
287.716,34
288.726,42
290.746,21
292.766,9
294.786,16
295.796,17
296.806,21
298.826,21
299.836,31
301.856,59
302.866,64
303.876,56
305.896,39
307.916,43
309.936,26
311.956,17
313.976,6
314.986,8
315.996,28
317.006,14
318.016,9
319.026,24
321.046,10
323.066,8
324.076,8
325.086,8
327.106,2
329.126,16
331.146,28
332.156,38
333.166,47
336.196,54
338.216,66
340.236,69
342.256,69
344.276,58
346.296,56
349.326,50
351.346,51
353.366,54
355.386,58
356.396,71
357.406,81
358.416,72
360.436,68
362.456,51
364.476,46
366.496,40
367.506,40
368.516,56
369.526,42
370.536,45
373.566,72
375.586,81
376.596,69
377.606,58
379.626,36
381.646,25
383.666,22
384.676,22
385.686,25
386.686,29
388.706,31
389.716,45
390.726,55
392.746,81
394.766,67
396.786,67
397.796,72
399.816,66
401.836,53
402.846,52
403.856,46
405.876,36
407.896,15
409.916,20
411.936,12
413.956,16
414.966,22
415.976,25
416.986,26
419.006,33
421.026,51
423.046,62
425.066,51
427.086,59
428.096,60
430.116,58
431.126,57
432.136,55
434.156,60
436.176,78
438.196,64
440.216,59
441.226,56
443.246,45
445.266,46
447.286,51
449.306,54
450.316,62
452.336,73
453.346,70
454.356,73
456.376,76
458.396,85
459.406,72
460.416,58
462.436,35
464.456,28
466.476,29
467.486,21
468.496,18
470.516,17
471.526,17
472.536,14
473.546,9
475.566,13
476.576,18
477.586,18
479.606,6
481.626,15
482.636,32
484.656,29
485.666,12
488.696,12
490.716,37
492.736,34
494.756,48
495.766,62
