df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,heart_rate
20.484,74
21.404,72
22.584,74
23.504,71
24.335,70
25.554,70
26.432,70
27.358,70
28.528,82
29.703,88
30.335,88
31.502,89
32.675,89
33.305,90
34.480,91
35.356,90
36.279,90
37.449,89
38.375,88
39.259,88
40.520,88
41.349,88
42.522,88
43.445,88
44.327,88
45.200,85
46.453,86
47.302,85
48.180,85
49.393,86
50.368,87
51.151,88
52.367,89
53.244,91
54.219,91
55.343,91
56.218,90
57.147,89
58.314,89
59.460,88
60.118,87
61.288,86
62.214,86
63.100,87
64.263,88
65.191,89
66.065,90
67.276,91
68.162,91
69.063,90
70.209,90
71.141,90
72.044,85
73.232,83
74.112,85
74.987,84
76.205,86
77.083,86
77.961,86
79.179,85
80.070,85
80.934,81
82.153,80
83.060,80
83.958,82
85.131,84
86.105,85
86.931,87
88.126,87
88.978,87
89.909,87
91.083,87
92.000,88
92.878,89
94.097,90
94.974,89
95.852,89
97.022,89
97.970,84
98.901,82
99.996,84
100.922,83
101.799,85
103.023,86
103.895,88
104.836,90
105.992,91
107.113,92
107.747,92
108.966,92
109.843,91
110.720,91
111.954,92
113.115,93
113.708,93
115.011,93
116.037,92
116.717,92
117.954,92
118.765,93
119.690,94
120.861,96
121.738,97
122.664,98
123.835,99
124.712,98
125.935,98
126.809,97
127.755,96
128.615,95
129.782,95
130.718,95
131.586,94
132.756,94
133.977,94
134.560,95
135.788,95
136.656,96
137.538,96
138.752,95
139.631,93
140.507,92
141.726,91
142.603,90
143.481,90
144.702,90
145.577,90
146.503,91
147.686,92
148.551,93
149.494,93
150.893,94
151.524,94
152.746,94
153.623,94
154.552,94
155.424,94
156.594,94
157.523,94
158.400,94
159.574,94
160.507,94
161.399,94
162.542,94
163.481,94
164.349,94
165.566,94
166.442,88
167.374,87
168.538,88
169.662,87
170.299,88
171.518,88
172.390,89
173.316,90
174.490,91
175.364,91
176.289,91
177.804,90
178.337,89
179.263,88
180.440,88
181.319,88
182.237,88
183.407,90
184.350,91
185.211,92
186.382,93
187.309,94
188.238,94
189.403,94
190.281,93
191.171,93
192.401,93
193.255,93
194.135,94
195.351,94
196.523,95
197.206,95
198.349,95
199.202,95
200.084,95
201.298,96
202.176,96
203.107,96
204.272,96
205.150,96
206.115,95
207.246,94
208.127,92
209.049,91
210.220,90
211.100,90
212.023,90
213.193,90
214.073,91
214.997,92
216.168,92
217.124,93
217.980,93
219.141,94
220.067,95
220.945,96
222.118,97
223.041,97
223.924,97
225.092,98
226.015,98
226.958,99
228.113,100
228.999,100
229.872,101
231.091,101
231.962,100
232.840,99
234.058,98
234.936,97
235.862,97
237.034,97
237.935,97
238.839,97
240.104,97
240.890,97
241.810,97
242.984,97
243.859,97
244.783,103
245.953,105
247.075,107
247.760,108
248.936,108
249.805,108
250.731,109
251.901,109
252.827,110
253.705,111
254.973,111
255.801,110
256.703,109
257.848,108
258.814,108
259.701,108
260.874,108
261.748,108
262.626,108
263.865,108
264.722,108
265.605,108
266.821,108
267.696,108
268.580,108
269.801,108
270.673,108
271.597,109
272.766,109
273.671,109
274.597,109
275.744,108
276.642,108
277.547,108
278.717,102
279.640,105
280.517,104
282.078,104
282.614,104
283.491,104
284.661,104
285.587,104
286.465,105
287.635,104
288.561,104
289.439,104
290.610,104
291.544,106
292.412,107
293.640,108
294.509,108
295.387,109
296.605,109
297.482,109
298.360,109
299.583,109
300.801,109
301.336,109
302.799,108
303.430,107
304.309,107
305.575,106
306.404,105
307.331,105
308.500,105
309.378,104
310.315,104
311.474,104
312.351,104
313.277,105
314.447,105
315.622,104
316.251,104
317.444,104
318.300,104
319.236,104
320.398,104
321.346,104
322.200,104
323.369,107
324.303,107
325.172,108
326.391,109
327.269,110
328.146,110
329.365,110
330.245,110
331.120,110
332.343,110
333.216,110
334.147,110
335.318,111
336.190,111
337.116,111
338.286,110
339.164,110
340.090,109
341.260,109
342.137,108
343.064,108
344.256,108
345.111,106
346.037,107
347.207,106
348.134,106
349.012,100
350.181,103
351.114,102
351.985,103
353.155,103
354.086,102
354.959,102
356.129,104
357.061,102
357.932,102
359.239,103
360.029,103
360.929,105
362.125,103
363.100,103
363.880,103
365.489,103
365.976,103
366.854,103
368.073,103
368.950,103
369.853,108
371.050,109
371.924,111
372.850,111
374.020,112
374.897,112
375.876,113
376.994,112
377.871,112
378.797,112
379.974,112
380.899,112
381.771,112
382.941,112
383.867,107
384.745,109
385.915,105
386.867,104
387.719,105
388.889,103
389.825,104
390.695,104
391.862,104
392.789,104
393.666,104
394.885,104
395.764,104
396.646,104
397.859,104
398.740,104
399.614,104
400.833,97
401.713,101
402.587,99
403.806,93
404.684,96
405.563,95
406.780,88
407.658,92
408.584,90
409.754,85
410.631,87
411.558,86
412.728,86
413.605,86
414.531,86
415.701,86
416.653,86
417.505,86
418.675,86
419.606,86
420.479,86
421.941,80
422.577,78
423.459,80
424.623,73
425.647,76
426.426,76
427.645,76
428.523,75
429.424,75
430.619,75
431.509,75
432.374,75
433.593,75
434.470,75
