df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,quality
20.487,54
21.661,56
22.726,61
23.507,59
24.339,51
25.558,44
26.435,26
27.364,30
28.532,74
29.708,75
30.381,76
31.505,78
32.678,77
33.310,77
34.576,78
35.696,75
36.282,65
37.452,61
38.380,64
39.304,62
40.524,64
41.352,74
42.525,77
43.449,57
44.420,29
45.205,38
46.666,37
47.348,27
48.320,40
49.396,71
50.371,78
51.394,77
52.370,76
53.262,80
54.223,76
55.441,57
56.221,59
57.342,78
58.317,79
59.463,69
60.122,67
61.292,68
62.218,58
63.141,61
64.310,80
65.435,81
66.069,73
67.279,73
68.168,60
69.068,47
70.215,36
71.284,39
72.111,54
73.237,46
74.209,28
74.990,33
76.209,62
77.087,79
77.965,35
79.185,29
80.106,33
80.955,55
82.156,44
83.081,38
84.057,50
85.178,65
86.115,76
86.934,80
88.250,81
88.983,77
90.056,78
91.123,71
92.004,60
92.890,63
94.101,74
94.978,49
95.855,22
97.025,25
98.097,46
98.908,46
99.999,30
100.926,33
101.803,54
103.116,70
103.899,77
105.017,82
105.997,78
107.118,73
107.750,51
108.969,48
109.846,62
110.724,60
111.991,58
113.122,76
113.938,71
115.018,67
116.042,70
116.720,64
118.006,65
118.768,74
119.694,71
120.864,62
121.741,64
122.667,69
123.839,69
124.715,68
125.941,63
126.812,63
127.835,71
128.660,75
129.795,76
130.757,79
131.589,76
132.759,75
133.982,64
134.807,69
135.878,77
136.659,78
137.679,72
138.755,54
139.634,57
140.510,74
141.730,81
142.607,81
143.484,80
144.799,73
145.580,68
146.509,73
147.725,84
148.556,81
149.528,79
150.898,81
151.528,80
152.751,79
153.669,78
154.649,78
155.428,78
156.598,78
157.569,79
158.405,79
159.815,81
160.787,81
161.618,81
162.568,80
163.764,47
164.541,29
165.665,29
166.445,44
167.468,45
168.542,40
169.670,66
170.488,76
171.756,81
172.397,84
173.319,83
174.537,80
175.371,75
176.292,65
177.807,70
178.340,78
179.267,84
180.531,78
181.509,75
182.240,67
183.410,66
184.434,74
185.214,77
186.627,80
187.319,79
188.431,76
189.407,77
190.284,79
191.207,77
192.476,76
193.258,79
194.281,80
195.354,80
196.528,80
197.209,79
198.714,80
199.207,80
200.129,81
201.305,80
202.190,78
203.207,80
204.276,81
205.153,76
206.125,66
207.251,59
208.322,69
209.056,78
210.229,78
211.146,67
212.029,58
213.199,58
214.120,58
215.001,61
216.365,66
217.129,75
218.117,74
219.144,71
220.083,81
220.948,84
222.215,78
223.044,80
224.018,79
225.140,76
226.018,80
227.089,77
228.455,79
229.087,77
230.015,80
231.380,76
231.965,75
232.843,70
234.063,70
234.939,69
235.867,59
237.081,59
237.941,47
239.034,0
240.110,26
241.079,0
241.827,0
243.078,0
244.006,0
244.788,31
245.958,31
247.081,32
247.906,43
249.027,49
249.808,53
250.735,41
251.905,61
252.833,61
253.708,54
254.977,54
255.804,47
256.979,60
257.852,51
258.818,42
259.704,47
260.971,53
261.751,48
262.629,47
264.089,38
264.727,33
265.701,26
266.870,24
267.700,30
268.625,40
269.890,55
270.768,63
271.614,75
272.775,67
273.678,50
274.765,49
275.840,43
276.961,31
277.693,33
278.814,45
279.645,35
280.525,26
282.081,41
282.617,41
283.494,44
284.666,46
285.591,29
286.470,46
287.639,36
288.564,35
289.442,32
290.901,34
291.635,43
292.415,43
293.780,53
294.512,54
295.391,59
296.608,59
297.486,47
298.364,56
299.630,55
300.809,43
301.480,44
302.802,45
303.435,58
304.359,51
305.580,58
306.407,63
307.342,44
308.504,37
309.388,42
310.453,31
311.477,35
312.354,36
313.282,45
314.496,38
315.626,23
316.254,29
317.455,30
318.396,25
319.373,26
320.593,19
321.565,22
322.396,24
323.375,30
324.590,41
325.176,45
326.397,59
327.274,56
328.149,63
329.371,65
330.493,68
331.125,67
332.583,74
333.220,70
334.156,71
335.459,68
336.193,63
337.122,61
338.304,59
339.167,64
340.093,58
341.263,70
342.140,60
343.071,45
344.529,46
345.160,46
346.041,35
347.213,0
348.137,0
349.018,38
350.186,24
351.403,26
351.991,38
353.160,37
354.228,12
354.964,0
356.132,32
357.104,0
357.936,0
359.395,44
360.032,39
360.932,35
362.129,32
363.103,29
363.884,0
365.492,0
365.991,0
366.859,0
368.076,16
368.953,19
369.856,38
371.097,47
371.928,39
372.853,42
374.023,47
374.901,53
375.921,57
376.997,29
377.874,17
378.801,0
380.065,21
381.091,16
381.775,0
382.945,21
383.871,30
384.749,0
385.920,33
386.893,32
387.724,28
388.894,35
389.962,33
390.939,49
391.868,53
392.792,74
393.670,39
394.888,0
395.814,0
396.790,0
397.862,1
398.834,4
399.617,35
400.837,38
401.762,40
402.592,30
403.810,37
404.688,0
405.659,25
406.786,31
407.661,25
408.588,35
409.758,33
410.634,30
411.561,15
412.731,27
413.609,25
414.535,24
415.712,23
416.925,37
417.509,35
418.684,36
419.699,39
420.482,25
421.944,36
422.627,32
423.745,23
424.626,28
425.650,21
426.430,22
427.649,21
428.526,22
429.549,28
430.623,32
431.643,0
432.387,27
433.596,30
434.474,36
435.351,26
