df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,omega
29.900,0.594
30.150,0.595
32.399,0.602
33.064,0.610
33.813,0.611
34.479,0.611
35.162,0.613
35.959,0.616
36.578,0.620
37.264,0.623
37.990,0.624
38.577,0.626
39.256,0.628
39.992,0.628
40.828,0.628
41.308,0.628
41.947,0.628
43.062,0.626
45.060,0.625
45.741,0.623
46.449,0.623
47.110,0.626
47.843,0.627
48.530,0.627
49.110,0.627
49.643,0.626
50.326,0.621
51.105,0.621
51.838,0.620
52.127,0.620
52.909,0.619
53.543,0.617
54.325,0.617
55.114,0.617
55.834,0.615
56.324,0.613
57.004,0.613
57.683,0.610
58.759,0.610
59.198,0.609
59.929,0.607
60.460,0.607
61.150,0.607
61.883,0.609
62.514,0.609
63.099,0.610
63.923,0.611
64.373,0.611
64.902,0.612
65.730,0.612
66.169,0.613
66.998,0.616
67.681,0.616
68.413,0.618
69.339,0.618
72.314,0.620
73.092,0.622
73.779,0.624
74.408,0.625
74.944,0.626
75.742,0.626
76.408,0.626
77.382,0.626
79.773,0.626
80.501,0.628
81.278,0.631
81.869,0.631
82.745,0.632
83.137,0.632
83.768,0.632
84.499,0.632
85.086,0.632
85.815,0.632
86.352,0.631
87.132,0.630
87.866,0.631
88.546,0.631
89.129,0.631
89.908,0.630
90.363,0.630
91.080,0.630
91.666,0.630
92.296,0.630
92.990,0.630
93.726,0.629
94.639,0.629
97.740,0.628
98.432,0.628
99.131,0.628
99.905,0.628
100.590,0.628
101.099,0.628
101.708,0.628
102.541,0.627
103.022,0.630
103.610,0.630
104.091,0.627
104.835,0.626
105.465,0.627
106.138,0.627
106.877,0.627
107.704,0.627
108.141,0.627
108.825,0.627
109.528,0.627
110.139,0.627
110.629,0.627
111.312,0.627
111.953,0.626
112.823,0.625
113.558,0.622
113.996,0.618
114.681,0.615
115.223,0.612
115.799,0.608
116.302,0.605
117.064,0.605
117.602,0.608
118.280,0.605
119.064,0.605
119.406,0.601
119.989,0.600
120.526,0.599
121.108,0.602
121.497,0.604
123.598,0.604
124.283,0.604
124.965,0.604
125.644,0.605
126.333,0.604
127.107,0.604
127.450,0.604
128.177,0.602
128.915,0.604
129.405,0.604
130.129,0.604
130.816,0.602
131.445,0.601
131.934,0.602
132.619,0.601
133.153,0.602
133.737,0.602
134.530,0.602
135.010,0.602
135.787,0.602
136.327,0.602
136.964,0.602
137.738,0.602
138.466,0.602
139.099,0.603
139.683,0.603
140.416,0.603
141.098,0.603
142.116,0.603
142.567,0.604
143.095,0.604
143.727,0.604
144.224,0.604
144.960,0.604
145.544,0.606
146.180,0.606
146.815,0.607
147.683,0.607
148.023,0.608
148.858,0.608
149.488,0.609
149.977,0.610
150.655,0.610
151.238,0.610
152.028,0.611
152.508,0.614
153.188,0.617
153.972,0.619
154.551,0.619
155.144,0.620
155.723,0.620
156.369,0.621
157.135,0.621
157.627,0.621
158.327,0.621
159.137,0.621
159.572,0.621
160.109,0.621
160.847,0.621
161.396,0.621
162.064,0.618
163.131,0.616
165.298,0.615
166.060,0.613
166.746,0.613
167.373,0.613
167.911,0.613
168.980,0.611
169.423,0.610
170.108,0.609
170.552,0.609
171.278,0.609
171.916,0.608
172.601,0.608
173.078,0.608
173.761,0.609
174.489,0.609
175.131,0.609
175.951,0.606
176.590,0.606
177.222,0.606
178.058,0.603
178.636,0.602
179.569,0.599
180.001,0.596
180.784,0.596
181.317,0.595
181.804,0.596
182.387,0.596
183.118,0.595
183.702,0.595
184.347,0.596
184.878,0.599
185.560,0.599
186.189,0.599
186.925,0.596
187.606,0.599
188.237,0.599
188.880,0.599
189.554,0.599
190.046,0.596
190.685,0.596
191.362,0.596
192.091,0.596
192.549,0.596
193.213,0.594
193.992,0.596
194.482,0.594
195.013,0.594
195.795,0.594
196.283,0.593
196.976,0.593
197.515,0.591
198.084,0.591
198.781,0.589
199.452,0.591
200.083,0.589
200.574,0.589
201.172,0.589
201.889,0.589
202.380,0.589
203.106,0.589
203.885,0.589
204.567,0.590
205.063,0.593
205.740,0.596
206.424,0.593
210.568,0.597
213.741,0.593
214.906,0.597
215.682,0.598
217.392,0.598
217.976,0.603
219.782,0.603
222.680,0.610
223.923,0.610
224.510,0.612
225.046,0.612
226.315,0.612
226.917,0.610
228.072,0.614
228.702,0.610
229.190,0.619
229.871,0.619
230.701,0.618
231.090,0.639
231.730,0.673
232.505,0.679
232.907,0.679
233.488,0.679
234.311,0.681
234.751,0.664
248.933,0.630
267.170,0.664
268.287,0.664
268.878,0.681
270.483,0.664
270.922,0.682
271.869,0.689
281.694,0.696
293.636,0.696
300.466,0.709
312.552,0.709
312.991,0.722
323.813,0.722
324.253,0.722
