df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,temperature
385.086,36.594
386.062,36.594
387.085,36.625
388.061,36.625
389.084,36.625
390.059,36.594
391.086,36.594
392.205,36.562
393.126,36.531
394.057,36.531
395.080,36.469
396.594,36.406
397.082,36.406
398.103,36.406
399.078,36.406
400.102,36.406
401.372,36.375
402.106,36.438
403.101,36.438
404.099,36.438
405.080,36.469
406.098,36.500
407.126,36.531
408.097,36.531
409.074,36.500
410.118,36.531
411.070,36.562
412.094,36.531
413.069,36.562
414.098,36.594
415.068,36.594
416.100,36.625
417.213,36.594
418.093,36.594
419.065,36.625
420.089,36.625
421.064,36.625
422.109,36.625
423.063,36.594
424.087,36.594
425.064,36.625
426.086,36.625
427.307,36.594
428.086,36.625
429.059,36.594
430.083,36.594
431.058,36.562
432.138,36.562
433.057,36.531
434.081,36.531
435.056,36.500
436.079,36.562
437.103,36.531
438.083,36.531
439.053,36.531
440.077,36.500
441.052,36.500
442.078,36.469
443.051,36.469
444.074,36.469
445.050,36.500
446.073,36.438
447.096,36.438
448.171,36.406
449.106,36.375
450.071,36.375
451.094,36.375
452.069,36.375
453.093,36.375
454.068,36.406
455.093,36.438
456.067,36.438
457.090,36.438
458.088,36.500
459.094,36.531
460.064,36.531
461.088,36.562
462.063,36.594
463.093,36.625
464.062,36.594
465.086,36.594
466.061,36.594
467.085,36.625
468.108,36.594
469.083,36.562
470.058,36.562
471.081,36.531
472.057,36.531
473.081,36.438
474.156,36.406
475.079,36.406
476.054,36.406
477.078,36.438
478.248,36.406
479.077,36.375
480.052,36.375
481.076,36.344
482.051,36.344
483.077,36.375
484.049,36.375
485.076,36.375
486.048,36.344
487.073,36.281
488.101,36.281
489.086,36.281
490.046,36.281
491.070,36.312
492.044,36.312
493.145,36.250
