df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,battery
5.031,51
15.024,51
25.018,51
35.012,51
45.062,51
55.116,51
65.018,51
75.036,51
85.029,51
95.023,51
105.022,51
115.024,51
125.004,51
135.011,51
144.992,51
154.986,51
165.029,51
175.022,51
185.016,51
195.015,51
205.101,50
215.096,50
225.047,50
234.985,50
244.981,50
254.983,50
265.015,50
275.016,50
285.003,50
295.045,50
305.040,50
314.984,50
324.998,50
334.972,50
344.965,50
355.059,50
365.002,50
374.995,50
384.989,50
395.014,50
404.976,50
414.973,50
424.978,50
434.959,50
444.952,50
454.946,50
464.988,50
474.982,50
484.976,50
