df_hash,22ZHK4.566DMF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.FGR3
person_label,v127
date_time_start,2026-04-07_17-16-48.279000_+03
date_time_start_unix,1775564208.279
date_time_end,2026-04-07_17-25-07.622000_+03
length_difference_noticed,no

time,perfusion_ir
29.896,0.520
30.143,0.520
32.392,0.500
33.027,0.520
33.800,0.510
34.475,0.520
35.158,0.520
35.955,0.530
36.574,0.530
37.260,0.530
37.985,0.530
38.573,0.530
39.253,0.530
39.987,0.530
40.821,0.540
41.304,0.550
41.942,0.560
43.058,0.570
45.055,0.580
45.737,0.580
46.437,0.590
47.104,0.590
47.836,0.600
48.524,0.600
49.103,0.600
49.640,0.600
50.322,0.600
51.102,0.590
51.833,0.590
52.123,0.590
52.906,0.590
53.540,0.590
54.319,0.590
55.102,0.590
55.831,0.590
56.318,0.590
57.001,0.590
57.642,0.590
58.756,0.600
59.195,0.600
59.926,0.600
60.450,0.590
61.146,0.580
61.876,0.580
62.509,0.590
63.094,0.590
63.786,0.580
64.367,0.570
64.898,0.570
65.727,0.570
66.165,0.570
66.995,0.570
67.677,0.570
68.408,0.570
69.334,0.570
72.308,0.570
73.088,0.570
73.774,0.570
74.404,0.570
74.941,0.560
75.725,0.560
76.403,0.570
77.378,0.580
79.767,0.580
80.498,0.580
81.182,0.580
81.865,0.580
82.741,0.580
83.134,0.580
83.765,0.580
84.496,0.590
85.081,0.590
85.812,0.580
86.348,0.580
87.128,0.580
87.863,0.580
88.542,0.580
89.125,0.580
89.905,0.580
90.349,0.580
91.074,0.580
91.662,0.580
92.293,0.570
92.985,0.560
93.722,0.560
94.636,0.560
97.734,0.560
98.417,0.560
99.126,0.560
99.901,0.570
100.587,0.560
101.073,0.560
101.705,0.550
102.534,0.560
103.018,0.560
103.606,0.560
104.058,0.560
104.822,0.550
105.458,0.550
106.057,0.550
106.872,0.560
107.701,0.560
108.137,0.570
108.822,0.570
109.506,0.570
110.135,0.570
110.626,0.560
111.308,0.550
111.939,0.550
112.820,0.540
113.554,0.540
113.993,0.550
114.674,0.550
115.209,0.540
115.751,0.540
116.297,0.540
117.061,0.530
117.597,0.540
118.250,0.540
119.060,0.530
119.402,0.530
119.986,0.520
120.522,0.520
121.105,0.500
121.461,0.500
123.594,0.490
124.279,0.490
124.961,0.500
125.641,0.510
126.326,0.510
127.101,0.500
127.445,0.480
128.173,0.480
128.911,0.490
129.401,0.490
130.126,0.490
130.813,0.500
131.442,0.490
131.930,0.490
132.616,0.490
133.150,0.500
133.733,0.500
134.515,0.510
135.005,0.510
135.779,0.510
136.320,0.510
136.954,0.510
137.735,0.510
138.462,0.510
139.095,0.510
139.678,0.520
140.412,0.520
141.095,0.530
141.791,0.530
142.561,0.530
143.091,0.530
143.684,0.530
144.219,0.530
144.950,0.540
145.539,0.550
146.176,0.550
146.798,0.550
147.673,0.550
148.017,0.550
148.853,0.550
149.482,0.550
149.973,0.550
150.650,0.530
151.235,0.530
152.022,0.530
152.502,0.530
153.185,0.530
153.968,0.520
154.547,0.520
155.139,0.520
155.720,0.520
156.351,0.530
157.131,0.530
157.624,0.520
158.310,0.520
159.133,0.520
159.568,0.530
160.105,0.550
160.842,0.550
161.374,0.550
162.058,0.550
163.127,0.550
165.275,0.560
166.055,0.560
166.737,0.560
167.368,0.560
167.907,0.560
168.620,0.560
169.418,0.560
170.101,0.570
170.546,0.570
171.271,0.580
171.910,0.580
172.587,0.580
173.075,0.580
173.757,0.570
174.486,0.570
175.114,0.580
175.814,0.590
176.585,0.590
177.219,0.590
178.050,0.590
178.632,0.590
179.319,0.600
179.997,0.590
180.780,0.580
181.314,0.580
181.801,0.590
182.383,0.580
183.114,0.570
183.607,0.560
184.333,0.550
184.873,0.550
185.556,0.550
186.149,0.550
186.922,0.540
187.602,0.540
188.233,0.540
188.872,0.540
189.458,0.550
190.041,0.540
190.679,0.540
191.359,0.540
192.088,0.540
192.535,0.540
193.209,0.540
193.989,0.530
194.476,0.530
195.010,0.530
195.792,0.530
196.280,0.540
196.973,0.530
197.511,0.530
198.081,0.530
198.772,0.530
199.449,0.540
200.079,0.530
200.570,0.530
201.166,0.530
201.886,0.530
202.376,0.530
203.102,0.530
203.597,0.530
204.328,0.530
205.058,0.530
205.734,0.530
206.418,0.530
210.564,0.530
213.732,0.530
214.902,0.520
215.394,0.510
217.389,0.510
217.971,0.520
219.777,0.520
222.676,0.520
223.918,0.510
224.506,0.490
225.042,0.490
226.310,0.480
226.897,0.480
228.065,0.470
228.699,0.470
229.186,0.460
229.867,0.460
230.697,0.460
231.085,0.460
231.725,0.460
232.501,0.460
232.904,0.460
233.485,0.460
234.305,0.460
234.747,0.460
248.927,0.460
267.166,0.460
268.284,0.460
268.875,0.450
270.477,0.450
270.916,0.440
271.853,0.440
281.690,0.440
293.631,0.430
300.463,0.430
312.549,0.430
312.988,0.420
323.810,0.410
324.249,0.400
