df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,ppg_quality
58.336,55
60.356,41
62.376,52
64.396,62
65.406,61
66.416,61
69.436,74
71.456,74
73.476,72
75.496,82
77.516,79
80.546,82
82.566,73
84.586,68
85.596,68
86.606,66
88.626,65
90.646,78
91.656,83
92.666,90
93.676,90
95.696,84
97.716,86
98.726,84
99.736,80
101.746,75
102.756,71
104.776,72
106.796,74
108.816,77
110.836,85
112.856,94
114.876,90
115.886,88
116.896,90
117.906,88
119.926,102
121.946,104
123.966,109
124.976,111
125.986,113
126.996,114
128.006,118
129.016,109
131.036,99
132.046,100
133.056,97
135.066,94
136.076,91
138.096,89
139.106,89
142.136,82
143.146,82
144.156,82
145.166,82
146.176,83
148.196,85
150.216,86
153.246,85
155.266,85
156.276,83
157.286,80
158.296,79
159.306,78
160.316,79
161.326,80
162.336,85
164.356,93
166.376,92
167.386,92
168.396,92
169.406,94
170.416,94
172.436,88
174.456,80
175.466,77
177.486,73
179.506,66
180.516,65
181.526,68
182.536,69
183.546,71
184.556,72
185.566,71
186.576,71
188.596,76
190.616,77
192.636,74
194.656,73
195.666,77
196.676,81
197.686,86
199.706,86
201.726,88
203.746,93
205.766,98
207.786,98
208.796,98
210.816,101
211.826,104
212.836,95
214.856,75
216.876,71
218.896,63
221.926,76
223.946,88
225.966,88
227.986,69
230.006,48
231.016,35
233.036,22
234.046,23
235.056,25
237.076,18
239.096,39
240.106,37
241.116,44
242.126,49
244.146,38
246.166,45
247.176,46
248.186,43
250.206,48
251.216,40
253.236,43
255.256,57
256.266,63
257.276,65
259.296,63
261.316,73
262.326,67
263.336,65
265.356,66
266.366,65
267.376,69
268.386,73
270.406,76
272.426,92
274.446,81
275.456,70
276.466,69
277.476,64
278.486,60
279.496,57
281.516,59
283.536,50
285.556,45
286.566,33
288.586,22
290.606,14
292.626,25
294.646,47
297.676,56
298.686,60
299.696,64
301.716,39
303.736,24
304.746,20
305.756,24
307.776,37
309.796,37
311.816,47
312.826,41
314.846,32
315.856,23
316.866,15
318.886,22
320.906,21
321.916,27
323.936,56
324.946,54
325.956,57
327.976,59
328.986,50
329.996,62
331.006,59
332.016,54
335.046,48
337.066,48
338.076,55
339.086,67
341.106,49
343.126,43
346.156,56
348.176,71
350.196,57
352.216,75
354.236,73
357.266,52
359.286,43
360.296,47
361.306,50
362.316,37
363.326,31
364.336,29
365.346,25
367.366,29
368.376,15
370.396,14
372.416,16
374.436,30
376.456,35
377.466,44
378.476,61
379.486,64
381.506,63
383.526,65
385.546,60
386.556,54
387.566,41
389.586,41
390.596,35
392.616,16
393.626,11
394.636,17
396.656,32
397.666,45
399.686,49
400.696,56
401.706,67
403.726,80
405.746,73
407.766,69
409.786,43
410.796,29
411.806,24
412.816,18
414.836,16
415.846,11
416.856,1
419.886,3
421.906,22
422.916,27
424.936,27
425.946,31
427.966,50
429.986,56
430.996,81
432.006,79
434.026,81
436.046,100
437.056,101
439.076,94
441.096,80
443.116,78
445.136,57
447.156,38
448.166,55
449.176,53
450.186,53
452.206,39
454.226,53
455.236,55
456.246,61
457.256,67
458.266,67
461.296,73
463.316,82
464.326,88
465.336,98
467.356,98
469.376,99
471.396,98
472.406,97
474.426,99
476.446,90
478.466,78
480.486,69
482.506,67
483.516,58
485.536,49
486.546,50
487.556,62
489.576,54
490.586,45
491.596,39
