df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,acc_mag
16.656,1.029
16.686,1.038
16.716,1.034
16.746,1.034
16.776,1.033
16.806,1.036
16.836,1.036
16.866,1.037
16.896,1.035
16.926,1.031
16.956,1.036
16.986,1.038
17.016,1.031
17.046,1.033
17.076,1.034
17.106,1.034
17.136,1.038
17.166,1.034
17.196,1.032
17.226,1.032
17.256,1.034
17.286,1.039
17.316,1.036
17.346,1.031
17.376,1.032
17.406,1.033
17.436,1.036
17.466,1.035
17.496,1.034
17.526,1.034
17.556,1.033
17.586,1.030
17.616,1.040
17.646,1.033
17.676,1.036
17.706,1.037
17.736,1.035
17.766,1.034
17.796,1.029
17.826,1.033
17.856,1.033
17.886,1.037
17.916,1.033
17.946,1.031
17.976,1.033
18.006,1.039
18.036,1.037
18.066,1.031
18.096,1.036
18.126,1.032
18.156,1.036
18.186,1.033
18.216,1.035
18.246,1.036
18.276,1.032
18.306,1.030
18.336,1.036
18.366,1.036
18.396,1.034
18.426,1.032
18.456,1.036
18.486,1.032
18.516,1.035
18.546,1.035
18.576,1.034
18.606,1.031
18.636,1.034
18.666,1.036
18.696,1.037
18.726,1.035
18.756,1.033
18.786,1.034
18.816,1.037
18.846,1.038
18.876,1.033
18.906,1.031
18.936,1.032
18.966,1.032
18.996,1.037
19.026,1.035
19.056,1.031
19.086,1.036
19.116,1.035
19.146,1.033
19.176,1.036
19.206,1.035
19.236,1.031
19.266,1.035
19.296,1.036
19.326,1.037
19.356,1.037
19.386,1.036
19.416,1.035
19.446,1.030
19.476,1.038
19.506,1.033
19.536,1.034
19.566,1.035
19.596,1.036
19.626,1.034
19.656,1.034
19.686,1.032
19.716,1.033
19.746,1.036
19.776,1.034
19.806,1.032
19.836,1.032
19.866,1.034
19.896,1.035
19.926,1.037
19.956,1.037
19.986,1.034
20.016,1.038
20.046,1.039
20.076,1.034
20.106,1.026
20.136,1.038
20.166,1.032
20.196,1.034
20.226,1.032
20.256,1.033
20.286,1.035
20.316,1.034
20.346,1.028
20.376,1.033
20.406,1.039
20.436,1.037
20.466,1.032
20.496,1.031
20.526,1.036
20.556,1.037
20.586,1.035
20.616,1.035
20.646,1.034
20.676,1.037
20.706,1.035
20.736,1.035
20.766,1.034
20.796,1.030
20.826,1.033
20.856,1.036
20.886,1.034
20.916,1.033
20.946,1.034
20.976,1.035
21.006,1.041
21.036,1.029
21.066,1.033
21.096,1.042
21.126,1.036
21.156,1.033
21.186,1.034
21.216,1.032
21.246,1.036
21.276,1.034
21.306,1.037
21.336,1.034
21.366,1.034
21.396,1.036
21.426,1.041
21.456,1.036
21.486,1.036
21.516,1.033
21.546,1.029
21.576,1.036
21.606,1.035
21.636,1.038
21.666,1.035
21.696,1.035
21.726,1.032
21.756,1.037
21.786,1.035
21.816,1.032
21.846,1.037
21.876,1.033
21.906,1.032
21.936,1.038
21.966,1.035
21.996,1.034
22.026,1.036
22.056,1.034
22.086,1.034
22.116,1.037
22.146,1.036
22.176,1.035
22.206,1.036
22.236,1.033
22.266,1.028
22.296,1.037
22.326,1.034
22.356,1.036
