df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,quality
8.291,100
9.226,100
10.044,100
11.215,100
12.142,47
13.021,0
14.239,0
15.162,29
16.137,38
17.310,36
18.129,58
19.111,79
20.191,74
21.109,63
22.087,65
23.159,65
24.039,63
25.308,73
26.133,79
27.103,75
27.990,73
29.153,68
30.036,60
31.152,67
32.128,67
33.058,71
34.074,75
35.102,64
36.028,51
37.050,45
38.075,43
38.953,45
39.881,40
41.289,40
41.926,60
42.947,74
44.023,79
44.979,74
46.021,57
47.001,56
47.968,54
48.800,52
50.067,52
50.897,51
51.871,70
52.995,55
53.917,23
54.748,21
55.968,35
56.844,50
57.820,48
58.940,52
59.920,47
60.794,58
61.922,55
62.795,45
63.771,72
64.888,63
65.815,43
66.694,58
67.910,59
68.788,46
69.666,56
70.856,46
71.762,47
72.640,63
73.859,75
74.740,59
75.613,57
76.834,55
77.711,51
78.633,42
79.857,27
80.792,0
81.561,0
83.316,0
83.658,0
84.611,0
85.911,47
86.634,63
87.701,58
88.779,58
89.622,61
90.577,64
91.752,50
92.630,60
93.505,72
94.679,59
95.603,50
96.527,74
97.699,78
98.578,59
99.568,56
100.722,70
101.664,76
102.631,78
103.648,74
104.625,53
105.453,50
106.668,54
107.549,59
108.427,49
109.653,63
110.520,53
111.443,39
112.567,49
113.493,50
114.371,47
115.586,61
116.467,56
117.686,65
118.524,39
119.489,37
120.566,27
121.588,20
122.704,30
123.292,35
124.511,49
125.437,80
126.315,79
127.492,74
128.363,71
129.289,72
130.507,68
131.347,67
132.265,60
133.433,57
134.553,63
135.330,63
136.452,69
137.429,78
138.259,77
139.381,75
140.307,76
141.278,76
142.354,73
143.280,70
144.158,64
145.376,66
146.254,50
147.131,30
148.351,38
149.230,66
150.105,64
151.471,60
152.262,50
153.130,53
154.301,55
155.367,32
156.102,34
157.317,52
158.198,51
159.127,46
160.488,66
161.171,85
162.196,76
163.416,61
164.145,66
165.023,69
166.242,59
167.119,68
167.997,81
169.218,82
170.142,78
171.019,77
172.207,75
173.116,73
174.001,67
175.311,73
176.089,79
177.067,76
178.188,73
179.081,74
179.943,74
181.159,75
182.037,82
182.940,80
184.182,81
185.011,77
185.899,74
187.108,73
187.986,74
189.011,72
190.082,72
190.959,78
192.079,78
193.061,77
193.938,78
194.859,73
196.031,63
196.955,51
197.927,61
199.051,59
199.929,54
200.806,64
202.120,81
202.905,82
204.167,68
204.999,71
205.877,75
206.854,73
207.976,71
208.850,76
209.728,72
210.997,65
211.975,50
212.796,44
213.921,52
214.892,56
215.919,44
216.904,44
217.823,70
218.701,46
219.868,17
220.794,21
221.674,0
222.844,0
223.770,0
224.797,0
225.864,0
226.744,0
227.629,0
228.840,34
229.910,31
230.593,44
231.958,43
232.742,23
233.712,19
234.786,24
235.667,40
236.592,65
237.768,48
238.746,1
239.564,8
240.734,10
241.711,0
242.681,0
243.853,26
244.690,27
245.560,29
246.734,27
247.608,24
248.582,25
249.750,28
250.605,26
251.510,0
252.678,0
253.555,20
254.484,31
255.699,52
256.578,63
257.459,35
258.646,20
259.559,42
260.528,41
261.649,29
262.529,56
263.403,65
264.622,54
265.499,54
266.382,60
267.596,55
268.581,48
269.351,58
270.570,31
271.498,28
272.467,39
273.547,38
274.421,24
275.347,24
276.518,47
277.395,36
278.321,27
279.683,30
280.417,34
281.681,30
282.466,27
283.393,0
284.270,36
285.533,34
286.365,23
287.534,14
288.461,0
289.390,0
290.216,31
291.434,43
292.507,59
293.190,75
294.460,74
295.287,54
296.163,44
297.704,30
298.404,0
299.187,0
300.359,31
301.234,36
302.160,33
303.331,20
304.214,0
305.179,0
306.524,0
307.278,0
308.156,34
309.716,40
310.205,30
311.127,40
312.251,47
313.227,45
314.347,30
315.275,50
316.200,25
317.029,24
318.393,35
319.171,35
320.007,30
321.222,52
322.100,64
323.025,62
324.245,37
325.120,31
326.045,25
327.200,31
328.097,31
329.072,43
330.143,40
331.069,41
331.947,45
333.169,33
334.046,0
334.920,27
336.145,26
337.065,27
338.135,37
339.113,22
340.092,0
340.919,28
342.103,28
343.013,28
343.891,45
345.109,64
345.987,37
346.910,26
348.132,0
348.961,7
349.981,1
351.009,0
351.984,0
352.958,1
354.031,23
354.910,0
355.786,21
357.054,30
357.883,39
358.761,38
360.024,34
360.903,47
361.839,58
363.196,53
363.830,63
364.758,68
366.021,32
366.804,29
367.776,29
368.900,22
369.826,0
370.704,20
371.876,0
372.846,30
373.678,0
374.991,0
375.819,0
376.651,43
377.870,68
378.748,70
379.625,68
380.847,23
381.724,20
382.600,27
383.868,26
384.699,28
385.622,25
386.795,48
387.773,46
388.602,28
389.771,17
390.643,19
391.597,25
392.934,24
393.666,31
394.686,0
395.765,20
396.695,18
397.517,0
398.736,40
399.614,49
400.491,48
401.710,55
402.589,72
403.466,75
404.683,77
405.597,51
406.439,22
407.713,27
408.536,43
409.461,49
410.643,34
411.510,0
412.437,0
413.605,0
414.532,0
415.450,9
416.678,0
417.505,35
418.428,27
419.650,1
420.478,0
421.405,0
422.576,25
423.453,31
