df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,rr_int
14.185,8725
14.191,10
14.866,30
14.875,715
15.405,10
15.551,175
16.378,520
16.388,720
16.525,10
17.111,150
17.792,605
17.801,740
17.938,15
18.523,130
18.767,565
18.772,170
18.815,20
18.820,15
18.826,15
18.964,15
19.205,30
19.212,415
19.304,10
19.888,140
19.897,505
20.571,15
20.577,640
20.718,10
21.253,185
21.942,505
22.035,735
22.097,10
22.667,190
23.495,570
23.501,735
23.669,10
24.178,140
24.184,565
24.347,15
24.861,170
25.641,495
25.647,735
25.740,10
25.841,10
26.353,220
26.424,445
26.966,10
27.054,680
27.140,15
27.579,125
28.225,480
28.810,630
29.492,610
29.590,665
29.638,195
29.687,20
29.758,20
30.111,35
30.128,385
30.188,10
30.718,130
30.906,515
31.442,10
31.448,685
31.558,10
32.173,180
32.177,460
32.294,10
32.807,180
32.810,495
33.441,10
33.447,660
33.490,10
33.661,155
33.667,10
33.686,10
33.733,10
33.737,15
33.784,10
33.788,15
33.796,15
34.083,20
34.907,375
34.955,860
34.968,15
34.974,10
34.980,10
35.050,15
35.227,15
35.342,320
35.348,10
36.561,655
36.569,650
36.853,10
36.858,160
36.902,20
36.906,20
36.909,25
37.146,15
37.243,340
37.828,15
38.024,640
38.510,140
38.514,490
38.658,10
38.665,10
39.193,150
39.197,565
39.339,10
39.345,135
39.488,25
39.493,15
39.928,15
39.973,540
39.979,10
40.071,10
40.607,125
40.613,550
40.708,10
40.954,10
41.318,180
41.728,500
42.021,10
42.703,680
42.952,710
43.096,200
43.099,20
43.103,20
43.434,10
43.438,465
43.679,10
44.070,215
45.071,495
45.076,905
45.080,10
45.092,10
45.095,10
45.142,10
45.153,10
45.161,15
45.238,10
45.246,10
45.290,15
45.319,10
45.329,15
45.334,10
45.341,15
45.346,215
46.165,710
46.847,10
46.850,755
46.993,10
47.579,205
47.822,525
48.309,245
48.944,465
48.948,655
49.113,10
49.627,190
50.211,440
50.943,670
50.947,710
51.039,10
51.738,10
51.771,705
52.551,10
52.554,890
54.257,10
54.261,1625
54.504,10
55.086,325
55.768,490
55.915,820
56.088,10
56.210,190
56.213,45
56.597,25
57.328,490
57.426,785
57.727,10
57.730,280
57.733,15
57.769,10
57.773,10
57.776,20
58.011,255
58.015,10
58.840,825
58.843,10
58.987,15
59.522,170
59.525,570
59.529,10
60.351,10
60.646,830
61.184,160
61.497,685
61.521,200
61.526,20
61.529,15
61.537,15
61.621,15
62.009,10
62.155,555
62.301,170
62.911,10
62.984,615
62.988,10
63.130,205
63.617,10
63.621,520
63.715,10
63.816,155
63.862,15
63.881,10
63.907,15
64.272,30
64.956,445
65.083,675
65.090,10
65.115,10
65.665,140
66.543,565
67.371,820
67.375,880
67.471,10
68.151,10
68.155,755
68.200,10
68.297,10
68.303,100
68.346,10
68.360,20
68.371,70
68.444,20
68.449,10
68.494,10
68.503,10
68.508,15
68.541,15
68.546,15
68.552,15
68.557,10
68.592,10
68.597,10
68.834,25
68.839,290
69.516,10
69.520,690
69.712,10
70.101,150
70.168,510
70.345,10
70.784,160
70.954,545
71.076,10
71.614,195
71.710,520
71.957,10
72.296,190
72.304,505
73.027,10
73.562,670
73.566,605
74.245,10
74.977,665
75.708,675
75.808,715
75.954,255
76.343,35
77.024,435
77.027,710
77.171,10
77.758,155
77.853,525
78.291,10
78.389,570
79.169,10
79.173,810
80.685,10
80.781,1525
81.071,10
81.074,425
81.119,20
81.123,15
81.363,225
82.094,715
82.826,10
82.832,680
83.349,10
83.462,185
83.898,465
83.901,385
83.904,10
83.907,15
84.046,20
84.049,15
84.052,10
84.145,240
84.828,705
85.410,10
85.508,685
85.702,10
85.707,180
85.750,15
85.756,15
85.766,15
85.848,15
85.854,15
85.942,15
86.094,20
86.238,15
86.384,410
86.970,190
87.750,580
87.896,765
87.907,195
88.433,20
88.578,510
88.584,10
89.164,150
89.309,520
89.699,150
89.705,485
90.479,10
90.584,635
90.967,170
90.972,465
91.649,15
91.656,650
91.795,15
92.332,180
92.337,525
92.698,10
93.063,180
93.067,520
93.892,15
93.896,735
93.899,10
94.822,10
94.838,805
94.843,10
95.406,10
95.416,740
96.085,10
96.090,690
96.186,10
96.236,10
96.868,145
96.918,545
97.559,15
98.069,625
98.361,685
98.380,185
98.385,20
98.770,10
98.775,430
99.011,10
99.449,195
99.596,420
99.987,155
100.797,485
100.802,640
100.807,10
100.821,10
100.964,175
101.253,15
101.259,435
101.535,10
101.991,200
102.082,495
102.087,10
102.240,210
102.426,10
102.637,410
103.370,10
103.547,735
104.227,15
104.234,765
104.861,10
104.864,745
105.170,10
105.692,190
105.701,550
105.852,10
105.884,155
105.891,10
105.895,10
105.900,15
105.934,15
105.973,15
105.982,10
105.991,10
106.054,10
106.420,15
106.519,425
106.546,15
106.957,150
106.961,490
107.641,10
107.647,635
108.226,10
109.053,640
109.058,745
109.882,10
109.885,840
110.421,10
110.755,235
111.449,565
111.452,710
111.456,10
111.540,10
111.543,145
111.930,15
111.933,455
112.663,10
112.710,640
113.392,10
