df_hash,22ZHK4.NFTM31
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SGEY
person_label,V79
date_time_start,2025-11-03_15-27-37.395000_+03
date_time_start_unix,1762169257.395
date_time_end,2025-11-03_15-35-52.731000_+03
length_difference_noticed,no

time,temperature
385.671,34.094
386.788,34.125
387.766,34.125
388.690,34.094
389.667,34.094
390.719,34.031
391.665,34.062
392.736,34.000
394.055,34.000
394.692,34.000
395.661,33.969
396.779,34.000
397.806,34.000
398.687,34.000
399.906,34.000
400.684,34.031
401.658,34.062
402.723,34.031
403.952,34.031
404.829,34.031
405.656,34.031
406.682,34.031
407.817,34.031
408.697,34.031
409.750,34.000
410.677,33.969
411.729,33.938
412.675,33.969
413.654,33.969
414.674,33.969
415.650,34.000
416.724,34.031
417.648,34.031
418.697,34.062
419.699,34.062
420.671,34.094
421.695,34.125
422.671,34.125
423.693,34.094
424.670,34.125
425.692,34.000
426.667,33.938
427.691,33.969
428.666,33.906
429.705,33.875
430.714,33.906
431.689,33.938
432.694,33.969
433.687,34.000
434.667,34.000
435.981,34.156
436.758,34.219
437.685,34.219
438.709,34.281
439.929,34.312
440.665,34.312
441.683,34.312
442.706,34.312
443.681,34.312
444.659,34.312
445.680,34.281
447.099,34.281
447.682,34.281
448.900,34.281
449.732,34.281
450.653,34.250
451.777,34.281
452.749,34.312
453.675,34.312
454.650,34.344
455.975,34.344
456.847,34.312
457.673,34.344
458.650,34.344
459.821,34.344
460.647,34.375
461.693,34.344
462.664,34.344
463.695,34.344
464.693,34.375
465.668,34.406
466.643,34.375
468.059,34.406
468.665,34.406
469.714,34.375
470.690,34.375
471.788,34.344
472.788,34.312
473.682,34.312
474.687,34.281
475.667,34.281
476.839,34.312
477.709,34.281
478.708,34.375
479.662,34.406
480.683,34.406
481.658,34.406
482.682,34.500
483.854,34.500
484.692,34.500
485.656,34.531
486.684,34.531
488.047,34.500
488.733,34.406
489.662,34.375
