df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,rr_int
11.254,5745
12.229,925
13.305,995
14.179,1000
15.106,905
16.032,960
16.983,920
17.787,885
18.761,930
19.834,970
20.832,1015
20.958,1045
21.784,10
22.759,945
23.734,1000
24.785,1040
25.004,970
25.684,10
26.659,925
27.490,915
28.467,960
29.438,980
30.422,945
31.542,1005
32.509,1045
33.505,965
33.633,1030
34.459,10
35.688,940
36.364,970
36.412,945
37.238,10
37.336,955
38.213,10
39.042,860
40.017,915
41.089,995
42.113,1050
43.039,1055
44.014,935
44.991,975
45.964,980
46.939,980
47.768,935
47.771,880
48.768,10
49.864,950
50.305,1110
51.522,510
52.545,1160
53.471,1025
53.475,945
53.521,10
53.523,15
53.526,20
53.618,15
53.621,125
55.280,665
56.265,960
57.079,960
58.201,925
58.886,1070
59.712,685
60.687,900
61.564,930
62.513,915
62.636,960
62.640,185
62.783,10
64.441,770
65.171,955
66.245,690
66.975,1095
67.219,1010
68.635,1420
68.639,15
68.643,10
68.926,230
70.853,1955
70.973,215
72.777,640
73.607,1135
74.435,810
75.219,830
76.141,750
77.117,950
77.945,960
78.773,845
79.651,835
80.432,840
81.162,835
81.942,810
82.965,845
83.892,910
84.721,945
85.695,885
86.675,950
87.500,940
88.377,890
89.414,925
90.180,905
91.107,910
91.984,850
92.959,930
94.032,1020
94.037,990
94.870,10
95.852,935
96.811,955
97.698,965
98.615,900
99.443,880
100.421,900
101.321,925
102.222,870
103.205,960
104.270,980
105.056,955
105.879,885
106.853,885
107.780,955
108.364,945
109.485,590
109.643,1175
109.668,100
109.676,10
109.729,15
109.736,15
109.781,10
109.875,10
109.879,230
110.122,15
110.461,20
111.289,460
112.119,920
113.630,780
114.633,1545
115.580,950
116.408,990
116.412,900
117.386,10
118.362,920
119.187,940
120.064,915
120.901,875
121.722,810
122.562,785
123.526,940
124.548,945
125.478,915
125.627,995
126.451,15
127.279,915
128.108,865
129.084,860
129.912,955
130.745,865
131.569,870
132.546,880
133.406,905
133.410,880
134.202,10
135.275,885
135.279,955
136.308,10
137.127,1000
138.199,940
139.077,965
139.906,955
140.881,885
141.883,945
142.689,955
143.660,910
143.696,940
144.099,10
144.634,375
145.498,625
146.439,810
147.271,1030
148.242,840
148.246,950
149.071,10
150.046,855
151.021,970
151.996,935
152.437,955
153.117,335
153.124,835
153.166,10
153.263,30
153.267,10
153.312,10
153.315,20
153.318,25
153.364,20
153.372,15
153.385,15
153.437,20
153.459,40
153.462,20
153.465,10
153.469,10
153.800,15
154.629,360
155.514,915
156.532,865
157.408,980
158.686,970
159.357,955
160.332,970
161.259,940
162.136,915
162.965,915
163.940,930
164.915,980
165.890,950
166.865,925
167.840,995
168.818,995
169.792,920
170.084,965
170.642,325
170.911,625
171.594,290
173.251,695
174.129,1570
175.152,880
176.030,935
177.005,1015
177.882,1000
178.857,905
179.784,920
180.661,955
181.636,905
182.563,915
183.444,950
184.415,940
185.390,925
186.316,980
187.194,970
188.169,895
189.157,970
189.972,960
190.947,890
191.925,955
192.897,1020
193.824,945
194.799,975
195.777,1000
196.749,970
197.740,930
198.724,955
199.528,950
200.502,895
201.495,955
202.452,975
203.436,970
204.406,1015
205.231,970
206.206,895
207.181,920
208.010,945
208.985,890
209.814,935
210.794,970
210.845,965
211.764,10
212.739,920
213.717,1010
214.689,945
215.522,935
216.493,930
217.333,880
218.150,850
218.979,885
219.955,890
220.832,880
221.806,950
222.759,990
223.710,945
224.683,920
225.512,940
226.514,930
227.364,915
228.583,920
229.560,1240
230.240,725
231.081,870
232.044,875
232.047,985
233.019,10
233.994,970
233.997,1005
234.969,10
235.944,1010
235.947,930
236.928,10
237.894,945
238.722,955
239.846,945
240.529,900
241.508,930
242.330,945
242.769,850
242.775,435
243.166,10
244.134,370
244.967,935
245.840,845
246.670,835
247.160,830
248.326,375
248.473,1405
248.619,105
248.626,70
249.155,10
249.985,570
250.812,840
251.788,905
252.470,975
253.202,615
254.176,750
255.022,970
255.986,925
256.821,870
256.958,835
257.637,10
257.641,850
258.493,10
258.759,1095
259.977,610
261.298,660
262.516,1270
263.348,1280
263.515,915
265.001,15
265.682,1580
266.416,720
267.241,715
268.070,865
268.753,755
269.437,770
270.167,695
270.849,705
271.531,680
271.680,675
271.683,185
271.691,15
271.699,10
272.214,10
272.802,470
273.482,645
274.178,690
274.993,695
275.729,750
276.449,740
277.235,760
278.064,815
278.893,875
279.722,830
280.453,760
281.284,795
282.110,790
282.793,830
283.622,725
284.451,795
285.428,860
285.431,850
285.621,10
285.625,215
285.628,10
286.108,10
286.839,520
287.766,810
288.691,865
289.471,865
290.449,880
291.278,920
292.104,860
292.933,825
293.761,840
294.590,840
295.572,895
296.252,920
297.125,820
297.662,815
297.665,485
297.762,10
297.808,50
297.954,230
299.004,1010
299.467,10
299.613,645
300.752,855
300.885,320
301.274,15
302.294,545
302.297,1000
303.223,10
304.048,895
304.053,885
304.214,160
304.243,10
304.491,145
305.462,345
306.290,775
307.119,770
307.948,850
308.827,880
309.605,845
310.583,815
