df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,acc_mag
4.425,0.982
4.455,0.982
4.485,0.982
4.515,0.985
4.545,0.981
4.575,0.983
4.605,0.982
4.635,0.986
4.665,0.982
4.695,0.984
4.725,0.983
4.755,0.983
4.785,0.983
4.815,0.986
4.845,0.983
4.875,0.983
4.905,0.979
4.935,0.985
4.965,0.982
4.995,0.991
5.025,0.982
5.055,0.982
5.085,0.984
5.115,0.984
5.145,0.984
5.175,0.982
5.205,0.984
5.235,0.988
5.265,0.999
5.295,0.984
5.325,0.984
5.355,0.975
5.385,0.973
5.415,0.985
5.445,0.988
5.475,0.986
5.505,0.985
5.535,0.986
5.565,0.979
5.595,0.984
5.625,0.980
5.655,0.982
5.685,0.982
5.715,0.978
5.745,0.985
5.775,0.982
5.805,0.983
5.835,0.982
5.865,0.982
5.895,0.984
5.925,0.986
5.955,0.987
5.985,0.988
6.015,0.990
6.045,0.981
6.075,0.984
6.105,0.988
6.135,0.989
6.165,0.984
6.195,0.988
6.225,0.985
6.255,0.989
6.285,0.990
6.315,0.987
6.345,0.986
6.375,0.986
6.405,0.987
6.435,0.984
6.465,0.983
6.495,0.988
6.525,0.988
6.555,0.988
6.585,0.983
6.615,0.986
6.645,0.986
6.675,0.985
6.705,0.983
6.735,0.985
6.765,0.983
6.795,0.983
6.825,0.978
6.855,0.984
6.885,0.990
6.915,0.983
6.945,0.983
6.975,0.980
7.005,0.982
7.035,0.986
7.065,0.988
7.095,0.982
7.125,0.987
7.155,0.979
7.185,0.985
7.215,0.985
7.245,0.985
7.275,0.984
7.305,0.983
7.335,0.985
7.365,0.984
7.395,0.982
7.425,0.985
7.455,0.984
7.485,0.985
7.515,0.985
7.545,0.987
7.575,0.986
7.605,0.984
7.635,0.986
7.665,0.984
7.695,0.984
7.725,0.981
7.755,0.984
7.785,0.985
7.815,0.987
7.845,0.983
7.875,0.982
7.905,0.982
7.935,0.980
7.965,0.981
7.995,0.985
8.025,0.983
8.055,0.983
8.085,0.987
8.115,0.978
8.145,0.983
8.175,0.987
8.205,0.984
8.235,0.985
8.265,0.981
8.295,0.984
8.325,0.981
8.355,0.982
8.385,0.983
8.415,0.984
8.445,0.985
8.475,0.983
8.505,0.982
8.535,0.985
8.565,0.985
8.595,0.983
8.625,0.983
8.655,0.981
8.685,0.987
8.715,0.987
8.745,0.984
8.775,0.986
8.805,0.985
8.835,0.979
8.865,0.988
8.895,0.982
8.925,0.989
8.955,0.983
8.985,0.979
9.015,0.983
9.045,0.988
9.075,0.982
9.105,0.985
9.135,0.976
9.165,0.985
9.195,0.983
9.225,0.984
9.255,0.984
9.285,0.983
9.315,0.984
9.345,0.984
9.375,0.983
9.405,0.984
9.435,0.982
9.465,0.985
9.495,0.981
9.525,0.985
9.555,0.984
9.585,0.983
9.615,0.982
9.645,0.986
9.675,0.985
9.705,0.987
9.735,0.986
9.765,0.987
9.795,0.978
9.825,0.981
9.855,0.992
9.885,0.986
9.915,0.989
9.945,0.980
9.975,0.978
10.005,0.986
10.035,0.989
10.065,0.983
10.095,0.984
10.125,0.977
10.155,0.984
10.185,0.988
10.215,0.983
10.245,0.984
10.275,0.985
10.305,0.983
10.335,0.985
10.365,0.984
10.395,0.986
10.425,0.984
10.455,0.983
10.485,0.985
10.515,0.981
10.545,0.986
10.575,0.985
10.605,0.982
10.635,0.985
10.665,0.983
10.695,0.984
10.725,0.983
10.755,0.981
10.785,0.986
10.815,0.983
10.845,0.990
10.875,0.979
10.905,0.980
10.935,0.983
10.965,0.985
10.995,0.981
11.025,0.986
11.055,0.981
11.085,0.983
11.115,0.985
11.145,0.985
11.175,0.984
11.205,0.979
11.235,0.980
11.265,0.984
11.295,0.986
11.325,0.984
11.355,0.980
11.385,0.983
11.415,0.982
11.445,0.982
11.475,0.983
11.505,0.980
11.535,0.985
11.565,0.984
11.595,0.981
11.625,0.984
11.655,0.980
11.685,0.981
11.715,0.987
11.745,0.978
11.775,0.986
11.805,0.984
11.835,0.987
11.865,0.986
11.895,0.978
11.925,0.981
11.955,0.984
11.985,0.985
12.015,0.982
12.045,0.984
12.075,0.975
12.105,0.986
12.135,0.984
12.165,0.987
12.195,0.981
12.225,0.977
12.255,0.980
12.285,0.984
12.315,0.983
12.345,0.985
12.375,0.985
12.405,0.984
12.435,0.980
12.465,0.986
12.495,0.986
12.525,0.983
12.555,0.984
12.585,0.985
12.615,0.986
12.645,0.986
12.675,0.989
12.705,0.989
12.735,0.984
12.765,0.985
12.795,0.989
12.825,0.986
12.855,0.981
12.885,0.982
12.915,0.982
12.945,0.984
12.975,0.985
13.005,0.981
13.035,0.985
13.065,0.979
13.095,0.987
13.125,0.983
13.155,0.983
13.185,0.981
13.215,0.980
13.245,0.984
13.275,0.984
13.305,0.983
13.335,0.984
13.365,0.987
13.395,0.981
13.425,0.980
13.455,0.981
13.485,0.981
13.515,0.984
13.545,0.986
13.575,0.988
13.605,0.987
13.635,0.986
13.665,0.983
13.695,0.990
13.725,0.984
13.755,0.983
13.785,0.985
