df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,temperature
5.306,36.688
6.282,36.656
7.305,36.656
8.280,36.688
9.330,36.688
10.279,36.656
11.347,36.656
12.475,36.688
13.301,36.719
14.304,36.719
15.300,36.688
16.287,36.688
17.315,36.688
18.274,36.656
19.301,36.656
20.516,36.688
21.297,36.688
22.271,36.656
23.296,36.688
24.270,36.688
25.399,36.719
26.269,36.719
27.293,36.719
28.319,36.812
29.292,36.812
30.315,36.812
31.534,36.812
32.318,36.812
33.289,36.812
34.315,36.750
35.385,36.750
36.360,36.719
37.289,36.750
38.311,36.688
39.334,36.688
40.309,36.688
41.296,36.688
42.308,36.656
43.283,36.656
44.319,36.688
45.304,36.656
46.306,36.719
47.281,36.719
48.306,36.719
49.279,36.688
50.351,36.656
51.278,36.656
52.302,36.688
53.296,36.688
54.349,36.688
55.275,36.750
56.300,36.719
57.274,36.719
58.299,36.719
59.273,36.750
60.296,36.750
61.272,36.750
62.297,36.781
63.271,36.750
64.346,36.750
65.308,36.750
66.293,36.750
67.514,36.750
68.292,36.750
69.316,36.719
70.291,36.750
71.414,36.750
72.290,36.781
73.270,36.781
74.288,36.781
75.267,36.781
76.287,36.781
77.262,36.781
78.312,36.812
79.309,36.844
80.307,36.844
81.308,36.719
82.311,36.750
83.307,36.750
84.293,36.750
85.309,36.781
86.308,36.750
87.305,36.781
88.280,36.750
89.410,36.781
90.327,36.750
91.302,36.875
92.303,36.812
93.301,36.844
94.276,36.844
95.300,36.781
96.570,36.812
97.298,36.812
98.273,36.844
99.297,36.844
100.272,36.844
101.325,36.844
102.271,36.844
103.335,36.875
104.274,36.875
105.293,36.875
106.268,36.844
107.293,36.844
108.267,36.812
109.291,36.781
110.266,36.781
111.633,36.719
112.265,36.750
113.289,36.719
114.264,36.719
115.287,36.688
116.262,36.688
117.286,36.688
118.359,36.688
119.285,36.719
120.313,36.750
121.284,36.812
122.553,36.812
123.282,36.844
124.257,36.812
125.281,36.844
126.256,36.875
127.285,36.875
128.304,36.875
129.279,36.875
130.302,36.875
131.277,36.875
132.322,36.812
133.276,36.781
134.348,36.812
135.308,36.812
136.299,36.812
137.332,36.781
138.297,36.781
139.272,36.750
140.296,36.781
141.320,36.750
142.294,36.781
143.345,36.781
144.294,36.750
145.273,36.750
146.297,36.750
147.267,36.750
148.292,36.750
149.266,36.781
150.293,36.750
151.265,36.750
152.303,36.781
153.392,36.844
154.287,36.844
155.262,36.844
156.286,36.812
157.264,36.844
158.328,36.844
159.259,36.812
160.284,36.812
161.374,36.812
162.282,36.812
163.257,36.781
164.281,36.781
165.283,36.781
166.280,36.844
167.258,36.844
168.522,36.844
169.399,36.875
170.277,36.875
171.450,36.875
172.276,36.875
173.300,36.844
174.277,36.844
175.250,36.781
176.332,36.812
177.298,36.781
178.272,36.812
179.331,36.750
180.271,36.781
181.295,36.781
182.270,36.750
183.293,36.812
184.269,36.844
185.300,36.875
186.268,36.844
187.291,36.812
188.273,36.781
189.315,36.844
190.563,36.812
191.294,36.812
192.264,36.812
193.292,36.781
194.411,36.812
195.286,36.812
196.274,36.812
197.285,36.875
198.262,36.844
199.286,36.875
200.259,36.875
201.282,36.875
202.258,36.875
203.282,36.875
204.403,36.844
205.280,36.844
206.255,36.844
207.282,36.875
208.254,36.875
209.278,36.875
210.253,36.875
211.277,36.844
212.252,36.875
213.275,36.906
214.250,36.906
215.517,36.875
216.249,36.844
217.274,36.781
218.297,36.781
219.271,36.781
220.247,36.781
221.270,36.812
222.245,36.781
223.269,36.781
224.441,36.781
225.268,36.812
226.304,36.812
227.267,36.844
228.290,36.875
229.267,36.875
230.299,36.750
231.264,36.719
232.288,36.750
233.263,36.750
234.290,36.781
235.262,36.750
236.334,36.781
237.260,36.750
238.284,36.719
239.259,36.719
240.526,36.781
241.502,36.812
242.282,36.781
243.257,36.750
244.280,36.719
245.255,36.719
246.279,36.719
247.254,36.750
248.278,36.750
249.253,36.781
250.304,36.812
251.549,36.781
252.286,36.781
253.251,36.812
254.274,36.844
255.249,36.844
256.273,36.844
257.248,36.844
258.272,36.844
259.295,36.844
260.271,36.844
261.443,36.812
262.269,36.812
263.251,36.844
264.268,36.812
265.246,36.812
266.413,36.844
267.246,36.844
268.266,36.812
269.241,36.812
270.264,36.812
271.288,36.781
272.263,36.812
273.238,36.844
274.262,36.812
275.291,36.844
276.347,36.781
277.284,36.688
278.259,36.719
279.283,36.719
280.258,36.750
281.382,36.719
282.256,36.719
283.284,36.875
284.256,36.875
285.313,36.969
286.254,37.000
287.278,37.094
288.253,37.125
289.277,37.156
290.252,37.125
291.275,37.188
292.251,37.188
293.274,37.062
294.250,37.094
295.273,36.969
296.248,36.938
297.466,36.906
298.252,36.906
299.272,36.875
300.246,36.875
301.269,36.844
302.536,36.875
303.317,36.844
304.246,36.812
305.267,36.812
306.242,36.844
307.276,36.844
308.241,36.875
309.265,36.875
310.240,36.875
311.263,36.906
312.264,36.875
313.359,36.875
314.237,36.906
315.261,36.938
316.287,36.938
317.260,36.875
