df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,quality
13.646,80
14.572,77
15.499,72
16.669,70
17.546,67
18.423,69
19.642,66
20.714,66
21.460,63
22.616,85
23.590,85
24.371,94
25.593,94
26.467,89
27.350,80
28.569,79
29.737,87
30.416,89
31.697,88
32.418,74
33.485,78
34.511,72
35.680,81
36.315,79
37.485,75
38.605,83
39.288,85
40.462,84
41.336,74
42.268,66
43.434,73
44.364,85
45.256,79
46.711,78
47.332,86
48.235,87
49.380,83
50.609,38
51.184,22
52.402,27
53.285,27
54.160,26
55.379,26
56.258,34
57.228,42
58.356,60
59.230,63
60.105,51
61.324,58
62.205,62
63.129,52
64.307,53
65.270,58
66.054,45
67.272,45
68.149,45
69.076,38
70.245,29
71.122,40
72.049,39
73.264,42
74.096,34
75.214,52
76.193,31
77.070,33
77.996,38
79.166,41
80.300,49
80.970,56
82.239,73
83.017,82
83.944,79
85.114,75
86.041,75
86.966,83
88.115,87
89.065,88
89.900,90
91.062,86
92.084,89
92.866,89
94.124,81
94.961,73
95.847,80
97.252,87
97.935,87
98.812,85
100.082,83
100.909,83
101.787,89
103.200,88
103.883,89
104.760,87
105.981,85
106.891,83
107.734,82
108.953,61
109.830,58
110.757,46
111.972,52
112.804,47
113.776,35
115.193,44
115.778,53
116.850,47
117.906,53
118.752,76
119.681,84
120.893,90
121.776,81
122.651,69
123.847,69
124.893,69
125.920,48
126.798,54
127.724,65
128.599,65
129.817,62
130.741,74
131.871,75
132.792,81
133.720,82
134.790,85
135.774,84
136.644,82
137.522,78
138.739,84
139.617,91
140.543,91
141.714,90
142.685,89
143.517,90
144.687,78
145.564,66
146.490,59
147.660,57
148.538,61
149.464,60
150.665,68
151.560,71
152.782,71
153.608,69
154.584,56
155.412,44
156.875,43
157.508,53
158.388,52
159.799,72
160.485,84
161.602,88
162.724,84
163.456,83
164.333,83
165.601,82
166.429,85
167.307,85
168.622,82
169.646,82
170.377,71
171.503,69
172.424,56
173.400,42
174.473,31
175.358,34
176.325,40
177.742,33
178.567,64
179.253,79
180.423,79
181.349,83
182.224,87
183.394,89
184.320,87
185.293,88
186.368,87
187.345,82
188.266,85
189.345,87
190.275,90
191.145,85
192.364,80
193.288,74
194.119,76
195.341,83
196.261,87
197.096,86
198.705,89
199.191,88
200.115,89
201.478,91
202.165,91
203.041,89
204.283,83
205.144,84
206.063,82
207.234,80
208.111,83
209.040,90
210.208,87
211.091,79
212.013,78
213.226,79
214.061,80
214.986,80
216.156,83
217.108,88
217.959,79
219.128,82
220.055,88
220.933,89
222.102,80
223.044,78
224.049,82
225.219,82
226.245,84
226.880,83
228.098,72
228.976,45
229.999,34
231.076,29
231.950,0
232.827,0
234.046,45
234.924,45
235.851,84
237.214,87
238.043,86
238.823,90
239.993,92
240.871,89
241.797,86
243.159,84
243.893,64
244.771,54
245.941,51
246.928,54
247.744,0
248.915,0
249.841,0
250.719,0
251.888,0
253.060,0
253.692,29
255.013,32
255.980,31
256.814,33
257.836,44
258.910,64
259.640,64
260.896,33
261.784,20
262.613,34
263.840,34
264.709,40
265.596,45
266.806,44
267.780,31
268.563,0
270.023,35
270.705,49
271.581,42
272.754,36
273.688,66
274.561,68
275.827,66
276.608,63
277.531,56
278.702,59
279.627,63
280.505,76
281.714,79
282.552,76
283.479,81
284.650,84
285.575,79
286.452,72
287.627,72
288.548,72
289.432,74
290.839,69
291.522,76
292.426,83
293.572,82
294.497,83
295.566,84
296.884,84
297.518,78
298.639,52
299.566,41
300.746,31
301.321,32
302.686,33
303.418,37
304.344,43
305.513,40
306.391,35
307.414,37
308.489,55
309.366,55
310.294,77
311.461,72
312.385,53
313.265,59
314.824,63
315.313,53
316.240,66
317.701,76
318.340,78
319.282,77
320.584,52
321.604,35
322.236,29
323.502,27
324.380,21
325.255,23
326.381,28
327.258,31
328.136,42
329.498,39
330.233,41
331.109,25
332.327,33
333.206,0
334.095,6
335.302,2
336.180,4
337.104,7
338.523,35
339.151,68
340.275,61
341.588,59
342.268,66
343.198,53
344.221,53
345.150,45
346.025,46
347.243,44
348.128,27
348.999,0
350.171,42
351.193,33
351.981,33
353.191,47
354.069,67
354.946,59
356.260,57
357.068,57
357.922,60
359.233,56
360.017,58
360.943,56
362.112,48
363.231,56
363.918,50
365.139,56
365.966,40
366.893,40
368.155,46
368.997,49
370.156,48
371.226,60
371.960,60
372.840,57
374.117,73
374.979,71
376.067,47
377.030,0
377.934,0
378.834,48
380.007,14
380.882,0
381.810,33
383.026,32
384.152,57
384.783,67
385.955,64
386.831,69
387.755,68
388.925,30
389.805,18
390.754,0
392.042,0
392.825,0
393.703,0
394.873,0
396.091,0
396.677,43
397.846,79
399.065,82
399.650,72
400.966,60
401.749,57
402.772,66
403.844,55
404.861,58
405.598,66
406.844,60
407.937,55
408.572,70
409.847,68
410.670,66
411.691,73
412.764,85
413.642,83
414.568,81
415.738,84
416.674,81
417.547,77
418.712,73
419.589,75
420.518,86
421.687,65
422.566,51
423.490,56
424.660,37
425.684,40
426.462,51
427.633,76
