df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,battery
5.209,11
15.203,11
25.197,11
35.191,10
45.234,10
55.217,10
65.298,10
75.263,10
85.306,10
95.202,10
105.229,10
115.212,10
125.183,10
135.182,10
145.171,10
155.165,10
165.159,10
175.156,10
185.146,10
195.192,10
205.183,10
215.180,10
225.249,10
235.164,10
245.158,10
255.155,10
265.243,10
275.287,10
285.240,10
295.176,10
305.169,9
315.163,9
325.157,9
335.151,9
345.197,9
355.139,9
365.148,9
375.160,9
385.227,9
395.163,9
405.156,9
415.151,9
425.144,9
435.137,9
445.132,9
455.141,9
465.119,9
475.113,9
485.158,9
495.167,9
505.143,9
515.171,9
