df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,ppg_quality
58.560,55
59.570,59
62.600,93
64.620,83
66.640,84
68.660,82
70.680,60
71.690,45
73.710,40
75.730,28
77.750,18
78.760,21
79.770,26
81.790,38
82.800,39
84.820,59
86.840,76
87.850,80
88.860,78
89.870,77
91.890,79
92.900,81
93.910,82
95.930,82
97.950,81
99.970,84
100.980,85
103.000,82
104.010,81
105.020,81
106.030,82
107.040,82
109.060,83
111.080,61
112.090,54
114.110,54
115.120,55
116.130,56
118.150,53
119.160,51
120.170,60
122.190,86
124.210,93
126.230,100
127.240,105
129.260,102
130.270,98
131.280,94
132.290,92
133.300,90
135.320,78
136.330,72
137.340,70
138.350,71
139.360,75
140.370,81
142.390,87
144.410,90
146.430,69
147.440,59
149.460,33
150.470,23
151.480,19
153.500,10
158.550,14
159.560,25
162.590,40
163.600,48
164.610,61
166.630,90
167.640,97
168.650,99
170.670,95
171.680,96
173.700,91
174.710,88
175.720,91
177.740,93
179.760,92
180.770,93
182.790,92
183.800,90
184.810,91
186.830,82
188.850,78
190.870,74
192.890,74
194.910,75
195.920,74
197.940,75
198.950,76
199.960,76
201.980,77
204.000,80
205.010,82
207.030,83
209.050,88
211.070,94
212.080,95
214.100,89
215.110,86
217.130,83
218.140,83
219.150,82
220.160,82
222.180,82
224.200,86
226.220,86
227.230,86
229.250,73
231.270,65
233.290,71
234.300,73
235.310,75
237.330,77
240.360,90
242.380,87
243.390,82
244.400,76
246.420,59
247.430,53
248.440,53
251.470,51
253.490,42
254.500,41
255.510,44
257.530,70
259.550,73
260.560,70
261.570,74
262.580,82
264.600,93
266.620,95
268.640,76
269.650,69
270.660,72
271.670,71
273.690,60
275.710,51
276.720,46
277.730,49
279.750,62
281.770,64
283.790,73
284.800,75
286.820,75
287.830,76
288.840,73
290.860,67
291.870,70
292.880,72
294.900,73
295.910,72
297.930,75
299.950,81
301.970,64
303.990,48
305.000,42
306.010,40
307.020,33
309.040,15
311.060,21
313.080,35
315.100,50
317.120,69
318.130,79
319.140,85
320.150,89
322.170,65
324.190,44
326.210,41
327.220,39
328.230,40
329.240,28
333.280,48
335.300,52
336.310,41
338.330,32
339.340,43
340.350,49
342.370,66
344.390,47
346.410,58
348.430,55
349.440,50
350.450,47
351.460,41
353.480,38
354.490,31
355.500,23
357.520,34
359.540,42
361.560,50
364.590,75
365.600,82
366.610,82
368.630,66
370.650,68
372.670,65
374.690,55
375.700,53
377.720,59
379.740,55
380.750,45
382.770,52
383.780,50
384.790,47
385.800,47
386.810,41
387.820,33
388.830,34
390.850,29
392.870,46
394.890,28
395.900,38
397.920,56
398.930,59
399.940,56
400.950,80
401.960,63
403.980,67
406.000,82
407.010,77
408.020,68
409.030,69
411.050,78
412.060,78
413.070,75
414.080,76
415.090,75
416.100,74
417.110,77
418.120,81
419.130,80
420.140,77
422.160,77
424.180,76
426.200,78
428.220,84
429.230,87
430.240,85
431.250,82
432.260,81
433.270,83
435.290,83
437.310,78
439.330,70
440.340,66
441.350,60
443.370,65
444.380,67
446.400,66
448.420,66
450.440,46
452.460,28
453.470,13
454.480,15
455.490,7
457.510,1
459.530,11
461.550,39
463.570,61
466.600,73
468.620,81
469.630,79
470.640,76
472.660,77
473.670,81
474.680,78
475.690,75
476.700,65
477.710,51
479.730,33
481.750,33
483.770,28
484.780,33
485.790,38
487.810,60
488.820,62
490.840,56
492.860,55
494.880,55
496.900,52
499.930,67
501.950,73
503.970,59
504.980,79
505.990,81
508.010,70
509.020,51
510.030,43
512.050,41
514.070,49
516.090,24
518.110,23
520.130,44
