df_hash,22ZHK4.U9L6MD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.GEJP
person_label,V17-2
date_time_start,2025-05-23_10-04-38.748000_+03
date_time_start_unix,1747983878.748
date_time_end,2025-05-23_10-13-21.900000_+03
length_difference_noticed,no

time,heart_rate
13.643,62
14.569,63
15.495,63
16.665,63
17.543,64
18.420,65
19.639,65
20.519,65
21.447,64
22.612,62
23.492,61
24.368,61
25.586,61
26.464,61
27.341,61
28.560,62
29.733,63
30.324,63
31.685,63
32.411,63
33.294,63
34.508,62
35.389,61
36.311,61
37.481,61
38.360,62
39.285,63
40.455,64
41.333,64
42.260,63
43.429,62
44.356,61
45.247,61
46.698,61
47.329,61
48.231,62
49.376,63
50.355,62
51.180,62
52.399,62
53.277,62
54.154,62
55.373,62
56.252,61
57.179,62
58.348,64
59.224,64
60.101,65
61.320,66
62.198,67
63.124,67
64.294,66
65.175,65
66.049,65
67.268,65
68.145,65
69.072,65
70.242,65
71.119,58
72.045,62
73.217,64
74.093,63
75.022,63
76.189,63
77.067,63
77.993,59
79.163,65
80.286,67
80.967,68
82.144,69
83.014,70
83.940,70
85.110,70
86.037,69
86.950,68
88.112,67
89.059,67
89.889,67
91.058,67
91.987,67
92.862,67
94.119,67
94.958,66
95.838,65
97.009,64
97.932,63
98.809,63
100.077,64
100.905,65
101.783,66
103.003,67
103.879,67
104.757,66
105.975,65
106.885,65
107.731,66
108.949,67
109.827,67
110.753,66
111.923,66
112.800,67
113.728,66
115.190,68
115.774,70
116.726,70
117.901,69
118.748,67
119.674,66
120.847,65
121.771,66
122.648,68
123.843,69
124.769,70
125.917,69
126.792,67
127.718,65
128.596,65
129.814,66
130.694,66
131.573,67
132.788,68
133.711,68
134.545,68
135.762,68
136.639,67
137.517,66
138.736,65
139.613,64
140.539,63
141.709,63
142.590,64
143.513,64
144.683,64
145.561,64
146.487,64
147.657,64
148.534,64
149.461,65
150.661,66
151.557,65
152.778,65
153.605,64
154.580,63
155.408,63
156.629,63
157.505,66
158.382,67
159.555,65
160.480,64
161.377,63
162.580,63
163.452,64
164.330,64
165.597,64
166.426,64
167.303,64
168.526,63
169.403,63
170.281,63
171.496,62
172.373,62
173.306,62
174.470,62
175.347,62
176.280,62
177.739,62
178.326,62
179.247,63
180.418,63
181.344,63
182.221,64
183.391,64
184.317,64
185.197,64
186.365,64
187.294,64
188.175,64
189.339,64
190.265,64
191.142,64
192.361,64
193.240,64
194.116,64
195.335,63
196.215,62
197.090,62
198.698,62
199.186,62
200.065,63
201.290,64
202.160,64
203.037,64
204.260,63
205.134,62
206.060,62
207.230,63
208.107,63
209.034,64
210.204,64
211.081,64
212.007,64
213.177,64
214.055,63
214.981,63
216.151,63
217.103,63
217.955,64
219.125,66
220.051,67
220.929,68
222.099,68
223.025,66
223.905,65
225.127,64
226.008,64
226.876,64
228.095,65
228.972,64
229.852,64
231.070,64
231.946,64
232.824,64
234.042,66
234.920,66
235.846,64
237.041,63
237.897,62
238.820,62
239.990,63
240.867,63
241.794,64
242.984,64
243.843,64
244.767,66
245.938,67
246.901,68
247.741,67
248.911,67
249.838,67
250.715,67
251.885,67
252.814,67
253.689,67
255.006,71
255.787,63
256.809,67
257.833,68
258.765,68
259.636,68
260.893,67
261.781,67
262.610,67
263.829,67
264.706,61
265.584,57
266.802,56
267.684,58
268.558,58
269.793,57
270.655,57
271.535,57
272.750,57
273.680,72
274.555,80
275.824,84
276.601,85
277.528,84
278.698,83
279.624,81
280.502,80
281.711,78
282.549,77
283.475,77
284.645,77
285.571,76
286.449,76
287.619,75
288.545,74
289.423,74
290.669,73
291.519,71
292.423,70
293.567,70
294.493,70
295.389,70
296.591,70
297.473,70
298.354,72
299.563,71
300.735,70
301.318,70
302.540,70
303.414,70
304.340,69
305.510,67
306.388,69
307.317,72
308.484,74
309.362,75
310.288,73
311.458,73
312.335,74
313.262,77
314.433,78
315.309,79
316.235,77
317.476,77
318.332,76
319.279,76
320.579,76
321.601,76
322.232,76
323.414,76
324.377,76
325.160,76
326.375,76
327.253,76
328.130,75
329.364,75
330.227,76
331.104,75
332.323,66
333.200,69
334.078,70
335.297,70
336.174,69
337.100,69
338.518,72
339.148,73
340.271,75
341.298,77
342.175,79
343.194,80
344.218,79
345.144,80
346.022,80
347.204,79
348.120,79
348.995,79
350.166,75
351.094,77
351.970,76
353.188,75
354.066,76
354.943,76
356.179,75
357.065,75
357.917,74
359.160,74
360.013,75
360.939,76
362.109,78
363.005,79
363.913,80
365.132,81
365.961,80
366.887,80
368.060,80
368.988,79
369.862,79
371.041,78
371.957,77
372.834,76
374.073,75
374.951,73
376.057,70
377.027,71
377.931,71
378.831,61
380.001,64
380.878,65
381.804,65
382.997,64
384.146,69
384.778,73
385.948,75
386.826,78
387.752,80
388.922,78
389.800,78
390.726,78
391.959,78
392.822,78
393.700,78
394.870,78
395.802,78
396.673,79
397.843,80
398.773,80
399.647,80
400.827,80
401.743,78
402.624,77
403.840,77
404.845,77
405.595,78
406.840,78
407.693,77
408.568,76
409.802,75
410.665,75
411.595,76
412.761,77
413.638,77
414.565,77
415.735,78
416.613,78
417.539,77
418.708,77
419.586,76
420.512,75
421.682,75
422.560,76
423.486,78
424.656,77
425.680,76
426.460,72
427.630,69
