df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,heart_rate
14.774,71
16.044,72
16.822,71
17.748,71
18.772,64
19.795,64
20.721,64
21.599,64
22.775,65
23.717,65
24.670,67
25.791,67
26.669,66
27.595,66
28.765,66
29.723,66
30.618,66
31.743,66
32.616,66
33.543,65
34.713,65
35.591,65
36.614,65
37.686,66
38.581,67
39.539,68
40.660,68
41.538,68
42.498,68
43.634,68
44.511,69
45.486,72
46.611,74
47.485,75
48.411,74
49.581,72
50.559,70
51.483,69
52.555,69
53.453,70
54.408,71
55.529,71
56.455,70
57.430,69
58.503,68
59.429,68
60.359,68
61.507,68
62.403,67
63.300,67
64.473,67
65.376,67
66.355,67
67.473,67
68.350,66
69.277,65
70.398,65
71.366,65
72.299,66
73.372,66
74.298,66
75.224,66
76.394,65
77.272,64
78.295,63
79.368,63
80.294,63
81.220,64
82.342,66
83.219,67
84.097,68
85.315,69
86.193,69
87.174,68
88.289,68
89.167,68
90.093,68
91.263,68
92.189,68
93.120,64
94.237,63
95.114,63
96.041,63
97.211,63
98.088,63
99.112,63
100.184,64
101.062,64
102.037,65
103.158,66
104.035,65
104.984,65
106.132,66
107.059,66
107.987,66
109.106,67
109.983,66
111.205,66
112.079,66
113.071,66
113.984,66
115.053,66
115.979,66
116.906,66
118.127,66
118.953,66
119.928,66
121.001,66
121.976,74
122.858,77
123.999,78
124.904,77
125.802,74
126.948,72
127.875,71
128.850,71
129.971,72
130.849,73
131.774,73
132.945,72
133.847,71
134.797,70
135.918,70
136.796,71
137.722,73
138.892,74
139.769,75
140.793,76
141.866,76
142.821,75
143.718,75
144.839,71
145.717,67
146.595,67
147.813,68
148.788,68
149.669,74
150.810,77
151.666,79
152.591,79
154.105,78
154.691,77
155.662,76
156.735,75
157.612,74
158.538,73
159.708,72
160.586,71
161.610,71
162.682,71
163.584,71
164.535,77
165.679,80
166.533,82
167.461,81
168.630,81
169.556,81
170.482,79
171.628,78
172.530,77
173.407,77
174.642,78
175.503,79
176.531,80
177.554,81
178.477,80
179.403,80
180.525,80
181.456,76
182.476,74
183.498,75
184.425,75
185.400,67
186.473,69
187.399,70
188.276,69
189.495,68
190.372,77
191.347,79
192.469,79
193.348,79
194.278,78
195.444,78
196.369,77
197.344,76
198.416,74
199.294,71
200.220,68
201.408,67
202.267,66
203.291,65
204.364,64
205.631,63
206.216,63
207.337,63
208.215,63
209.141,65
210.311,67
211.189,70
212.164,72
213.285,73
214.163,72
215.093,70
216.259,67
217.255,65
218.162,64
219.233,65
220.110,66
221.088,67
222.208,68
223.132,68
224.108,68
225.180,68
226.110,68
227.033,68
228.154,68
229.080,68
229.958,68
231.128,68
232.054,68
233.029,67
234.102,67
235.031,67
235.954,67
237.075,66
238.005,65
238.981,64
240.049,64
240.977,64
241.901,64
243.072,64
243.949,64
244.974,64
246.045,64
246.927,64
247.898,64
249.192,64
249.897,64
250.779,63
251.993,62
252.870,62
253.845,62
254.966,62
255.844,62
256.770,63
257.961,63
258.870,63
259.841,63
260.914,63
261.792,64
262.867,66
263.888,68
264.770,70
265.789,70
266.862,69
268.086,66
268.714,64
269.835,63
270.713,63
271.646,65
272.809,68
273.735,71
274.689,74
275.783,75
276.661,76
277.587,75
278.792,72
279.683,70
280.658,67
281.734,65
282.612,66
283.632,66
284.753,71
285.582,74
286.605,76
287.678,77
288.582,76
289.530,74
290.652,72
291.530,70
292.455,69
293.625,69
294.552,69
295.527,70
296.599,70
297.526,70
298.452,69
299.573,69
300.499,69
301.474,69
302.547,69
303.473,69
304.420,68
305.621,67
306.447,67
307.472,67
308.501,67
309.421,67
310.395,67
311.468,68
312.394,71
313.275,72
314.442,70
315.372,68
316.347,66
317.417,65
318.385,66
319.268,67
320.389,68
321.316,69
322.291,68
323.363,66
324.297,64
325.219,64
326.337,63
327.263,63
328.287,63
329.311,64
330.247,65
331.212,67
332.341,69
333.211,70
334.088,71
335.259,71
336.188,71
337.208,71
338.232,73
339.158,75
340.084,78
341.206,79
342.181,78
343.159,78
344.180,77
345.106,77
346.032,77
347.202,77
348.079,77
349.109,76
350.176,73
351.349,71
352.028,70
353.149,69
354.027,69
354.957,70
356.124,71
357.037,71
357.976,70
359.103,68
359.975,66
360.901,65
362.071,65
363.007,66
363.972,66
365.045,65
365.922,64
366.897,64
368.018,64
368.899,65
369.920,67
370.992,69
371.896,70
372.893,70
373.967,70
374.844,70
375.770,70
376.941,70
377.869,72
378.841,73
379.914,74
380.830,74
381.766,73
382.887,73
383.813,74
384.844,75
385.861,78
386.738,79
387.714,77
388.867,77
389.719,77
390.785,77
391.809,79
392.739,80
393.710,81
394.782,82
395.709,83
396.586,84
397.806,85
398.685,85
399.657,84
400.733,84
401.656,84
402.586,84
403.753,85
404.682,85
405.654,85
406.726,85
407.628,84
408.585,83
409.700,82
410.577,81
411.607,80
412.674,79
413.552,78
414.526,77
415.705,76
416.525,75
417.455,73
418.625,71
419.576,70
420.522,69
421.596,68
422.473,66
423.399,65
424.569,66
425.498,67
426.470,68
427.543,68
428.615,68
