df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,quality
14.777,61
16.047,60
16.875,54
17.751,43
18.775,66
19.798,73
20.726,74
21.604,78
22.781,84
23.720,86
24.673,85
25.794,88
26.673,86
27.598,89
28.768,85
29.730,85
30.625,84
31.746,86
32.619,86
33.546,86
34.716,89
35.594,93
36.617,91
37.692,85
38.593,79
39.544,74
40.666,75
41.543,79
42.504,84
43.644,75
44.514,74
45.490,69
46.621,79
47.488,71
48.427,61
49.585,65
50.606,84
51.486,78
52.559,78
53.484,80
54.411,89
55.532,80
56.464,83
57.434,80
58.506,77
59.432,77
60.362,77
61.512,73
62.406,73
63.304,78
64.476,75
65.380,79
66.450,74
67.476,80
68.353,79
69.280,79
70.406,82
71.369,84
72.304,87
73.375,85
74.302,80
75.227,81
76.398,81
77.276,79
78.301,81
79.373,86
80.299,84
81.225,77
82.345,72
83.225,80
84.100,86
85.320,85
86.199,85
87.460,29
88.293,28
89.170,22
90.100,21
91.269,24
92.196,27
93.165,32
94.252,74
95.117,76
96.044,89
97.262,89
98.092,89
99.115,86
100.188,81
101.065,82
102.041,87
103.161,87
104.039,88
104.989,90
106.135,86
107.062,87
108.135,88
109.109,89
109.989,11
111.210,15
112.083,16
113.075,16
114.031,17
115.056,15
115.983,0
116.909,4
118.130,1
118.957,0
119.932,0
121.005,0
121.979,43
123.292,76
124.004,68
124.909,49
125.805,61
126.959,81
127.879,82
128.856,80
129.975,77
130.852,81
131.778,74
132.948,68
134.263,77
134.800,89
135.922,77
136.801,69
137.726,71
138.895,80
139.773,82
140.796,75
141.869,76
142.841,56
143.721,38
144.843,66
145.720,86
146.598,66
147.817,50
148.792,41
149.672,52
151.177,68
151.682,69
152.598,72
154.108,81
154.736,76
155.666,75
156.738,72
157.616,67
158.588,71
159.714,67
160.600,70
161.613,61
162.685,44
163.757,40
164.539,63
165.707,65
166.537,61
167.558,63
168.634,60
169.559,52
170.487,55
171.631,73
172.534,66
173.413,61
174.724,77
175.507,87
176.681,79
177.566,63
178.481,40
179.407,30
180.528,35
181.600,55
182.499,54
183.502,0
184.430,26
185.408,36
186.521,0
187.405,0
188.279,34
189.499,23
190.376,33
191.350,64
192.472,75
193.597,76
194.323,66
195.449,67
196.372,58
197.347,51
198.420,50
199.299,59
200.242,80
201.637,82
202.271,80
203.298,76
204.368,78
205.635,80
206.219,86
207.353,90
208.218,91
209.146,62
210.314,52
211.192,59
212.169,73
213.291,61
214.177,52
215.240,56
216.264,68
217.480,81
218.175,85
219.240,79
220.115,74
221.093,77
222.222,83
223.136,90
224.114,87
225.185,85
226.207,88
227.039,86
228.157,83
229.083,84
229.961,84
231.131,84
232.061,81
233.032,77
234.105,80
235.079,80
235.957,80
237.078,84
238.011,91
239.126,94
240.054,90
241.270,88
241.906,89
243.077,92
243.954,88
244.977,90
246.048,88
247.169,81
247.905,74
249.195,73
249.908,76
250.824,79
251.997,80
252.874,81
253.848,83
254.971,81
255.855,81
256.774,83
258.138,81
258.874,84
259.844,82
260.917,80
261.795,78
262.870,78
263.892,53
264.817,67
265.792,50
266.865,37
268.095,54
268.718,87
269.839,85
270.716,75
271.737,67
272.813,59
273.742,78
274.711,88
275.790,84
276.669,78
277.591,60
279.150,59
279.686,71
280.661,80
281.738,68
282.757,51
283.635,39
284.756,54
285.585,79
286.609,79
287.682,89
288.587,80
289.534,62
290.655,64
291.577,76
292.459,81
293.630,75
294.555,82
295.530,85
296.603,86
297.529,81
298.455,86
299.576,89
300.505,84
301.480,83
302.595,86
303.477,84
304.646,80
305.625,87
306.452,88
307.568,91
308.641,88
309.424,86
310.399,82
311.472,62
312.397,59
313.564,61
314.446,40
315.417,50
316.492,79
317.423,82
318.406,70
319.272,67
320.392,73
321.319,67
322.294,63
323.370,72
324.533,82
325.365,86
326.341,88
327.267,89
328.291,91
329.317,78
330.483,73
331.220,74
332.408,79
333.216,80
334.094,82
335.264,85
336.334,86
337.214,73
338.238,59
339.161,61
340.094,73
341.209,70
342.184,84
343.257,83
344.183,85
345.111,81
346.041,82
347.221,82
348.084,80
349.111,69
350.180,67
351.356,74
352.032,83
353.153,85
354.031,77
355.054,78
356.150,74
357.296,67
357.983,64
359.111,81
359.978,87
360.905,89
362.074,90
363.148,88
363.976,88
365.048,84
365.925,86
366.900,86
368.022,84
368.947,79
369.923,80
370.996,79
371.899,81
372.897,83
373.975,83
374.850,83
375.775,82
376.947,77
377.873,75
378.844,80
379.918,87
381.038,79
381.771,83
382.890,75
383.819,72
384.852,78
385.866,70
386.742,52
387.718,43
389.225,34
389.909,0
390.788,35
391.815,42
392.832,53
393.713,71
394.785,75
395.712,63
396.589,43
397.814,44
398.688,43
399.661,42
400.782,50
401.659,55
402.728,78
403.757,84
404.686,85
405.658,82
406.729,80
407.633,75
408.676,79
409.703,87
410.584,88
411.699,85
412.677,83
413.561,86
414.529,88
415.712,84
416.528,76
417.459,76
418.629,80
419.648,84
420.526,86
421.605,88
422.477,91
423.404,89
424.572,86
425.502,86
426.473,86
427.546,83
428.619,86
429.399,70
