df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,temperature
5.755,35.219
7.172,35.312
7.754,35.312
8.779,35.344
9.753,35.312
10.777,35.375
11.752,35.375
12.787,35.406
13.750,35.438
14.825,35.438
15.749,35.438
16.806,35.375
17.848,35.406
18.779,35.406
19.747,35.438
20.790,35.469
21.746,35.500
22.769,35.500
23.763,35.500
24.768,35.531
25.743,35.562
26.786,35.594
27.742,35.594
28.814,35.562
29.790,35.562
30.813,35.562
31.793,35.594
32.763,35.594
33.738,35.656
34.762,35.656
35.737,35.656
36.764,35.656
37.760,35.656
39.103,35.719
39.755,35.750
40.782,35.781
41.734,35.750
42.854,35.750
43.732,35.750
44.756,35.750
45.731,35.750
46.901,35.781
47.729,35.781
48.753,35.750
49.777,35.750
50.752,35.719
51.776,35.750
52.755,35.781
53.775,35.812
54.749,35.844
55.773,35.875
57.043,35.875
57.772,35.938
58.747,35.938
59.771,35.938
60.748,35.969
61.813,35.906
62.745,35.906
63.768,35.875
64.743,35.844
65.767,35.844
66.742,35.844
67.766,35.844
68.741,35.844
69.765,35.875
70.739,35.875
71.909,35.875
72.738,35.875
73.762,35.906
74.886,35.906
75.760,35.906
76.736,35.875
77.761,35.906
78.734,35.906
79.759,35.906
80.733,35.875
81.760,35.938
82.878,35.938
83.756,35.969
84.732,35.938
85.759,35.969
86.781,35.969
87.753,35.969
88.728,36.031
89.752,36.031
90.727,36.094
91.751,36.094
93.116,36.125
93.798,36.125
94.725,36.188
95.749,36.219
96.775,36.344
97.747,36.312
98.771,36.312
99.746,36.312
100.769,36.312
101.750,36.312
102.768,36.188
103.746,36.156
104.767,36.188
105.742,36.188
107.012,36.125
107.741,36.125
108.765,36.094
109.740,36.125
110.763,36.094
111.738,36.125
112.762,36.281
113.737,36.312
114.761,36.312
115.738,36.312
116.761,36.312
118.027,36.312
118.759,36.375
119.737,36.406
120.758,36.438
121.732,36.406
122.756,36.406
123.731,36.406
124.755,36.406
125.730,36.406
126.753,36.438
127.735,36.438
128.752,36.406
129.727,36.406
130.751,36.406
131.726,36.406
132.750,36.438
133.725,36.406
134.749,36.406
135.724,36.406
136.747,36.438
137.871,36.438
138.812,36.500
139.721,36.469
140.745,36.469
141.720,36.469
142.990,36.469
143.819,36.469
144.746,36.438
145.766,36.375
146.741,36.375
147.765,36.375
148.837,36.375
149.764,36.375
150.742,36.375
151.763,36.438
152.760,36.406
153.771,36.375
154.743,36.438
155.760,36.531
156.884,36.562
157.759,36.531
158.737,36.531
159.861,36.625
160.733,36.625
161.756,36.594
163.123,36.625
163.766,36.656
164.730,36.656
165.754,36.625
166.728,36.656
167.752,36.688
168.731,36.688
169.751,36.625
170.778,36.625
171.750,36.625
172.725,36.594
173.780,36.594
174.753,36.594
175.748,36.625
176.749,36.625
178.138,36.562
178.721,36.625
179.766,36.656
180.741,36.656
181.744,36.656
183.016,36.688
183.743,36.719
184.720,36.719
185.741,36.750
186.718,36.719
187.986,36.719
188.719,36.688
189.739,36.688
190.714,36.750
191.737,36.719
192.762,36.688
193.737,36.688
194.712,36.719
195.770,36.688
196.759,36.688
197.783,36.719
198.758,36.594
199.733,36.562
200.757,36.562
201.732,36.594
202.755,36.625
203.733,36.625
204.754,36.625
205.753,36.625
206.752,36.656
207.765,36.656
208.753,36.750
209.727,36.781
210.758,36.750
211.725,36.750
212.750,36.719
213.873,36.750
214.747,36.750
215.723,36.750
216.747,36.781
217.762,36.750
218.745,36.781
219.720,36.781
221.085,36.781
221.719,36.781
222.743,36.781
223.962,36.719
224.742,36.719
225.717,36.688
226.743,36.656
227.716,36.688
228.740,36.688
229.746,36.688
230.738,36.719
231.713,36.719
232.737,36.719
233.712,36.719
235.027,36.719
235.710,36.719
236.734,36.719
238.001,36.719
238.976,36.719
239.708,36.719
240.734,36.688
241.756,36.688
242.730,36.688
243.706,36.719
244.729,36.719
245.753,36.750
246.730,36.750
247.752,36.719
248.727,36.750
249.751,36.656
250.726,36.656
251.749,36.656
252.724,36.688
253.748,36.781
254.723,36.781
255.747,36.781
256.722,36.781
257.767,36.812
258.721,36.781
259.744,36.875
260.720,36.875
261.743,36.875
262.718,36.875
263.742,36.781
264.717,36.812
265.741,36.812
266.718,36.812
267.742,36.812
268.863,36.812
269.738,36.812
270.908,36.781
271.741,36.750
272.712,36.750
273.979,36.750
274.736,36.750
275.735,36.750
276.710,36.750
277.758,36.781
278.781,36.781
279.732,36.781
280.707,36.781
281.730,36.812
283.196,36.812
283.730,36.781
284.802,36.781
285.777,36.750
286.800,36.750
287.727,36.750
288.702,36.750
289.726,36.750
290.725,36.812
291.725,36.844
292.700,36.875
294.116,36.875
294.747,36.844
295.917,36.875
296.745,36.875
297.720,36.906
298.745,36.844
299.720,36.875
300.743,36.844
301.719,36.812
302.832,36.812
303.960,36.812
304.741,36.812
305.716,36.844
306.740,36.812
307.714,36.812
308.744,36.875
309.714,36.844
310.737,36.844
311.712,36.844
312.736,36.844
313.711,36.875
314.735,36.875
315.710,36.875
316.734,36.906
317.709,36.906
318.732,36.875
