df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,battery
8.638,81
18.674,81
28.668,81
38.662,81
48.656,81
58.649,81
68.643,81
78.637,81
88.631,81
98.625,81
108.667,81
118.661,81
128.655,81
138.649,81
148.643,81
158.636,81
168.728,81
178.673,81
188.618,81
198.612,81
208.654,81
218.648,81
228.642,81
238.636,81
248.629,81
258.625,81
268.617,80
278.611,80
288.605,80
298.599,80
308.671,80
318.635,80
328.629,80
338.642,80
348.616,80
358.610,80
368.653,80
378.598,80
388.592,80
398.585,80
408.683,80
418.621,80
428.624,80
438.609,80
448.627,80
458.602,80
