df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,rr_int
10.630,3855
11.313,1790
11.459,870
13.121,875
13.946,755
14.923,795
15.752,935
16.724,985
17.699,995
18.678,865
19.503,995
20.478,955
21.329,925
22.282,900
23.256,935
24.085,915
25.064,915
26.035,930
26.913,970
27.693,840
28.671,920
29.689,925
30.472,935
31.450,905
32.276,915
33.250,935
34.079,905
35.054,930
36.029,945
36.760,895
37.589,820
38.566,805
39.491,960
40.368,930
41.203,900
42.025,870
42.857,850
43.705,810
44.366,785
45.194,745
46.071,790
46.904,840
47.875,875
48.704,920
49.728,940
50.556,875
51.190,840
52.019,830
52.848,830
53.823,840
54.653,880
55.626,940
56.799,860
57.284,860
58.259,940
59.102,920
60.063,870
60.648,935
61.041,565
61.866,330
62.842,970
63.671,925
64.646,910
65.621,895
66.303,960
66.306,700
66.351,15
66.455,235
68.253,910
69.228,910
70.203,930
71.032,925
71.913,900
72.836,860
73.811,945
74.639,980
75.615,895
76.590,975
77.564,985
78.540,960
79.440,945
80.197,920
81.077,840
82.004,835
82.885,905
83.707,870
84.682,885
85.511,890
86.486,935
87.168,870
87.493,755
89.508,335
90.483,1970
91.458,1055
92.433,965
93.408,965
94.454,975
95.218,955
96.187,920
97.164,990
98.158,960
98.965,900
99.941,910
100.773,910
101.744,925
102.719,925
103.548,965
104.523,915
105.352,920
106.333,875
107.156,925
107.984,900
108.827,845
109.642,890
110.109,740
110.644,430
110.911,530
111.349,355
112.713,405
113.152,1375
113.542,460
113.981,445
114.274,385
115.639,300
117.154,1345
117.589,1615
118.033,385
118.710,355
119.392,780
120.221,730
120.952,735
121.635,735
122.463,740
123.349,800
124.298,910
125.096,915
125.926,850
126.756,845
127.582,855
128.412,860
129.093,755
129.923,785
130.897,830
131.729,925
132.701,880
133.530,895
134.359,880
135.090,820
136.067,810
136.611,785
137.579,755
138.258,800
138.989,815
139.819,740
140.647,735
141.476,850
142.500,900
143.426,985
144.401,960
145.280,920
145.913,875
146.746,795
147.423,770
148.154,715
148.840,665
149.666,780
150.495,815
151.212,810
152.006,745
152.835,790
153.712,860
154.541,875
155.370,825
156.198,800
157.028,780
157.856,875
159.174,910
159.514,900
160.345,805
161.074,745
161.317,750
161.323,245
161.372,10
161.384,10
161.463,15
161.468,75
161.761,10
162.438,335
163.129,690
163.950,730
164.681,770
165.510,765
165.900,750
166.046,680
167.563,750
168.435,725
169.264,860
170.092,845
170.921,830
171.603,760
172.286,715
173.017,770
173.846,715
174.533,780
175.211,720
175.893,690
175.899,665
176.527,10
177.453,660
178.429,915
179.257,940
180.087,860
180.915,915
182.426,860
184.162,1470
184.279,1855
185.937,1305
185.944,290
186.180,30
186.911,265
187.594,730
188.425,760
189.106,760
189.935,780
190.665,725
191.498,775
192.178,770
193.005,765
193.689,775
194.273,810
194.665,495
195.394,285
196.320,880
197.197,885
198.173,935
199.009,940
199.977,900
200.903,860
201.780,980
202.758,945
203.730,970
204.657,975
205.640,960
206.607,955
207.459,950
208.264,910
208.995,810
209.825,740
210.653,770
211.335,845
212.310,790
213.457,885
214.260,965
215.089,970
216.065,950
217.091,930
217.868,920
218.697,895
219.525,815
220.500,885
221.478,910
222.157,870
223.284,900
223.968,900
224.841,885
225.817,885
226.643,920
227.472,880
228.446,865
229.278,915
230.250,925
231.079,860
231.909,885
232.883,915
233.858,940
234.686,900
235.663,930
236.637,955
237.615,955
238.441,940
239.415,950
240.398,975
241.368,945
242.194,925
243.267,950
244.146,985
245.071,950
245.655,910
245.948,635
246.923,285
247.849,985
248.824,970
249.799,945
250.774,955
251.753,975
252.727,1020
253.699,970
254.528,930
255.503,935
256.478,965
257.489,985
258.428,970
259.403,915
260.232,960
261.060,905
261.889,890
262.721,805
263.450,770
264.424,785
265.496,970
266.472,1035
267.739,995
268.422,975
269.251,970
270.080,915
270.911,810
271.639,790
272.468,780
273.150,800
273.985,780
274.808,760
275.491,785
276.465,810
277.441,945
278.269,935
279.245,925
280.219,965
281.048,935
281.828,790
282.608,780
283.313,760
284.120,765
284.806,785
285.630,770
286.460,800
287.249,795
288.166,790
289.093,920
289.970,970
290.847,890
291.627,890
292.650,830
293.431,875
294.260,875
295.088,815
295.925,860
296.892,915
297.724,905
298.549,865
299.378,900
300.256,850
301.235,840
302.157,930
302.987,930
303.964,905
304.790,925
305.765,910
306.601,890
307.574,900
308.446,925
309.275,910
310.103,865
310.786,775
311.615,730
312.590,795
313.569,990
314.540,990
315.368,955
316.343,935
317.221,925
318.001,845
318.831,795
319.805,820
320.634,965
321.611,955
322.584,970
323.559,980
324.539,915
325.509,965
326.506,990
327.312,955
328.146,905
329.116,895
329.799,860
330.627,795
331.476,805
332.284,810
333.942,870
334.819,1725
335.678,830
336.477,830
337.159,750
337.842,730
338.551,740
339.354,745
340.233,785
340.914,820
341.753,790
342.571,775
343.400,840
344.083,815
344.911,760
345.642,740
346.471,785
347.322,810
348.128,810
349.105,880
349.932,930
351.059,905
351.796,870
352.565,865
353.247,855
354.076,780
354.953,810
355.880,905
356.860,925
