df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,acc_mag
4.918,0.977
4.948,0.982
4.978,0.980
5.008,0.977
5.038,0.982
5.068,0.985
5.098,0.979
5.128,0.978
5.158,0.981
5.188,0.974
5.218,0.974
5.248,0.979
5.278,0.978
5.308,0.971
5.338,0.974
5.368,0.983
5.398,0.984
5.428,0.976
5.458,0.976
5.488,0.973
5.518,0.974
5.548,0.977
5.578,0.989
5.608,0.984
5.638,0.993
5.668,0.990
5.698,0.977
5.728,0.971
5.758,0.988
5.788,0.991
5.818,0.986
5.848,1.009
5.878,1.007
5.908,0.982
5.938,0.962
5.968,0.973
5.998,0.972
6.028,0.955
6.058,0.979
6.088,0.997
6.118,0.997
6.148,1.000
6.178,0.987
6.208,0.969
6.238,0.960
6.268,0.982
6.298,0.983
6.328,0.971
6.358,0.976
6.388,0.985
6.418,0.980
6.448,0.976
6.478,0.989
6.508,0.987
6.538,0.981
6.568,0.972
6.598,0.987
6.628,0.972
6.658,0.986
6.688,0.990
6.718,0.987
6.748,0.975
6.778,0.977
6.808,0.979
6.838,0.976
6.868,0.973
6.898,0.981
6.928,0.985
6.958,0.981
6.988,0.977
7.018,0.976
7.048,0.979
7.078,0.971
7.108,0.983
7.138,0.979
7.168,0.982
7.198,0.979
7.228,0.979
7.258,0.986
7.288,0.982
7.318,0.983
7.348,0.990
7.378,0.979
7.408,0.981
7.438,0.976
7.468,0.982
7.498,0.977
7.528,0.977
7.558,0.982
7.588,0.975
7.618,0.979
7.648,0.985
7.678,0.978
7.708,0.973
7.738,0.985
7.768,0.981
7.798,0.979
7.828,0.981
7.858,0.984
7.888,0.980
7.918,0.974
7.948,0.982
7.978,0.978
8.008,0.979
8.038,0.984
8.068,0.987
8.098,0.987
8.128,0.973
8.158,0.968
8.188,0.987
8.218,0.987
8.248,0.982
8.278,0.976
8.308,0.981
8.338,0.984
8.368,0.976
8.398,0.981
8.428,0.978
8.458,0.980
8.488,0.985
8.518,0.980
8.548,0.982
8.578,0.975
8.608,0.982
8.638,0.983
8.668,0.980
8.698,0.987
8.728,0.978
8.758,0.976
8.788,0.978
8.818,0.984
8.848,0.979
8.878,0.980
8.908,0.980
8.938,0.985
8.968,0.979
8.998,0.985
9.028,0.982
9.058,0.984
9.088,0.982
9.118,0.987
9.148,0.982
9.178,0.973
9.208,0.978
9.238,0.989
9.268,0.982
9.298,0.979
9.328,0.982
9.358,0.983
9.388,0.981
9.418,0.983
9.448,0.979
9.478,0.973
9.508,0.985
9.538,0.977
9.568,0.979
9.598,0.982
9.628,0.987
9.658,0.983
9.688,0.984
9.718,0.979
9.748,0.976
9.778,0.981
9.808,0.984
9.838,0.978
9.868,0.983
9.898,0.980
9.928,0.987
9.958,0.979
9.988,0.974
10.018,0.981
10.048,0.989
10.078,0.984
10.108,0.978
10.138,0.979
10.168,0.981
10.198,0.975
10.228,0.974
10.258,0.993
10.288,0.982
10.318,0.978
10.348,0.979
10.378,0.987
10.408,0.977
10.438,0.978
10.468,0.980
10.498,0.988
10.528,0.977
10.558,0.979
10.588,0.983
10.618,0.980
10.648,0.982
10.678,0.984
10.708,0.981
10.738,0.985
10.768,0.982
10.798,0.979
10.828,0.978
10.858,0.982
10.888,0.982
10.918,0.978
10.948,0.980
10.978,0.982
11.008,0.980
11.038,0.976
11.068,0.981
11.098,0.984
11.128,0.973
11.158,0.979
11.188,0.987
11.218,0.988
11.248,0.980
11.278,0.973
11.308,0.970
11.338,0.985
11.368,0.984
11.398,0.976
11.428,0.984
11.458,0.984
11.488,0.979
11.518,0.979
11.548,0.985
11.578,0.978
11.608,0.971
11.638,0.992
11.668,0.983
11.698,0.972
11.728,0.978
11.758,0.979
11.788,0.983
11.818,0.979
11.848,0.975
11.878,0.982
11.908,0.980
11.938,0.984
11.968,0.976
11.998,0.980
12.028,0.986
12.058,0.984
12.088,0.985
12.118,0.981
12.148,0.969
12.178,0.979
12.208,0.985
12.238,0.977
12.268,0.975
12.298,0.987
12.328,0.981
12.358,0.982
12.388,0.979
12.418,0.974
12.448,0.984
12.478,0.983
12.508,0.974
12.538,0.986
12.568,0.979
12.598,0.980
12.628,0.977
12.658,0.978
12.688,0.986
12.718,0.974
12.748,0.978
12.778,0.980
12.808,0.977
12.838,0.981
12.868,0.982
12.898,0.984
12.928,0.979
12.958,0.990
12.988,0.976
13.018,0.975
13.048,0.978
13.078,0.979
13.108,0.984
13.138,0.974
13.168,0.981
13.198,0.979
13.228,0.981
13.258,0.982
13.288,0.984
13.318,0.983
13.348,0.978
13.378,0.982
13.408,0.978
13.438,0.981
13.468,0.980
13.498,0.979
13.528,0.977
13.558,0.986
13.588,0.983
13.618,0.977
13.648,0.975
13.678,0.985
13.708,0.982
13.738,0.976
13.768,0.979
13.798,0.977
13.828,0.980
13.858,0.979
13.888,0.980
13.918,0.979
13.948,0.979
13.978,0.985
14.008,0.984
14.038,0.981
14.068,0.984
14.098,0.981
14.128,0.979
14.158,0.980
14.188,0.977
14.218,0.984
14.248,0.983
14.278,0.983
14.308,0.979
