df_hash,22ZHK4.4549PD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.RR3X
person_label,V8
date_time_start,2025-05-21_10-22-56.669000_+03
date_time_start_unix,1747812176.669
date_time_end,2025-05-21_10-30-43.316000_+03
length_difference_noticed,no

time,ppg_med
5.928,632
5.953,726
5.978,876
6.003,957
6.028,924
6.053,890
6.078,977
6.103,1136
6.128,1197
6.153,1098
6.178,993
6.203,1047
6.228,1195
6.253,1204
6.278,993
6.303,769
6.328,757
6.353,868
6.378,789
6.403,414
6.428,22
6.453,-88
6.478,-35
6.503,-232
6.528,-815
6.553,-1415
6.578,-1640
6.603,-1646
6.628,-1967
6.653,-2778
6.678,-3599
6.703,-3922
6.728,-3949
6.753,-4363
6.778,-5384
6.803,-6396
6.828,-6753
6.853,-6709
6.878,-7132
6.903,-8297
6.928,-9420
6.953,-9690
6.978,-9426
7.003,-9719
7.028,-10910
7.053,-12018
7.078,-12024
7.103,-11334
7.128,-11308
7.153,-12372
7.178,-13303
7.203,-12831
7.228,-11463
7.253,-10899
7.278,-11672
7.303,-12258
7.328,-11075
7.353,-8757
7.378,-7432
7.403,-7775
7.428,-7883
7.453,-5769
7.478,-2226
7.503,53
7.528,200
7.553,620
7.578,3848
7.603,8881
7.628,12254
7.653,12815
7.678,13666
7.703,18141
7.728,24955
7.753,29498
7.778,30155
7.803,31089
7.828,32767
7.853,32767
7.878,32767
7.903,32767
7.928,32767
7.953,32767
7.978,32767
8.003,32767
8.028,32767
8.053,32767
8.078,32767
8.103,32767
8.128,32767
8.153,32767
8.178,16071
8.203,-32768
8.228,-32768
8.253,-32768
8.278,-32768
8.303,-32768
8.328,-32768
8.353,-32768
8.378,-32768
8.403,-32768
8.428,-32768
8.453,-32768
8.478,-32768
8.503,-32768
8.528,-32768
8.553,-31888
8.578,-29271
8.603,-29218
8.628,-26419
8.653,-20037
8.678,-14240
8.703,-12202
8.728,-12087
8.753,-9990
8.778,-5261
8.803,-1026
8.828,283
8.853,55
8.878,1311
8.903,4585
8.928,7464
8.953,8043
8.978,7396
9.003,7896
9.028,9959
9.053,11674
9.078,11555
9.103,10522
9.128,10529
9.153,11923
9.178,13113
9.203,12807
9.228,11667
9.253,11256
9.278,11911
9.303,12422
9.328,11784
9.353,10517
9.378,9849
9.403,10037
9.428,10125
9.453,9326
9.478,8065
9.503,7317
9.528,7277
9.553,7176
9.578,6393
9.603,5269
9.628,4571
9.653,4443
9.678,4276
9.703,3586
9.728,2651
9.753,2073
9.778,1952
9.803,1798
9.828,1239
9.853,507
9.878,76
9.903,13
9.928,-75
9.953,-470
9.978,-954
10.003,-1105
10.028,-852
10.053,-544
10.078,-491
10.103,-620
10.128,-640
10.153,-454
10.178,-256
10.203,-239
10.228,-352
10.253,-402
10.278,-317
10.303,-221
10.328,-234
10.353,-317
10.378,-342
10.403,-279
10.428,-218
10.453,-236
10.478,-296
10.503,-303
10.528,-245
10.553,-197
10.578,-223
10.603,-285
10.628,-308
10.653,-279
10.678,-259
10.703,-296
10.728,-360
10.753,-418
10.778,-514
10.803,-623
10.828,-696
10.853,-672
10.878,-525
10.903,-293
10.928,-59
10.953,113
10.978,223
11.003,314
11.028,420
11.053,534
11.078,620
11.103,656
11.128,662
11.153,670
11.178,692
11.203,710
11.228,703
11.253,670
11.278,629
11.303,592
11.328,553
11.353,499
11.378,426
11.403,345
11.428,268
11.453,202
11.478,146
11.503,98
11.528,52
11.553,-2
11.578,-74
11.603,-155
11.628,-229
11.653,-287
11.678,-346
11.703,-423
11.728,-506
11.753,-538
11.778,-458
11.803,-261
11.828,-12
11.853,199
11.878,336
11.903,426
11.928,524
11.953,646
11.978,760
12.003,828
12.028,851
12.053,864
12.078,893
12.103,927
12.128,938
12.153,918
12.178,886
12.203,866
12.228,860
12.253,852
12.278,835
12.303,816
12.328,804
12.353,790
12.378,761
12.403,715
12.428,669
12.453,631
12.478,573
12.503,448
12.528,235
12.553,-39
12.578,-329
12.603,-600
12.628,-839
12.653,-1021
12.678,-1095
12.703,-1015
12.728,-796
12.753,-524
12.778,-295
12.803,-147
12.828,-41
12.853,77
12.878,219
12.903,345
12.928,416
12.953,440
12.978,453
13.003,481
13.028,511
13.053,519
13.078,504
13.103,484
13.128,472
13.153,459
13.178,425
13.203,369
13.228,304
13.253,247
13.278,195
13.303,139
13.328,78
13.353,19
13.378,-32
13.403,-85
13.428,-144
13.453,-200
13.478,-241
13.503,-271
13.528,-316
13.553,-385
13.578,-447
13.603,-433
13.628,-298
13.653,-64
13.678,190
13.703,389
13.728,514
13.753,603
13.778,701
13.803,817
13.828,919
13.853,977
13.878,990
13.903,983
13.928,981
13.953,985
13.978,977
14.003,945
14.028,889
14.053,825
14.078,758
14.103,684
14.128,592
14.153,486
14.178,377
14.203,279
14.228,189
14.253,101
14.278,12
14.303,-65
14.328,-127
14.353,-188
14.378,-275
14.403,-387
14.428,-479
14.453,-481
14.478,-363
14.503,-168
14.528,22
14.553,152
14.578,224
14.603,282
14.628,351
14.653,418
14.678,457
14.703,461
14.728,452
14.753,451
14.778,458
14.803,457
14.828,437
14.853,404
14.878,369
14.903,337
14.928,302
14.953,256
14.978,199
15.003,133
15.028,64
15.053,0
15.078,-57
15.103,-119
15.128,-204
