df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,quality
15.035,78
15.768,74
16.937,70
17.863,75
19.033,78
19.960,80
20.934,81
21.774,74
22.934,79
24.107,79
24.689,74
25.919,78
26.833,69
27.662,64
28.929,64
29.852,71
30.636,80
31.854,75
32.742,75
33.611,76
34.831,81
35.998,76
36.635,63
37.802,70
38.726,76
39.609,74
40.777,75
41.654,75
42.590,78
44.049,67
44.629,66
45.554,73
46.967,45
47.601,38
48.530,28
49.700,0
50.601,0
51.504,0
52.717,0
53.552,0
54.520,31
55.691,62
56.522,75
57.449,76
58.619,75
59.525,75
60.423,74
61.593,72
62.665,73
63.396,71
64.614,77
65.444,75
66.372,77
67.563,82
68.417,75
69.640,76
70.515,79
71.537,77
72.610,67
73.728,52
74.414,49
75.293,45
76.561,47
77.390,36
78.268,0
79.435,0
80.654,31
81.239,0
82.409,36
83.335,26
84.216,40
85.383,41
86.552,54
87.187,59
88.407,67
89.285,56
90.160,60
91.382,67
92.549,74
93.135,62
94.378,51
95.425,49
96.108,32
97.519,39
98.204,28
99.083,35
100.300,31
101.178,27
102.056,0
103.274,32
104.152,37
105.029,37
106.248,38
107.424,44
108.009,55
109.221,42
110.099,18
110.976,31
112.245,25
113.417,38
113.950,28
115.559,29
116.052,23
116.925,45
118.143,42
119.021,46
119.992,51
121.117,37
121.994,40
122.920,41
124.091,33
125.168,31
126.186,40
127.068,46
127.942,31
129.160,29
130.330,31
130.916,29
132.082,30
133.012,26
134.186,66
135.007,74
135.986,76
136.912,72
137.790,63
138.960,47
139.886,45
140.766,43
141.981,37
142.954,26
143.737,29
145.148,30
145.833,44
146.811,51
147.883,67
149.099,69
149.732,55
151.003,50
151.781,48
152.711,38
153.878,40
154.904,45
155.632,44
157.091,54
157.729,75
158.612,72
159.828,74
160.718,34
161.677,23
162.799,0
163.676,0
164.553,24
165.773,32
166.650,42
167.553,29
168.755,38
169.624,42
170.693,35
171.963,52
172.598,60
173.475,60
174.694,57
175.618,52
176.451,45
177.713,44
178.545,46
179.472,47
180.641,51
181.615,69
182.446,68
183.615,71
184.493,73
185.419,77
186.589,83
187.474,79
188.397,73
189.562,73
190.440,80
191.368,78
192.563,76
193.608,77
194.632,78
195.510,81
196.436,80
197.314,82
198.495,81
199.464,81
200.290,80
201.604,79
202.335,73
203.261,44
204.574,47
205.419,40
206.236,31
207.499,29
208.331,32
209.209,45
210.379,53
211.548,58
212.280,78
213.642,72
214.471,74
215.302,82
216.429,79
217.253,80
218.130,77
219.600,77
220.421,76
221.397,75
222.320,57
223.346,57
224.227,52
225.248,49
226.181,40
227.051,0
228.221,0
229.199,0
230.027,0
231.244,0
232.417,41
232.999,75
234.218,56
235.287,58
235.973,51
237.191,40
238.077,35
238.947,40
240.413,32
241.044,34
241.966,42
243.139,39
244.022,37
244.896,38
246.113,39
246.991,34
247.868,68
249.087,76
249.964,79
250.890,79
252.060,82
253.084,80
254.056,82
255.278,84
255.912,82
257.078,83
258.059,82
259.181,84
259.812,82
261.127,83
262.151,87
262.786,81
263.956,83
264.834,85
265.810,82
266.978,83
267.860,82
268.734,81
270.293,81
270.829,80
271.711,76
272.877,78
273.803,78
274.681,81
276.148,77
276.778,81
277.749,80
278.873,82
279.751,83
280.630,81
281.847,84
282.724,78
283.697,80
284.821,81
285.771,79
286.576,80
287.797,81
288.964,81
289.695,84
290.770,83
291.647,82
292.527,81
293.793,81
294.667,83
295.499,78
296.813,82
297.639,82
298.521,81
299.690,78
300.571,84
301.539,83
302.712,77
303.541,82
304.467,80
305.683,80
306.514,77
307.441,71
308.706,74
309.488,75
310.416,75
311.683,74
312.511,79
313.388,66
314.559,60
315.677,49
316.362,37
317.537,37
318.703,33
319.388,42
320.506,31
321.446,26
322.312,25
323.678,26
324.357,33
325.427,0
326.454,0
327.390,45
328.258,53
329.429,74
330.453,77
331.231,77
332.401,77
333.328,78
334.311,45
335.375,32
336.303,30
337.179,28
338.641,26
339.275,33
340.153,44
341.323,35
342.273,37
343.130,47
344.345,57
345.225,51
346.100,51
347.273,62
348.198,71
349.075,75
350.245,75
351.171,70
352.048,75
353.269,74
354.146,86
355.270,83
356.237,74
357.122,69
357.995,45
359.460,33
360.137,32
361.018,22
362.386,25
363.067,20
363.943,31
365.162,23
366.039,20
366.917,22
368.137,24
369.018,0
369.891,0
371.109,0
371.987,0
373.059,0
374.082,0
374.960,0
375.981,8
377.056,9
378.177,9
378.812,4
380.031,0
380.910,0
381.838,39
383.006,42
383.884,41
384.805,39
385.978,56
386.856,59
387.785,53
389.151,55
389.829,50
390.756,55
391.926,53
393.098,51
393.732,52
394.993,64
396.069,77
396.705,78
397.921,81
398.898,79
399.678,73
400.908,73
401.773,68
402.699,59
403.821,48
404.747,51
405.628,53
406.809,54
407.724,60
408.598,59
410.011,65
410.700,70
411.604,72
412.934,69
413.670,54
414.546,19
415.813,0
416.644,22
417.617,20
418.740,21
419.616,27
420.493,47
421.806,43
422.684,40
423.610,31
424.690,0
425.658,10
426.441,15
427.660,17
428.549,5
