df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,ppg_quality
57.821,80
58.831,84
59.841,84
60.851,90
62.871,109
64.891,110
66.911,108
68.931,108
71.961,113
73.981,99
74.991,90
76.001,75
78.021,48
79.031,34
80.041,24
83.071,33
85.091,46
87.111,66
88.121,79
89.131,93
90.141,99
91.151,102
92.161,99
94.181,90
95.191,84
96.201,87
97.211,80
98.221,69
100.241,45
102.261,29
104.281,15
105.291,13
106.301,8
107.311,12
109.331,31
111.351,30
113.371,36
115.391,39
116.401,43
118.421,51
120.441,60
122.461,57
123.471,55
124.481,47
126.501,44
127.511,42
129.531,34
130.541,41
131.551,48
132.561,43
133.571,54
135.591,75
136.601,75
138.621,72
140.641,63
141.651,56
142.661,65
144.681,61
146.701,65
148.721,62
149.731,60
151.751,59
153.771,33
154.781,28
155.791,25
157.811,34
158.821,42
159.831,46
160.841,51
161.851,53
164.881,67
166.901,66
168.921,57
169.931,57
171.951,57
172.961,66
173.971,72
175.991,72
177.001,73
178.011,69
180.031,65
181.041,64
182.051,67
183.061,69
184.071,70
185.081,66
187.101,75
189.121,82
191.141,95
192.151,101
194.171,105
195.181,106
198.211,108
200.231,108
202.251,111
204.271,103
205.281,97
206.291,86
208.311,52
209.321,37
211.341,37
213.361,39
215.381,53
216.391,62
217.401,78
220.431,113
221.441,115
222.451,113
223.461,117
224.471,120
225.481,121
227.501,93
228.511,93
231.541,71
233.561,65
235.581,48
237.601,56
238.611,39
240.631,48
242.651,52
244.671,42
246.691,51
247.701,58
249.721,78
250.731,76
252.751,78
253.761,86
255.781,97
257.801,102
259.821,105
261.841,106
264.871,101
266.891,99
268.911,96
270.931,94
271.941,93
272.951,94
275.981,100
278.001,103
280.021,107
282.041,109
284.061,108
287.091,108
289.111,108
291.131,108
293.151,108
295.171,111
298.201,112
300.221,112
301.231,113
302.241,112
304.261,109
305.271,109
306.281,109
309.311,109
311.331,108
313.351,109
315.371,107
316.381,105
318.401,96
320.421,84
322.441,76
324.461,44
325.471,27
326.481,22
328.501,14
329.511,18
331.531,31
332.541,31
333.551,48
334.561,62
335.571,79
337.591,88
338.601,91
340.621,86
341.631,85
342.641,81
343.651,81
344.661,78
346.681,78
347.691,82
348.701,88
349.711,96
350.721,95
351.731,94
352.741,94
353.751,93
355.771,98
357.791,92
359.811,72
361.831,73
362.841,74
363.851,67
364.861,59
365.871,52
366.881,52
368.901,57
370.921,48
372.941,29
373.951,32
374.961,35
375.971,30
377.991,25
380.011,42
382.031,38
384.051,26
386.071,38
387.071,37
389.091,18
391.111,38
393.131,52
395.151,40
398.181,80
399.191,80
400.201,75
402.221,70
404.241,91
406.261,93
408.281,89
409.291,86
411.311,79
412.321,75
413.331,79
415.351,81
417.371,52
419.391,35
420.401,30
421.411,27
422.421,30
424.441,17
426.461,23
427.471,35
428.481,42
429.491,43
430.501,38
432.521,28
433.531,30
435.551,38
437.571,38
439.591,30
440.601,31
441.611,36
442.621,37
443.631,37
444.641,36
446.661,30
448.681,44
450.701,71
452.721,91
454.741,102
455.751,102
456.761,108
457.771,105
459.791,93
460.801,96
461.811,101
462.821,102
463.831,92
465.851,77
466.861,68
468.881,66
470.901,63
471.911,52
472.921,44
473.931,50
475.951,65
476.961,72
477.971,78
479.991,78
481.001,82
482.011,85
484.031,83
485.041,78
486.051,74
488.071,77
489.081,77
491.101,78
493.121,85
495.141,89
497.161,83
499.181,59
500.191,61
501.201,62
502.211,60
503.221,57
504.231,55
505.241,51
506.251,51
508.271,53
510.291,48
511.301,45
513.321,44
515.341,23
516.351,24
517.361,27
519.381,49
521.401,53
522.411,53
524.431,81
526.451,91
528.471,94
529.481,94
531.501,90
532.511,86
533.521,81
535.541,84
537.561,81
539.581,70
541.601,63
542.611,58
543.621,53
544.631,42
546.651,31
547.661,26
548.671,19
549.681,15
550.691,20
552.711,11
557.761,7
558.771,23
559.781,30
561.801,26
563.821,48
565.841,76
566.851,85
568.871,74
570.891,72
572.911,90
573.921,91
574.931,86
576.951,75
578.971,73
579.981,87
582.001,101
584.021,78
585.031,66
586.041,63
587.051,63
589.071,62
590.081,56
591.091,50
592.101,43
593.111,52
595.131,75
597.151,106
599.171,117
600.181,115
602.201,118
604.221,108
606.241,74
608.261,11
617.351,11
619.371,26
621.391,36
623.411,36
625.431,37
626.441,24
628.461,19
629.471,20
631.491,21
632.501,34
634.521,31
636.541,34
638.561,41
640.581,44
642.601,46
