df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,temperature
4.740,32.594
5.722,32.625
6.697,32.625
7.720,32.688
8.695,32.719
9.719,32.719
10.989,32.750
11.756,32.812
12.693,32.844
13.717,32.875
14.740,32.938
15.715,32.938
16.739,32.969
17.714,32.969
18.738,33.000
19.713,33.031
20.737,33.062
21.741,33.062
22.736,33.062
23.711,33.031
24.734,33.031
25.710,33.062
26.733,33.094
27.711,33.094
28.732,33.125
29.721,33.156
30.731,33.156
31.708,33.156
32.730,33.250
33.704,33.312
34.728,33.375
36.004,33.375
36.973,33.406
37.703,33.438
38.733,33.438
39.723,33.469
40.725,33.469
41.702,33.469
42.734,33.469
43.783,33.469
44.725,33.469
45.697,33.500
46.720,33.531
47.697,33.594
48.768,33.625
49.892,33.625
50.718,33.656
51.793,33.688
52.722,33.750
53.692,33.750
54.718,33.781
55.696,33.812
56.715,33.844
57.690,33.781
58.713,33.812
59.737,33.812
60.861,33.844
61.980,33.875
62.714,33.875
63.739,33.812
64.710,33.812
65.734,33.844
66.710,33.844
67.732,33.906
68.707,33.875
69.730,33.906
70.713,33.938
71.976,33.938
72.705,33.938
73.733,33.969
74.752,34.031
75.727,34.031
77.046,34.031
77.758,34.031
78.701,34.031
79.727,34.062
80.699,34.062
81.724,34.094
82.699,34.094
83.722,34.125
84.698,34.094
85.721,34.094
86.696,34.125
87.720,34.156
88.700,34.156
89.719,34.156
90.694,34.188
91.717,34.188
92.692,34.188
93.716,34.219
94.691,34.219
95.714,34.188
96.705,34.188
97.731,34.188
98.689,34.188
99.713,34.219
100.688,34.188
101.737,34.219
102.693,34.219
103.710,34.219
104.734,34.188
105.719,34.219
106.684,34.219
107.708,34.250
108.692,34.219
109.706,34.188
110.681,34.219
111.709,34.219
112.729,34.219
113.746,34.219
114.728,34.250
115.705,34.219
116.726,34.125
117.701,34.125
118.725,34.156
119.701,34.156
120.824,34.156
121.770,34.219
122.772,34.219
123.698,34.250
124.725,34.250
125.696,34.312
126.720,34.375
127.717,34.406
128.719,34.375
129.697,34.406
130.717,34.438
131.839,34.438
132.716,34.469
133.691,34.469
134.715,34.469
135.719,34.500
136.714,34.500
137.690,34.469
138.713,34.500
139.688,34.531
140.748,34.531
141.930,34.562
142.710,34.562
143.685,34.594
144.709,34.562
145.742,34.562
146.713,34.562
147.691,34.562
148.707,34.531
149.741,34.469
150.706,34.469
151.680,34.469
152.717,34.469
153.679,34.469
154.726,34.531
155.682,34.531
156.848,34.531
157.678,34.531
158.708,34.562
159.724,34.656
160.994,34.625
161.723,34.562
162.698,34.562
163.722,34.500
164.697,34.469
165.723,34.469
166.696,34.469
167.719,34.500
168.695,34.500
169.718,34.469
170.697,34.531
171.717,34.594
172.693,34.625
173.716,34.656
174.888,34.656
175.720,34.688
176.741,34.688
177.718,34.656
178.688,34.656
179.712,34.688
180.692,34.719
181.711,34.719
182.686,34.719
183.758,34.719
184.686,34.750
185.856,34.719
186.740,34.719
187.758,34.750
188.779,34.781
189.706,34.750
190.691,34.750
191.740,34.750
192.680,34.750
193.703,34.750
194.678,34.750
195.702,34.781
196.677,34.812
197.702,34.781
198.676,34.812
199.702,34.781
200.675,34.781
201.942,34.781
202.699,34.812
203.735,34.781
204.770,34.781
205.720,34.781
206.671,34.812
207.726,34.844
208.739,34.812
209.694,34.812
210.717,34.812
211.703,34.812
212.718,34.719
213.691,34.719
214.715,34.750
215.690,34.750
216.714,34.781
217.689,34.719
218.713,34.750
219.687,34.781
220.711,34.812
221.720,34.812
222.710,34.906
223.685,34.906
224.708,34.906
225.684,34.906
226.707,34.875
227.708,34.906
228.706,34.906
229.681,34.938
230.714,34.906
231.680,34.906
232.705,34.906
233.692,34.938
234.705,34.969
235.677,35.000
236.701,35.000
237.676,34.969
238.700,34.969
239.675,34.938
240.699,34.938
241.917,34.938
242.698,34.938
243.672,34.906
244.699,34.875
245.671,34.875
246.707,34.875
247.670,34.906
248.695,34.906
249.717,35.000
250.693,34.969
251.668,34.969
252.715,34.969
253.666,35.000
254.690,35.000
255.665,35.031
256.839,35.000
257.712,35.031
258.688,35.062
259.721,35.031
260.711,35.031
261.710,35.000
262.685,35.000
263.713,34.938
264.684,34.969
265.708,35.000
266.927,35.031
267.707,35.031
268.685,35.031
269.705,35.000
270.680,35.000
271.704,35.031
272.686,35.000
273.703,35.031
274.730,35.031
275.702,35.000
276.677,34.969
277.754,34.938
278.675,34.938
279.699,34.938
280.674,34.969
281.697,34.969
282.673,35.000
283.705,35.031
284.674,35.031
285.697,35.000
286.670,35.000
287.694,35.031
288.973,34.969
289.713,35.000
290.669,35.031
291.692,35.031
292.816,35.031
293.741,35.031
294.683,35.062
295.689,35.062
296.713,35.094
297.688,35.062
298.663,35.062
299.882,35.031
300.662,35.031
301.686,35.031
302.717,35.000
303.684,35.000
304.661,35.000
305.688,35.000
306.809,35.000
307.687,35.000
308.711,35.000
309.681,35.062
310.704,35.062
311.688,35.062
312.703,35.094
314.022,35.094
314.750,35.125
315.682,35.125
316.701,35.156
