df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,battery
11.620,80
21.614,80
31.608,80
41.602,80
51.598,80
61.690,80
71.584,80
81.626,80
91.620,80
101.614,80
111.705,80
121.651,80
131.595,80
141.589,80
151.583,80
161.684,80
171.619,80
181.624,80
191.607,80
201.614,80
211.696,80
221.716,80
231.593,80
241.576,80
251.619,80
261.661,80
271.607,80
281.609,80
291.595,80
301.665,80
311.584,80
321.577,80
331.570,80
341.564,80
351.667,80
361.551,80
371.594,80
381.588,80
391.616,80
401.575,80
411.667,80
421.563,80
431.559,79
441.551,79
451.569,79
461.685,79
471.668,79
481.575,79
491.569,79
501.563,79
511.659,79
521.550,79
531.544,79
541.589,79
551.532,79
561.543,79
571.581,79
581.562,79
591.556,79
601.550,79
611.544,79
621.537,79
631.554,79
