df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,rr_int
11.962,6325
12.790,760
13.521,740
14.350,750
15.179,840
16.008,845
16.885,835
17.535,820
18.348,775
19.177,790
19.909,805
20.590,750
21.419,740
22.248,800
23.079,780
23.762,750
24.491,780
25.325,800
26.002,765
26.685,700
27.416,690
28.099,730
28.781,715
29.709,705
30.195,720
31.023,740
31.705,765
32.388,735
33.217,725
33.899,750
34.777,750
35.605,800
36.437,835
37.117,820
37.946,765
38.628,770
39.359,770
40.188,755
40.873,745
41.699,790
42.723,840
43.357,870
43.649,815
43.704,230
44.188,10
45.014,555
45.920,820
46.312,820
46.467,395
46.577,245
48.134,355
49.353,1210
50.036,1385
50.723,625
51.400,650
52.136,750
52.961,765
53.790,785
54.525,810
55.300,780
55.983,750
56.812,755
57.543,785
57.933,755
58.226,455
59.054,280
59.740,745
60.565,745
61.248,770
61.984,715
62.810,760
63.490,790
64.319,775
65.002,750
65.852,780
66.562,805
67.391,755
68.219,820
69.049,820
69.735,790
70.559,780
71.144,810
71.388,620
72.266,265
73.338,830
73.341,885
73.390,265
73.484,15
74.758,495
75.435,795
75.873,745
76.117,670
77.241,830
78.506,320
79.188,1175
80.017,785
80.704,760
81.431,770
82.796,745
83.117,1380
83.138,220
83.142,10
83.479,15
84.063,370
84.746,680
85.428,650
86.111,660
86.842,670
87.525,690
88.207,735
88.646,790
89.036,345
89.767,405
90.450,780
91.279,705
92.110,740
92.253,720
92.681,290
93.375,440
93.911,680
94.593,625
95.179,705
96.009,565
96.254,735
96.690,300
97.226,380
97.525,670
97.934,285
98.493,330
98.786,655
98.789,215
99.176,10
99.859,395
100.444,730
100.882,615
101.126,340
101.809,315
102.588,745
102.784,670
103.223,265
103.915,365
104.197,735
104.201,290
104.344,10
104.587,335
105.883,620
106.391,640
107.045,600
107.659,635
108.342,680
109.463,735
109.608,995
109.612,205
109.999,10
111.417,450
111.804,1290
112.631,490
112.634,880
113.070,15
113.073,340
114.196,340
114.903,755
115.702,800
116.680,725
116.970,700
117.653,690
118.335,690
118.628,690
119.163,260
119.895,505
119.998,770
120.285,155
121.260,280
121.943,990
122.235,875
123.356,490
123.360,690
124.193,10
124.894,740
124.916,750
124.965,10
124.968,25
124.973,15
124.977,10
125.163,10
125.550,10
126.281,625
126.429,755
127.793,165
129.450,1305
129.474,1465
129.643,255
129.694,140
129.893,10
130.738,300
131.400,730
132.088,735
132.814,720
133.496,735
133.740,725
133.792,270
133.938,10
135.012,430
135.726,740
136.422,690
137.104,775
137.503,740
137.937,370
138.371,335
138.469,460
138.472,175
139.201,35
140.180,730
140.590,650
141.247,640
142.079,780
142.959,820
143.637,815
144.466,725
145.153,780
145.879,760
146.659,725
147.536,845
148.366,790
149.225,820
149.438,840
149.584,235
149.587,240
149.681,10
149.684,10
150.171,250
150.853,305
150.863,620
150.881,10
150.903,30
151.012,175
151.147,10
152.270,460
153.094,805
153.923,770
154.755,810
155.434,825
156.263,785
156.318,795
157.099,10
157.259,825
157.920,215
157.923,585
158.702,10
159.480,780
159.578,815
159.730,255
161.309,410
161.821,1165
163.333,600
163.819,1530
164.063,375
164.066,330
164.599,10
165.574,490
167.085,1040
167.768,1485
168.645,735
168.648,790
169.334,10
169.572,680
170.011,285
170.844,470
170.986,790
171.522,215
172.351,555
172.497,775
173.082,200
173.911,555
174.058,785
174.301,415
175.308,360
176.104,695
176.836,770
177.664,760
178.347,770
178.886,790
178.934,535
179.176,215
180.738,785
181.418,730
181.422,750
182.113,10
182.978,740
183.621,765
184.440,750
185.172,805
185.876,750
186.683,725
187.365,715
188.048,735
188.784,745
189.611,720
190.290,740
191.119,765
191.122,795
191.802,10
192.631,785
193.362,770
194.191,765
194.873,745
195.556,730
196.287,735
197.124,750
197.798,740
198.629,750
199.327,775
199.407,805
200.138,10
200.870,755
201.650,765
201.945,750
202.381,265
202.917,490
203.892,505
204.184,990
204.187,270
204.233,15
204.239,15
204.242,10
204.579,20
204.720,405
205.016,10
205.306,190
205.425,570
205.751,10
205.782,360
205.790,15
205.988,10
206.005,290
206.822,10
207.504,765
208.624,775
209.011,750
209.742,730
210.571,725
211.253,760
212.082,765
212.911,805
213.647,795
214.477,790
215.153,785
215.982,765
216.811,775
217.494,805
218.322,835
219.151,800
219.980,790
220.716,795
221.539,790
222.417,795
223.075,825
223.734,740
224.464,755
224.566,765
226.954,920
227.098,1430
227.105,155
227.108,10
227.148,10
227.164,10
227.633,10
227.665,240
228.316,270
229.047,745
229.730,740
230.558,725
231.390,775
232.070,725
232.801,765
232.947,770
233.045,220
234.313,565
234.994,725
235.291,680
235.388,255
235.580,10
236.262,340
236.945,655
237.481,660
238.310,675
239.043,760
239.870,770
240.016,770
240.021,190
240.419,30
241.975,440
242.649,1420
243.331,710
243.477,730
244.031,180
244.306,520
244.745,235
244.844,540
245.573,10
245.579,780
246.403,10
246.553,795
247.231,190
247.913,610
248.743,755
249.474,795
250.303,780
250.991,775
251.813,780
251.817,785
252.496,10
252.788,765
253.325,185
254.062,570
254.885,760
