df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,spo2
35.611,97
38.633,98
40.192,99
43.657,98
45.923,99
54.528,99
55.305,99
55.989,99
56.815,99
57.552,99
57.937,99
59.785,99
63.493,99
64.322,99
65.007,99
65.980,99
66.568,99
68.223,99
70.571,99
71.148,99
71.392,99
82.800,98
88.650,98
95.185,98
102.593,98
107.127,98
124.921,98
133.500,98
137.108,97
137.643,97
145.882,97
146.663,97
156.269,96
156.363,97
159.487,96
159.584,96
186.687,96
190.294,96
191.168,96
193.365,96
199.358,96
199.410,96
219.155,96
223.197,96
230.564,96
232.073,96
252.792,96
259.516,96
277.661,98
279.316,98
282.237,98
284.480,99
285.309,99
285.994,99
286.868,99
305.296,99
320.746,99
327.572,99
328.893,99
329.669,99
330.306,99
333.474,99
336.692,99
343.760,99
344.634,98
345.418,98
346.294,98
352.971,98
357.800,98
362.090,98
379.787,97
392.556,97
393.780,97
396.413,97
406.014,97
410.256,97
