df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,acc_mag
4.736,1.000
4.766,0.999
4.796,0.993
4.826,0.995
4.856,0.997
4.886,0.999
4.916,0.998
4.946,0.998
4.976,0.998
5.006,0.998
5.036,0.989
5.066,0.998
5.096,1.000
5.126,1.001
5.156,0.993
5.186,0.989
5.216,0.996
5.246,1.000
5.276,1.004
5.306,0.998
5.336,0.998
5.366,0.993
5.396,0.995
5.426,0.998
5.456,0.990
5.486,0.997
5.516,1.000
5.546,0.995
5.576,0.991
5.606,0.993
5.636,0.997
5.666,1.000
5.696,1.003
5.726,0.998
5.756,0.997
5.786,0.994
5.816,0.999
5.846,1.002
5.876,0.990
5.906,0.989
5.936,0.995
5.966,1.007
5.996,0.991
6.026,0.989
6.056,0.992
6.086,0.998
6.116,1.000
6.146,1.001
6.176,0.996
6.206,0.988
6.236,0.994
6.266,1.000
6.296,0.999
6.326,0.992
6.356,0.991
6.386,0.992
6.416,1.004
6.446,1.002
6.476,0.999
6.506,0.997
6.536,0.996
6.566,1.000
6.596,0.999
6.626,0.997
6.656,0.992
6.686,0.994
6.716,0.999
6.746,0.998
6.776,0.996
6.806,0.997
6.836,1.000
6.866,0.999
6.896,1.000
6.926,0.998
6.956,0.990
6.986,0.995
7.016,0.998
7.046,0.998
7.076,0.997
7.106,0.993
7.136,0.995
7.166,1.002
7.196,1.002
7.226,0.998
7.256,0.996
7.286,0.995
7.316,0.996
7.346,0.993
7.376,0.995
7.406,0.998
7.436,1.001
7.466,0.989
7.496,0.991
7.526,1.000
7.556,1.002
7.586,0.996
7.616,0.999
7.646,0.997
7.676,0.993
7.706,0.995
7.736,0.998
7.766,0.996
7.796,0.994
7.826,0.999
7.856,1.000
7.886,0.991
7.916,0.996
7.946,1.001
7.976,1.000
8.006,1.003
8.036,1.001
8.066,0.997
8.096,0.996
8.126,0.997
8.156,0.994
8.186,0.994
8.216,0.997
8.246,1.002
8.276,0.996
8.306,0.986
8.336,0.997
8.366,1.009
8.396,0.998
8.426,0.991
8.456,0.996
8.486,0.997
8.516,0.998
8.546,0.997
8.576,0.997
8.606,0.991
8.636,0.994
8.666,1.000
8.696,1.000
8.726,0.994
8.756,0.992
8.786,0.994
8.816,0.995
8.846,1.002
8.876,0.999
8.906,0.998
8.936,0.994
8.966,0.994
8.996,0.998
9.026,0.997
9.056,0.990
9.086,0.991
9.116,0.993
9.146,0.998
9.176,1.001
9.206,1.004
9.236,0.996
9.266,0.996
9.296,0.998
9.326,0.999
9.356,0.997
9.386,0.996
9.416,0.997
9.446,0.993
9.476,0.996
9.506,1.000
9.536,0.998
9.566,0.995
9.596,0.992
9.626,0.997
9.656,1.001
9.686,1.001
9.716,0.998
9.746,0.999
9.776,0.992
9.806,0.995
9.836,0.993
9.866,0.998
9.896,0.995
9.926,0.998
9.956,0.992
9.986,0.993
10.016,0.999
10.046,0.998
10.076,0.999
10.106,1.000
10.136,0.999
10.166,0.998
10.196,0.996
10.226,0.992
10.256,0.992
10.286,0.997
10.316,0.999
10.346,1.000
10.376,0.996
10.406,0.994
10.436,0.992
10.466,1.000
10.496,1.002
10.526,0.996
10.556,0.994
10.586,0.994
10.616,0.997
10.646,0.996
10.676,0.994
10.706,1.001
10.736,1.002
10.766,0.996
10.796,0.995
10.826,1.002
10.856,1.001
10.886,0.996
10.916,0.998
10.946,0.993
10.976,0.996
11.006,0.997
11.036,0.997
11.066,0.989
11.096,0.996
11.126,1.003
11.156,1.000
11.186,0.995
11.216,0.993
11.246,0.999
11.276,1.000
11.306,1.006
11.336,0.999
11.366,1.002
11.396,0.994
11.426,0.991
11.456,0.998
11.486,0.990
11.516,0.989
11.546,0.999
11.576,1.006
11.606,1.000
11.636,0.989
11.666,0.990
11.696,0.996
11.726,0.998
11.756,1.001
11.786,0.998
11.816,0.993
11.846,0.995
11.876,0.999
11.906,1.000
11.936,0.996
11.966,0.992
11.996,0.993
12.026,1.000
12.056,1.004
12.086,0.999
12.116,0.998
12.146,1.000
12.176,1.001
12.206,1.003
12.236,0.994
12.266,0.988
12.296,0.995
12.326,1.004
12.356,0.999
12.386,0.995
12.416,0.993
12.446,1.000
12.476,1.001
12.506,0.997
12.536,0.990
12.566,0.986
12.596,0.996
12.626,1.004
12.656,1.002
12.686,0.994
12.716,0.991
12.746,0.995
12.776,1.000
12.806,0.998
12.836,0.995
12.866,0.997
12.896,0.997
12.926,0.997
12.956,0.999
12.986,0.999
13.016,0.993
13.046,0.989
13.076,0.998
13.106,1.001
13.136,0.998
13.166,0.997
13.196,0.999
13.226,0.995
13.256,0.993
13.286,0.997
13.316,0.993
13.346,1.000
13.376,1.000
13.406,0.995
13.436,1.000
13.466,0.998
13.496,0.994
13.526,0.999
13.556,1.004
13.586,1.003
13.616,0.996
13.646,0.992
13.676,0.993
13.706,0.994
13.736,0.999
13.766,0.998
13.796,0.997
13.826,0.995
13.856,0.992
13.886,0.996
13.916,1.006
13.946,1.000
13.976,0.997
14.006,0.994
14.036,0.993
14.066,0.995
14.096,0.997
