df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,perfusion_ir
35.657,0.250
38.676,0.250
40.337,0.250
43.698,0.250
45.989,0.250
54.532,0.250
55.352,0.250
56.132,0.250
56.863,0.250
57.595,0.250
57.985,0.250
59.789,0.240
63.542,0.240
64.565,0.230
65.151,0.230
65.985,0.230
66.662,0.230
68.271,0.220
70.706,0.220
71.198,0.220
71.437,0.220
82.945,0.220
88.695,0.220
95.230,0.220
102.686,0.220
107.136,0.210
124.923,0.210
133.596,0.210
137.204,0.210
137.648,0.200
145.885,0.200
146.707,0.200
156.311,0.200
156.367,0.190
159.532,0.180
159.630,0.160
186.732,0.160
190.342,0.160
191.171,0.150
193.410,0.150
199.362,0.150
199.413,0.140
219.300,0.140
223.203,0.140
230.704,0.140
232.123,0.140
252.935,0.140
259.522,0.130
277.676,0.140
279.319,0.140
282.384,0.130
284.528,0.130
285.357,0.130
286.088,0.130
286.871,0.130
305.344,0.130
320.752,0.130
327.620,0.130
329.037,0.130
329.685,0.130
330.350,0.130
333.522,0.130
336.739,0.130
343.857,0.130
344.639,0.130
345.515,0.130
346.297,0.130
352.974,0.130
357.896,0.130
362.139,0.130
379.835,0.130
392.561,0.130
393.875,0.130
396.459,0.130
406.017,0.130
410.353,0.130
