df_hash,22ZHK4.KQAWQ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J9P4
person_label,V122
date_time_start,2026-04-06_13-45-43.788000_+03
date_time_start_unix,1775465143.788
date_time_end,2026-04-06_13-56-29.765000_+03
length_difference_noticed,no

time,heart_rate
14.890,78
15.764,77
16.934,77
17.860,75
18.741,75
19.956,75
20.838,77
21.757,78
22.930,78
24.103,78
24.685,78
25.904,77
26.785,77
27.659,78
28.893,79
29.827,80
30.633,81
31.851,81
32.736,81
33.606,81
34.825,81
35.706,81
36.629,80
37.799,79
38.681,78
39.603,78
40.773,78
41.650,78
42.577,78
43.790,77
44.624,76
45.550,75
46.724,75
47.598,75
48.524,75
49.694,75
50.596,75
51.498,75
52.709,75
53.545,75
54.478,78
55.643,78
56.519,78
57.445,78
58.616,78
59.520,78
60.419,79
61.590,79
62.471,80
63.393,80
64.576,80
65.440,80
66.367,80
67.560,79
68.414,78
69.636,78
70.511,77
71.441,77
72.326,77
73.488,76
74.411,76
75.288,76
76.556,75
77.384,75
78.262,75
79.432,75
80.363,75
81.236,75
82.406,76
83.332,75
84.209,79
85.379,83
86.309,84
87.183,86
88.402,86
89.280,86
90.157,85
91.376,84
92.257,83
93.131,82
94.374,82
95.235,82
96.105,82
97.326,82
98.201,82
99.079,82
100.297,82
101.175,82
102.052,82
103.271,85
104.148,85
105.026,86
106.245,87
107.418,88
108.000,90
109.218,89
110.096,89
110.973,89
112.241,89
113.414,89
113.947,89
115.191,89
116.044,89
116.921,86
118.140,85
119.017,84
119.898,84
121.113,84
121.991,84
122.871,83
124.087,83
125.166,83
125.894,83
127.061,83
127.939,83
128.869,83
130.072,83
130.912,83
131.842,83
133.009,83
134.181,83
134.814,83
135.982,83
136.909,83
137.786,83
138.956,83
139.882,83
140.760,83
141.934,83
142.859,83
143.734,83
144.935,83
145.830,81
146.808,80
147.878,80
148.806,80
149.688,79
150.997,78
151.777,76
152.708,77
153.874,76
154.900,77
155.629,77
156.853,77
157.725,76
158.606,75
159.821,75
160.699,75
161.597,75
162.795,75
163.673,75
164.550,75
165.769,75
166.646,65
167.549,68
168.743,61
169.620,57
170.500,55
171.720,68
172.594,74
173.471,77
174.690,78
175.610,78
176.447,77
177.681,78
178.542,77
179.468,79
180.638,78
181.539,79
182.442,79
183.612,79
184.489,79
185.415,79
186.585,79
187.464,79
188.390,80
189.559,80
190.437,81
191.363,81
192.560,81
193.415,80
194.360,80
195.507,79
196.433,80
197.310,80
198.480,80
199.459,80
200.284,80
201.460,80
202.332,79
203.258,79
204.449,80
205.410,79
206.233,79
207.426,79
208.328,79
209.206,79
210.376,80
211.311,80
212.182,80
213.375,80
214.286,79
215.157,78
216.324,78
217.249,77
218.127,77
219.594,77
220.226,76
221.123,76
222.271,76
223.213,76
224.221,76
225.245,76
226.171,76
227.048,76
228.218,76
229.148,76
230.022,76
231.241,76
232.414,79
232.996,81
234.214,80
235.094,80
235.970,80
237.188,78
238.067,79
238.943,82
240.406,80
241.040,80
241.922,80
243.136,80
244.014,80
244.891,81
246.110,81
246.987,80
247.865,80
249.083,79
249.961,78
250.887,78
252.057,77
252.939,77
253.864,77
255.035,77
255.908,78
256.842,77
258.053,77
259.178,77
259.809,78
260.982,78
261.927,78
262.782,78
263.952,78
264.830,78
265.805,79
266.941,79
267.852,79
268.730,80
269.928,80
270.826,80
271.708,79
272.874,79
273.800,78
274.677,77
276.143,77
276.774,77
277.726,77
278.870,77
279.747,78
280.625,78
281.844,78
282.721,78
283.605,78
284.817,78
285.752,79
286.572,79
287.791,79
288.699,79
289.552,79
290.765,79
291.643,78
292.521,78
293.790,77
294.623,77
295.494,77
296.717,77
297.594,77
298.517,77
299.686,77
300.564,77
301.493,77
302.709,77
303.538,77
304.464,77
305.652,78
306.511,78
307.438,78
308.610,77
309.485,77
310.412,76
311.679,76
312.463,78
313.385,80
314.556,80
315.456,79
316.359,79
317.530,79
318.409,79
319.382,82
320.503,80
321.429,80
322.307,80
323.672,80
324.354,75
325.285,77
326.450,76
327.329,81
328.254,82
329.424,84
330.356,85
331.228,85
332.398,85
333.324,85
334.283,86
335.372,85
336.298,85
337.175,85
338.354,85
339.272,85
340.149,83
341.319,83
342.270,83
343.123,84
344.342,84
345.219,84
346.097,83
347.267,81
348.193,80
349.071,78
350.241,78
351.167,78
352.044,78
353.263,79
354.141,79
355.264,80
356.188,80
357.114,80
357.992,79
359.457,79
360.119,79
361.012,79
362.382,79
363.062,79
363.940,79
365.158,79
366.036,79
366.913,79
368.132,79
369.012,79
369.887,79
371.106,79
371.984,79
372.864,79
374.080,79
374.957,79
375.837,79
377.053,79
377.967,79
378.808,79
380.027,79
380.905,79
381.831,85
383.001,87
383.878,89
384.756,91
385.975,91
386.852,92
387.779,91
389.146,92
389.826,91
390.752,91
391.922,92
393.095,92
393.726,93
394.900,93
395.819,93
396.700,93
397.873,93
398.751,93
399.674,93
400.892,93
401.770,92
402.697,93
403.817,92
404.744,93
405.621,93
406.791,93
407.718,93
408.595,93
409.768,94
410.697,94
411.600,95
412.740,95
413.665,95
414.542,94
415.724,94
416.639,94
417.520,94
418.692,94
419.613,94
420.490,96
421.664,96
422.634,97
423.466,96
424.683,96
425.563,96
426.438,96
427.656,96
428.534,96
