df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,rr_int
9.561,4145
10.002,765
10.435,475
11.120,340
11.559,720
11.803,435
12.778,340
13.216,980
13.222,430
13.365,10
13.674,10
14.338,350
15.179,760
15.996,800
16.826,835
17.658,880
18.481,775
19.168,795
19.993,790
20.724,795
21.714,770
22.528,975
23.356,855
24.186,780
25.014,785
25.992,895
26.818,970
27.501,785
28.329,790
29.353,850
30.036,825
30.864,820
31.841,860
32.670,965
33.497,825
33.643,790
33.650,235
34.326,10
35.008,585
35.837,830
36.568,745
37.397,745
38.371,860
39.201,890
39.883,850
40.721,795
41.410,730
42.277,795
43.100,850
43.783,820
44.173,735
44.612,315
45.441,440
46.123,810
46.952,800
47.683,775
48.371,665
49.195,770
50.049,855
50.852,850
51.144,760
51.583,370
52.412,375
53.241,845
53.928,780
54.606,780
55.337,720
55.580,720
56.166,265
56.994,540
57.677,830
58.510,735
59.334,765
59.627,795
60.066,280
60.895,540
61.577,740
62.262,715
62.942,710
63.673,755
64.355,660
64.502,680
64.504,220
65.038,10
65.867,535
66.598,735
67.427,795
68.256,820
68.941,795
69.621,730
70.364,685
71.037,710
71.863,755
72.546,755
73.667,730
74.106,1160
74.255,560
75.324,865
75.763,270
76.446,425
77.372,700
77.957,715
78.688,735
79.374,740
80.200,735
81.028,795
81.857,870
82.591,780
83.271,725
83.953,710
84.782,755
85.616,800
86.344,770
87.025,780
87.707,725
88.535,715
88.682,785
88.828,200
89.218,15
89.949,485
90.778,750
91.609,815
92.289,760
92.972,750
94.097,755
94.678,800
95.364,820
96.193,735
96.872,740
97.735,830
98.530,835
99.269,740
99.943,725
100.626,700
101.357,745
102.186,740
102.870,730
103.033,690
103.063,200
103.415,10
104.136,435
104.526,650
104.529,435
104.818,10
105.794,270
106.188,965
106.914,390
107.597,785
108.280,695
108.962,675
109.547,655
110.229,660
110.912,655
111.655,690
112.326,695
113.023,705
113.733,700
114.520,715
114.708,780
114.711,175
115.251,30
115.934,495
116.616,725
116.911,650
117.200,235
117.887,445
118.420,640
119.150,620
119.835,690
120.518,685
121.199,690
122.027,735
122.319,795
122.856,300
123.587,485
124.416,750
125.391,790
125.983,780
126.610,750
127.341,695
128.170,740
128.852,815
129.144,765
129.198,235
129.681,10
130.463,525
131.241,755
132.069,790
132.903,865
133.581,790
134.410,770
135.141,795
135.972,780
136.652,820
137.481,740
138.163,735
138.992,765
139.821,825
140.556,815
141.235,720
141.917,705
142.754,725
143.477,765
144.159,745
144.989,745
145.817,815
146.646,820
147.351,785
148.059,735
148.748,715
149.571,740
150.399,780
151.082,830
151.960,785
152.788,770
153.627,795
154.334,840
154.592,745
154.982,330
155.824,450
156.542,720
157.518,790
158.200,895
159.072,795
159.711,765
160.588,785
161.368,815
162.099,755
162.782,725
163.464,700
164.308,805
164.976,775
165.269,700
165.707,295
166.536,465
167.218,720
167.904,785
168.730,740
168.876,725
169.467,245
170.145,515
170.972,725
171.654,785
172.484,775
173.215,720
173.897,700
174.726,745
175.409,790
175.701,790
175.704,245
176.969,485
177.661,720
178.348,750
178.626,745
178.690,230
178.727,10
179.065,15
179.747,460
180.429,690
181.270,710
182.087,780
182.819,790
183.654,765
184.480,775
185.305,840
185.987,860
186.816,790
187.501,745
188.376,760
189.059,790
189.741,755
190.583,740
191.398,775
192.227,830
192.958,800
193.642,735
194.323,740
195.152,755
195.883,765
196.713,745
197.395,740
198.103,710
198.906,805
199.589,750
200.320,720
200.856,680
201.538,655
202.270,655
202.843,665
203.492,640
203.781,710
203.837,250
203.930,15
204.902,415
205.586,685
206.267,705
206.560,680
206.998,240
207.242,455
207.681,240
208.368,415
209.050,675
209.777,725
210.461,725
211.294,760
212.117,845
212.449,850
212.802,245
213.775,540
214.506,775
215.335,750
216.017,775
216.310,755
216.700,275
217.383,455
217.675,650
218.114,285
218.650,380
218.986,680
219.479,255
220.064,465
220.746,695
221.576,680
222.404,815
223.233,805
223.915,825
224.775,795
224.892,555
224.937,20
224.940,230
226.489,880
227.136,805
227.669,650
228.499,630
229.229,740
229.911,730
230.479,660
231.178,650
231.422,635
231.861,305
232.543,395
233.324,660
233.957,705
234.640,790
235.468,735
236.151,715
236.834,725
237.565,735
238.247,720
238.930,665
239.613,690
240.343,710
241.037,705
241.712,705
242.440,705
242.830,730
243.268,365
243.970,385
244.638,730
244.780,690
244.787,205
244.933,40
245.321,25
246.048,455
246.730,760
247.412,720
248.339,695
248.826,650
249.070,940
249.950,580
250.218,300
250.873,275
251.312,765
251.703,340
252.433,380
252.580,940
255.066,1000
255.213,1405
255.358,245
255.602,150
255.607,280
255.751,100
256.577,520
256.581,345
257.016,15
257.699,315
257.845,700
258.968,200
259.210,1185
260.482,275
261.063,1215
261.745,610
262.428,650
262.728,630
263.697,325
264.231,960
264.936,605
265.645,710
266.717,640
267.013,1110
267.156,150
267.898,320
268.424,630
269.255,565
270.081,640
271.348,1155
271.890,1265
272.568,460
272.713,730
272.717,205
272.861,15
273.693,330
274.379,595
274.669,645
274.956,295
275.669,340
