df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,spo2
59.630,98
71.870,98
72.550,98
73.671,98
77.961,98
78.692,98
85.664,98
92.295,98
95.412,98
112.337,98
128.856,98
129.148,98
132.073,98
136.657,98
141.921,98
143.481,98
144.163,98
148.065,98
159.714,98
160.595,98
162.104,98
162.786,98
163.468,98
168.880,97
171.658,97
178.633,97
184.527,97
187.745,97
188.379,97
197.399,98
200.324,98
200.863,97
201.544,97
203.785,97
206.270,97
209.098,97
210.468,97
211.340,97
212.123,97
216.313,97
218.991,97
221.589,97
227.184,97
230.743,96
231.432,96
233.962,97
235.472,96
239.619,97
241.075,97
241.765,97
242.833,97
247.419,97
248.831,97
277.007,97
277.153,97
280.225,97
281.054,97
285.691,97
296.605,97
308.987,97
312.449,97
314.009,97
324.831,97
327.667,97
332.729,98
333.314,98
336.093,98
340.720,98
343.454,98
374.168,98
378.605,98
382.361,98
390.996,98
405.415,98
418.482,98
433.203,98
437.687,98
438.370,98
457.237,98
459.775,98
461.477,98
467.133,98
471.862,98
472.693,98
476.839,98
484.341,98
