df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,perfusion_ir
59.678,0.400
72.058,0.400
72.841,0.410
73.864,0.400
78.008,0.410
78.739,0.410
85.672,0.410
92.340,0.410
95.429,0.410
112.375,0.410
128.954,0.420
129.193,0.410
132.368,0.410
136.701,0.410
141.968,0.410
143.574,0.410
144.355,0.410
148.111,0.400
159.910,0.400
160.603,0.400
162.155,0.400
162.833,0.390
163.516,0.390
169.025,0.390
171.706,0.390
178.677,0.390
184.530,0.390
187.758,0.390
188.525,0.390
197.446,0.380
200.371,0.380
201.005,0.380
201.687,0.380
203.830,0.370
206.316,0.370
209.104,0.370
210.471,0.370
211.343,0.380
212.361,0.380
216.316,0.380
218.994,0.380
221.626,0.390
227.186,0.390
230.750,0.400
231.474,0.390
234.106,0.380
235.520,0.380
239.625,0.380
241.081,0.380
241.775,0.380
242.881,0.380
247.708,0.380
248.877,0.380
277.055,0.380
277.199,0.380
280.273,0.380
281.101,0.390
285.696,0.400
296.650,0.400
308.990,0.400
312.595,0.400
314.105,0.400
324.834,0.400
327.675,0.400
332.777,0.400
333.359,0.410
336.140,0.400
340.725,0.400
343.502,0.400
374.311,0.410
378.748,0.410
382.370,0.420
391.022,0.420
405.463,0.430
418.529,0.430
433.297,0.430
437.784,0.430
438.415,0.430
457.284,0.430
459.779,0.430
461.480,0.430
467.278,0.420
472.008,0.420
472.698,0.420
476.843,0.420
484.487,0.420
