df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,acc_mag
4.435,0.989
4.465,0.987
4.495,0.990
4.525,0.993
4.555,0.992
4.585,0.998
4.615,0.996
4.645,0.995
4.675,0.995
4.705,0.998
4.735,0.995
4.765,0.999
4.795,1.007
4.825,1.004
4.855,0.993
4.885,0.992
4.915,0.991
4.945,0.995
4.975,0.990
5.005,0.985
5.035,0.988
5.065,1.003
5.095,1.001
5.125,0.998
5.155,0.993
5.185,0.990
5.215,0.995
5.245,0.996
5.275,0.999
5.305,0.996
5.335,0.996
5.365,0.995
5.395,0.994
5.425,0.991
5.455,0.995
5.485,0.997
5.515,0.999
5.545,0.999
5.575,0.996
5.605,1.000
5.635,0.997
5.665,0.999
5.695,0.990
5.725,0.991
5.755,0.991
5.785,0.996
5.815,1.001
5.845,1.000
5.875,0.990
5.905,0.992
5.935,0.995
5.965,0.989
5.995,0.996
6.025,1.000
6.055,1.003
6.085,1.000
6.115,1.000
6.145,0.991
6.175,0.984
6.205,0.995
6.235,1.000
6.265,1.000
6.295,0.999
6.325,0.996
6.355,0.987
6.385,0.988
6.415,0.989
6.445,0.993
6.475,0.990
6.505,0.994
6.535,0.998
6.565,0.999
6.595,1.000
6.625,0.993
6.655,0.998
6.685,0.992
6.715,0.995
6.745,0.994
6.775,0.996
6.805,0.998
6.835,0.992
6.865,0.992
6.895,0.999
6.925,1.002
6.955,0.996
6.985,0.995
7.015,0.994
7.045,0.993
7.075,0.993
7.105,0.993
7.135,0.995
7.165,0.993
7.195,0.995
7.225,0.996
7.255,0.994
7.285,0.992
7.315,0.994
7.345,0.993
7.375,0.991
7.405,0.994
7.435,0.997
7.465,0.993
7.495,0.995
7.525,0.993
7.555,0.990
7.585,0.998
7.615,0.998
7.645,0.999
7.675,0.999
7.705,1.002
7.735,0.995
7.765,0.993
7.795,0.998
7.825,0.993
7.855,0.993
7.885,0.996
7.915,0.993
7.945,0.997
7.975,0.994
8.005,0.993
8.035,0.992
8.065,1.001
8.095,1.003
8.125,1.002
8.155,0.999
8.185,1.000
8.215,0.998
8.245,0.997
8.275,0.989
8.305,0.992
8.335,0.986
8.365,0.991
8.395,0.996
8.425,0.994
8.455,0.996
8.485,1.000
8.515,1.001
8.545,0.997
8.575,0.996
8.605,0.996
8.635,1.000
8.665,0.993
8.695,0.999
8.725,0.996
8.755,0.998
8.785,0.996
8.815,0.989
8.845,0.992
8.875,0.995
8.905,0.996
8.935,0.991
8.965,0.997
8.995,0.997
9.025,0.999
9.055,0.992
9.085,0.996
9.115,0.993
9.145,0.991
9.175,0.996
9.205,0.991
9.235,0.995
9.265,0.993
9.295,0.999
9.325,0.999
9.355,0.993
9.385,0.996
9.415,0.995
9.445,1.000
9.475,1.003
9.505,0.992
9.535,0.990
9.565,0.994
9.595,0.994
9.625,0.992
9.655,0.997
9.685,0.999
9.715,0.999
9.745,1.001
9.775,1.000
9.805,0.995
9.835,0.997
9.865,0.993
9.895,0.991
9.925,0.998
9.955,1.000
9.985,0.997
10.015,0.999
10.045,0.998
10.075,0.998
10.105,0.995
10.135,0.993
10.165,0.985
10.195,0.991
10.225,0.994
10.255,0.999
10.285,0.998
10.315,1.002
10.345,1.000
10.375,0.997
10.405,0.996
10.435,0.993
10.465,0.992
10.495,1.000
10.525,0.997
10.555,0.999
10.585,0.994
10.615,0.990
10.645,0.993
10.675,0.994
10.705,0.996
10.735,0.997
10.765,1.001
10.795,0.998
10.825,0.992
10.855,0.992
10.885,0.989
10.915,0.993
10.945,0.998
10.975,0.996
11.005,1.000
11.035,1.000
11.065,0.992
11.095,0.993
11.125,0.990
11.155,0.995
11.185,0.998
11.215,0.995
11.245,0.994
11.275,1.000
11.305,0.995
11.335,0.997
11.365,0.999
11.395,0.984
11.425,0.996
11.455,0.997
11.485,0.999
11.515,1.000
11.545,1.004
11.575,0.994
11.605,0.991
11.635,0.992
11.665,0.995
11.695,0.995
11.725,0.998
11.755,1.002
11.785,0.998
11.815,0.997
11.845,0.996
11.875,0.996
11.905,0.996
11.935,0.993
11.965,0.995
11.995,0.995
12.025,0.997
12.055,0.994
12.085,0.999
12.115,0.995
12.145,0.994
12.175,0.998
12.205,0.994
12.235,0.997
12.265,0.999
12.295,0.999
12.325,0.994
12.355,0.990
12.385,0.997
12.415,0.995
12.445,0.996
12.475,0.997
12.505,1.000
12.535,0.995
12.565,0.994
12.595,0.992
12.625,0.992
12.655,0.996
12.685,1.000
12.715,0.998
12.745,0.998
12.775,0.994
12.805,0.995
12.835,0.998
12.865,0.995
12.895,0.994
12.925,0.994
12.955,0.998
12.985,0.994
13.015,0.998
13.045,1.000
13.075,1.000
13.105,0.997
13.135,0.993
13.165,0.994
13.195,0.994
13.225,0.996
13.255,0.991
13.285,0.994
13.315,0.998
13.345,0.995
13.375,0.995
13.405,0.990
13.435,0.987
13.465,0.995
13.495,0.999
13.525,0.998
13.555,0.999
13.585,0.995
13.615,0.996
13.645,0.997
13.675,0.995
13.705,0.993
13.735,0.992
13.765,0.995
13.795,0.998
