df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,ppg_med
5.440,522
5.465,600
5.490,724
5.515,791
5.540,765
5.565,737
5.590,809
5.615,941
5.640,991
5.665,910
5.690,824
5.715,869
5.740,991
5.765,999
5.790,826
5.815,642
5.840,632
5.865,723
5.890,658
5.915,349
5.940,26
5.965,-65
5.990,-23
6.015,-187
6.040,-667
6.065,-1162
6.090,-1350
6.115,-1357
6.140,-1625
6.165,-2294
6.190,-2971
6.215,-3241
6.240,-3267
6.265,-3612
6.290,-4455
6.315,-5290
6.340,-5588
6.365,-5557
6.390,-5911
6.415,-6872
6.440,-7800
6.465,-8025
6.490,-7814
6.515,-8060
6.540,-9044
6.565,-9957
6.590,-9966
6.615,-9403
6.640,-9386
6.665,-10263
6.690,-11028
6.715,-10641
6.740,-9519
6.765,-9056
6.790,-9690
6.815,-10168
6.840,-9192
6.865,-7284
6.890,-6192
6.915,-6468
6.940,-6547
6.965,-4800
6.990,-1880
7.015,1
7.040,135
7.065,498
7.090,3168
7.115,7319
7.140,10107
7.165,10588
7.190,11314
7.215,15016
7.240,20638
7.265,24392
7.290,24960
7.315,25761
7.340,30594
7.365,32767
7.390,32767
7.415,32767
7.440,32767
7.465,32767
7.490,32767
7.515,32767
7.540,32767
7.565,32767
7.590,32767
7.615,32767
7.640,32767
7.665,32767
7.690,13956
7.715,-32768
7.740,-32768
7.765,-32768
7.790,-32768
7.815,-32768
7.840,-32768
7.865,-32768
7.890,-32768
7.915,-32768
7.940,-32768
7.965,-32768
7.990,-32768
8.015,-32768
8.040,-32768
8.065,-27069
8.090,-24963
8.115,-24952
8.140,-22677
8.165,-17446
8.190,-12676
8.215,-10983
8.240,-10885
8.265,-9185
8.290,-5323
8.315,-1822
8.340,-654
8.365,-700
8.390,488
8.415,3356
8.440,5951
8.465,6727
8.490,6535
8.515,7260
8.540,9207
8.565,10810
8.590,10864
8.615,10106
8.640,10105
8.665,11139
8.690,11957
8.715,11570
8.740,10552
8.765,10162
8.790,10630
8.815,10949
8.840,10312
8.865,9163
8.890,8505
8.915,8539
8.940,8488
8.965,7728
8.990,6619
9.015,5947
9.040,5848
9.065,5682
9.090,4951
9.115,3945
9.140,3299
9.165,3133
9.190,2952
9.215,2354
9.240,1549
9.265,1018
9.290,866
9.315,756
9.340,429
9.365,58
9.390,-39
9.415,123
9.440,206
9.465,-4
9.490,-336
9.515,-487
9.540,-421
9.565,-378
9.590,-519
9.615,-715
9.640,-743
9.665,-592
9.690,-461
9.715,-487
9.740,-583
9.765,-585
9.790,-477
9.815,-394
9.840,-422
9.865,-490
9.890,-480
9.915,-393
9.940,-342
9.965,-394
9.990,-487
10.015,-528
10.040,-515
10.065,-520
10.090,-563
10.115,-555
10.140,-396
10.165,-112
10.190,159
10.215,311
10.240,368
10.265,410
10.290,441
10.315,463
10.340,451
10.365,404
10.390,354
10.415,335
10.440,348
10.465,369
10.490,376
10.515,366
10.540,346
10.565,318
10.590,277
10.615,224
10.640,175
10.665,141
10.690,113
10.715,74
10.740,16
10.765,-47
10.790,-104
10.815,-163
10.840,-244
10.865,-339
10.890,-398
10.915,-357
10.940,-203
10.965,8
10.990,191
11.015,301
11.040,360
11.065,414
11.090,481
11.115,533
11.140,544
11.165,520
11.190,500
11.215,508
11.240,536
11.265,554
11.290,551
11.315,532
11.340,505
11.365,467
11.390,412
11.415,346
11.440,289
11.465,244
11.490,197
11.515,135
11.540,63
11.565,1
11.590,-49
11.615,-108
11.640,-184
11.665,-240
11.690,-209
11.715,-57
11.740,174
11.765,399
11.790,553
11.815,635
11.840,678
11.865,701
11.890,696
11.915,658
11.940,609
11.965,576
11.990,557
12.015,511
12.040,406
12.065,262
12.090,136
12.115,76
12.140,81
12.165,112
12.190,128
12.215,110
12.240,52
12.265,-38
12.290,-147
12.315,-244
12.340,-314
12.365,-370
12.390,-440
12.415,-527
12.440,-583
12.465,-542
12.490,-386
12.515,-170
12.540,19
12.565,136
12.590,199
12.615,253
12.640,318
12.665,373
12.690,394
12.715,387
12.740,381
12.765,400
12.790,438
12.815,473
12.840,488
12.865,483
12.890,466
12.915,437
12.940,393
12.965,338
12.990,283
13.015,239
13.040,206
13.065,170
13.090,111
13.115,28
13.140,-56
13.165,-98
13.190,-59
13.215,59
13.240,214
13.265,352
13.290,444
13.315,503
13.340,550
13.365,590
13.390,605
13.415,581
13.440,533
13.465,492
13.490,477
13.515,479
13.540,476
13.565,451
13.590,408
13.615,353
13.640,290
13.665,218
13.690,144
13.715,75
13.740,12
13.765,-48
13.790,-111
13.815,-174
13.840,-236
13.865,-310
13.890,-409
13.915,-517
13.940,-584
13.965,-560
13.990,-439
14.015,-276
14.040,-146
14.065,-84
14.090,-69
14.115,-54
14.140,-14
14.165,45
14.190,113
14.215,197
14.240,308
14.265,435
14.290,546
14.315,610
14.340,631
14.365,641
14.390,665
14.415,700
14.440,722
14.465,720
14.490,703
14.515,689
14.540,682
14.565,668
14.590,633
14.615,584
14.640,533
14.665,485
14.690,427
14.715,346
14.740,246
