df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,heart_rate
14.581,74
15.459,75
16.678,75
17.577,74
18.433,75
19.651,75
20.529,75
21.699,76
22.625,75
23.503,72
24.383,72
25.599,72
26.477,72
27.452,71
28.574,71
29.478,71
30.377,71
31.547,72
32.424,72
33.351,71
34.520,71
35.398,71
36.324,71
37.496,73
38.420,75
39.298,75
40.712,75
41.395,74
42.390,74
43.442,74
44.374,75
45.245,75
46.711,76
47.342,76
48.242,77
49.438,78
50.315,78
51.193,78
52.416,78
53.292,77
54.167,77
55.385,77
56.271,77
57.190,77
58.363,78
59.237,78
60.163,78
61.352,78
62.210,78
63.139,79
64.307,79
65.233,80
66.110,81
67.378,81
68.207,81
69.109,80
70.352,80
71.183,80
72.068,80
73.277,81
74.203,80
75.032,80
76.250,80
77.128,80
78.252,80
79.224,81
80.102,81
80.979,81
82.198,80
83.075,79
84.002,79
85.172,79
86.092,79
86.976,79
88.145,79
89.023,79
89.952,79
91.119,80
92.045,80
92.923,80
94.337,80
95.021,79
95.897,79
97.070,78
97.993,78
98.871,77
100.089,77
100.967,78
101.845,78
103.069,79
103.941,80
105.119,81
106.039,82
106.960,81
107.840,81
109.011,81
109.888,81
110.814,84
111.984,85
113.008,86
113.788,86
114.958,86
115.836,85
116.762,85
117.932,85
118.858,85
119.736,86
120.906,87
121.832,87
122.709,86
123.922,85
124.806,84
125.976,83
126.855,81
127.802,81
128.657,81
129.876,81
130.753,80
131.657,80
132.849,79
133.770,78
134.605,78
135.823,77
136.711,77
137.578,77
138.800,77
139.674,77
140.601,77
141.771,78
142.746,78
143.579,79
144.744,79
145.622,80
146.549,79
147.720,79
148.647,78
149.522,79
150.714,79
151.618,79
152.521,78
153.692,78
154.595,77
155.471,77
156.688,77
157.566,77
158.447,77
159.665,77
160.539,76
161.417,76
162.636,76
163.812,78
164.391,79
165.609,79
166.487,80
167.368,80
168.590,80
169.514,80
170.387,80
171.557,80
172.434,80
173.372,80
174.531,80
175.457,80
176.334,80
177.651,80
178.431,80
179.308,80
180.497,81
181.404,81
182.283,81
183.459,81
184.380,81
185.256,80
186.474,79
187.358,78
188.255,77
189.448,77
190.349,77
191.207,78
192.422,77
193.300,77
194.226,77
195.396,77
196.322,78
197.151,78
198.519,79
199.247,79
200.175,79
201.444,80
202.221,81
203.168,80
204.317,83
205.195,84
206.124,83
207.291,85
208.217,85
209.339,86
210.265,86
211.206,86
212.069,85
213.238,83
214.165,81
215.043,80
216.212,79
217.163,79
218.016,79
219.235,79
220.112,81
220.990,82
222.208,84
223.094,82
223.963,82
225.212,80
226.060,79
226.937,77
228.156,77
229.033,77
229.919,77
231.130,77
232.007,81
232.933,82
234.348,84
234.981,85
235.928,85
237.077,84
237.955,84
238.881,83
240.051,84
240.952,84
241.855,85
243.025,85
243.953,85
244.872,84
245.998,84
247.220,83
247.802,83
248.972,83
249.898,83
250.776,83
251.955,83
252.872,83
253.798,83
254.970,83
255.846,83
256.723,83
257.942,83
258.820,83
259.697,83
260.916,83
261.793,83
262.682,83
263.890,83
264.771,83
265.694,87
266.863,84
267.744,85
268.670,84
269.886,84
270.719,84
271.643,84
272.811,84
274.006,84
274.617,84
275.785,84
276.662,87
277.592,88
278.758,89
279.685,89
280.562,90
282.174,90
282.658,89
283.537,89
284.719,89
285.635,89
286.537,89
287.680,89
288.609,89
289.484,89
290.706,92
291.580,92
292.487,93
293.676,93
294.553,93
295.431,92
296.656,92
297.527,92
298.409,92
299.624,90
300.540,91
301.379,90
302.597,90
303.591,90
304.401,90
305.571,90
306.449,89
307.375,89
308.545,89
309.422,89
310.401,89
311.520,89
312.397,89
313.322,89
314.503,89
315.419,89
316.298,89
317.472,89
318.392,89
319.319,89
320.440,89
321.392,86
322.268,86
323.462,85
324.343,85
325.218,85
326.436,85
327.317,85
328.191,85
329.410,85
330.287,85
331.165,85
332.387,85
333.261,85
334.150,86
335.357,86
336.245,87
337.113,87
338.336,87
339.209,87
340.233,88
341.305,89
342.182,88
343.109,88
344.280,88
345.177,88
346.082,91
347.253,89
348.130,92
349.061,92
350.232,93
351.152,93
352.031,93
353.200,94
354.126,93
355.004,93
356.174,93
357.100,93
357.988,93
359.196,93
360.090,93
360.951,93
362.170,94
363.047,94
363.925,94
365.343,93
366.021,93
366.899,89
368.118,87
368.995,88
369.922,85
371.102,85
371.969,85
372.895,84
374.065,84
374.963,84
375.918,84
377.039,84
377.957,84
378.843,84
380.018,83
380.890,83
381.816,83
382.986,83
383.953,83
384.790,83
386.034,83
386.886,83
387.764,83
388.934,83
389.860,83
390.738,82
391.908,80
392.837,80
393.736,80
394.930,80
395.808,80
396.713,80
397.904,80
398.782,80
399.664,80
400.878,80
401.755,80
402.634,80
403.851,80
404.753,81
405.606,81
406.848,81
407.704,81
408.629,81
409.805,81
410.687,81
411.603,81
412.775,81
413.699,81
414.576,81
415.751,81
416.675,81
417.581,81
418.720,81
419.646,81
420.533,81
422.136,81
422.620,81
423.798,81
424.668,81
425.594,81
426.471,81
427.690,82
428.568,81
