df_hash,22ZHK4.1R5J5W
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.5LYG
person_label,v126real
date_time_start,2026-04-07_17-04-33.134000_+03
date_time_start_unix,1775563473.134
date_time_end,2026-04-07_17-12-49.773000_+03
length_difference_noticed,no

time,omega
59.683,0.542
72.063,0.552
72.844,0.553
73.868,0.552
78.012,0.553
78.753,0.554
85.679,0.553
92.346,0.554
95.432,0.555
112.380,0.556
128.962,0.557
129.197,0.555
132.374,0.555
136.707,0.555
141.974,0.553
143.578,0.552
144.358,0.550
148.120,0.544
159.920,0.550
160.835,0.550
162.167,0.550
162.837,0.550
163.519,0.550
169.028,0.561
171.710,0.561
178.687,0.561
184.534,0.561
187.776,0.561
188.528,0.561
197.450,0.554
200.375,0.554
201.012,0.562
201.694,0.562
203.834,0.576
206.320,0.591
209.108,0.591
210.475,0.591
211.348,0.591
212.367,0.591
216.320,0.591
219.091,0.593
221.630,0.593
227.190,0.593
230.761,0.605
231.478,0.605
234.110,0.593
235.524,0.605
239.664,0.593
241.086,0.593
241.786,0.593
242.885,0.583
247.713,0.583
248.883,0.583
277.059,0.574
277.202,0.562
280.276,0.573
281.106,0.577
285.781,0.583
296.654,0.583
308.994,0.582
312.606,0.592
314.108,0.573
325.123,0.567
327.679,0.559
332.780,0.554
333.363,0.554
336.144,0.554
340.731,0.552
343.505,0.546
374.326,0.545
378.751,0.541
382.376,0.545
391.033,0.545
405.466,0.551
418.536,0.555
433.300,0.554
437.788,0.547
438.419,0.551
457.288,0.546
459.783,0.533
461.483,0.517
467.282,0.526
472.018,0.537
472.738,0.546
476.853,0.537
484.490,0.541
