df_hash,22ZHK4.K83A0A
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.142G
person_label,v104
date_time_start,2026-03-02_13-09-09.015000_+03
date_time_start_unix,1772442549.015
date_time_end,2026-03-02_13-17-56.920000_+03
length_difference_noticed,no

time,ppg_quality
57.849,76
58.859,77
60.879,53
62.899,49
64.919,41
66.939,35
67.949,40
68.949,45
71.979,45
72.989,52
73.999,62
76.019,68
78.039,58
79.049,53
80.059,56
81.069,61
83.089,66
85.109,69
86.119,71
87.129,74
89.149,84
90.159,85
91.169,79
92.179,73
94.199,41
96.219,35
98.239,54
100.259,60
101.269,67
103.289,53
104.299,79
105.309,83
106.319,90
107.329,73
109.349,75
111.369,76
112.379,78
114.399,79
116.419,79
118.439,79
120.459,69
122.479,65
125.509,56
126.519,61
127.529,63
128.539,64
129.549,65
131.569,70
133.589,78
135.609,71
136.619,71
137.629,60
138.639,51
139.649,51
140.659,48
142.679,37
144.699,59
146.719,58
148.739,74
149.749,71
151.769,74
153.789,92
155.809,84
157.829,77
159.849,77
161.869,81
162.879,68
163.889,58
164.899,47
165.909,55
166.919,52
167.929,59
168.939,63
170.959,61
172.979,46
173.989,49
176.009,58
178.029,61
180.049,80
182.069,99
183.079,107
184.089,105
185.099,98
186.109,93
187.119,94
189.139,88
191.159,71
192.169,45
193.179,34
194.189,24
196.209,38
197.219,46
198.229,39
200.249,26
201.259,35
202.269,48
203.279,48
204.289,51
205.299,43
206.309,27
207.319,13
209.339,16
210.349,24
211.359,14
213.379,45
215.399,47
216.409,50
218.429,56
219.439,50
220.449,49
222.469,56
224.489,49
226.509,69
228.529,34
230.549,47
231.559,41
233.579,47
235.599,29
237.619,44
238.629,61
239.639,62
241.659,66
243.679,35
244.689,30
246.709,19
248.729,18
249.739,12
250.749,8
252.769,9
254.789,40
255.799,52
257.819,53
258.829,62
259.839,66
260.849,62
261.859,44
262.869,44
263.879,27
272.969,17
273.979,19
274.989,21
277.009,23
279.029,34
281.049,78
282.059,68
283.069,58
284.079,69
286.099,78
288.119,96
290.139,55
291.149,18
293.169,12
295.189,11
297.209,1
301.249,32
302.259,39
303.269,46
305.289,72
306.299,61
308.319,87
310.339,66
311.349,62
313.369,46
314.379,44
317.409,47
319.429,36
321.449,27
323.469,3
332.559,17
335.589,24
336.599,8
343.669,1
344.679,6
345.689,13
346.699,24
348.719,39
350.739,51
351.749,52
352.759,48
354.779,31
356.799,20
357.809,14
358.819,8
363.869,29
364.879,49
366.899,60
367.909,51
369.929,47
372.959,72
373.969,67
374.979,56
375.989,57
376.999,49
379.019,59
382.049,51
384.069,39
386.089,35
388.099,48
390.119,56
392.139,60
393.149,59
395.169,57
397.189,57
399.209,60
401.229,62
403.249,66
404.259,82
406.279,110
407.289,116
408.299,111
410.319,99
411.329,98
413.349,90
414.359,75
417.389,9
419.409,1
423.449,11
425.469,29
427.489,57
429.509,64
430.519,65
432.539,50
434.559,21
436.579,20
437.589,18
438.599,20
440.619,36
442.639,32
443.649,35
445.669,28
447.689,10
452.739,12
453.749,7
456.779,25
458.799,19
459.809,4
461.829,16
462.839,28
464.859,45
467.889,16
468.899,14
469.909,18
475.969,2
476.979,6
478.999,34
481.019,54
483.039,54
485.059,44
487.079,62
489.099,42
490.109,33
491.119,25
492.129,25
494.149,34
496.169,20
497.179,9
498.189,27
501.219,58
503.239,40
505.259,58
506.269,63
507.279,90
508.289,80
509.299,72
511.319,61
512.329,56
514.349,67
516.369,65
517.379,73
519.399,59
520.409,61
522.429,66
525.459,54
