df_hash,22ZHK4.K83A0A
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.142G
person_label,v104
date_time_start,2026-03-02_13-09-09.015000_+03
date_time_start_unix,1772442549.015
date_time_end,2026-03-02_13-17-56.920000_+03
length_difference_noticed,no

time,heart_rate
7.897,46
8.815,46
9.698,46
10.912,46
11.837,46
12.667,46
13.886,46
14.763,46
15.640,46
16.858,46
17.761,46
18.614,46
19.832,46
20.710,46
21.611,46
22.811,46
23.760,46
24.612,46
25.780,46
26.661,46
27.584,46
28.754,46
29.901,46
30.557,46
31.727,64
32.898,73
33.677,78
34.701,71
35.627,71
36.505,72
37.675,72
38.601,71
39.479,71
40.698,71
41.575,71
42.696,71
43.720,71
44.549,71
45.426,71
46.672,71
47.523,71
48.475,71
49.619,71
51.041,61
51.492,58
52.596,56
53.568,58
54.396,58
55.566,57
56.495,57
57.411,57
58.540,57
59.466,70
60.358,76
61.514,78
62.440,80
63.318,82
64.537,80
65.442,80
66.292,79
67.511,78
68.437,78
69.314,78
70.492,77
71.362,77
72.289,76
73.483,76
74.336,76
75.262,76
76.432,76
77.310,75
78.479,75
79.454,76
80.332,76
81.209,76
82.381,76
83.306,76
84.430,76
85.402,76
86.279,76
87.404,75
88.509,73
89.259,72
90.182,71
91.350,70
92.522,70
93.105,71
94.716,70
95.201,70
96.127,69
97.324,69
98.177,69
99.138,69
100.271,69
101.266,69
102.096,69
103.246,69
104.171,69
105.076,69
106.218,69
107.145,69
108.022,69
109.241,69
110.119,72
110.996,74
112.217,77
113.129,79
114.019,79
115.218,78
116.094,77
116.992,77
118.166,78
119.089,78
119.966,77
121.141,77
122.063,77
122.940,77
124.261,77
125.036,76
125.937,75
127.133,74
128.159,74
129.027,75
130.112,76
130.984,76
131.910,76
133.080,75
134.034,75
134.888,75
136.203,75
136.932,75
137.858,75
139.028,76
139.907,76
140.832,76
142.003,76
142.956,75
143.805,75
144.975,75
145.902,76
146.779,77
147.949,78
148.875,78
149.802,77
150.945,77
151.849,77
152.873,77
154.192,77
154.872,77
155.701,77
156.971,77
157.797,77
158.674,77
159.895,77
160.771,77
161.655,77
162.916,77
163.747,77
164.622,77
165.841,77
166.719,79
167.667,79
168.827,80
169.692,80
170.569,80
171.873,80
172.666,80
173.691,80
174.762,80
175.715,80
176.566,80
177.739,80
178.613,80
179.540,80
180.712,80
181.599,80
182.513,80
183.690,84
184.610,85
185.487,83
186.657,85
187.583,84
188.461,84
189.631,83
190.606,83
191.435,83
192.702,83
193.580,83
194.409,83
195.627,83
196.646,83
197.382,83
198.650,83
199.506,83
200.359,83
201.575,80
202.463,81
203.334,79
204.554,78
205.426,78
206.353,78
207.523,78
208.400,78
209.326,78
210.497,78
211.375,78
212.300,78
213.470,78
214.397,78
215.371,78
216.444,78
217.399,78
218.443,78
219.593,78
220.344,73
221.221,79
222.440,78
223.330,78
224.195,78
225.414,77
226.382,78
227.169,79
228.389,78
229.363,78
230.146,78
231.362,78
232.337,78
233.228,78
234.336,78
235.311,78
236.158,78
237.309,78
238.235,78
239.113,78
240.725,78
241.209,78
242.087,75
243.294,74
244.183,75
245.061,75
246.231,74
247.157,77
248.035,76
249.448,75
250.131,75
251.057,75
252.276,75
253.110,75
254.028,75
255.201,79
256.078,79
257.010,78
258.174,76
259.347,74
259.978,72
261.160,73
262.026,73
262.952,72
264.122,72
265.030,72
265.929,72
267.096,72
268.022,72
268.900,72
270.119,69
270.998,70
271.975,70
273.043,70
273.970,60
274.847,63
276.017,64
276.956,64
277.821,63
279.089,63
279.917,63
280.795,63
282.263,63
282.891,71
283.772,68
285.084,67
285.870,60
286.794,63
287.966,58
288.839,56
289.765,55
290.939,56
291.871,56
292.739,55
293.909,55
294.835,55
295.713,55
296.931,55
297.809,55
298.686,55
299.905,55
300.880,55
301.660,55
302.935,55
303.756,64
304.634,69
305.853,72
306.733,68
307.656,68
308.827,68
309.704,68
310.632,68
311.804,68
312.678,72
313.604,73
314.774,73
315.652,72
316.578,73
317.748,73
318.674,72
319.574,72
320.722,72
321.697,72
322.525,72
323.744,72
324.622,72
325.504,75
326.669,73
327.606,73
328.473,73
329.692,73
330.569,73
331.447,75
332.665,75
333.543,75
334.470,76
335.639,77
336.615,79
337.394,81
338.613,79
339.492,79
340.417,79
341.608,78
342.760,78
343.391,78
344.561,78
345.465,78
346.364,78
347.534,78
348.412,78
349.338,78
350.508,79
351.436,78
352.312,79
353.482,78
354.408,80
355.286,78
356.456,78
357.382,79
358.260,78
359.478,78
360.407,78
361.257,78
362.457,78
363.336,78
364.232,78
365.426,76
366.303,77
367.181,77
368.400,78
369.277,78
370.155,78
371.374,78
372.294,79
373.128,79
374.347,78
375.225,78
376.151,78
377.321,78
378.345,78
379.125,78
380.442,77
381.172,78
382.099,79
383.269,80
384.195,81
385.072,81
386.554,81
387.171,81
388.046,81
389.216,81
390.142,81
391.087,82
392.239,83
393.116,84
393.999,84
395.164,84
396.090,83
396.968,82
398.186,82
399.064,81
399.966,81
401.165,80
402.058,80
402.915,80
404.168,80
405.306,80
405.992,80
407.164,80
408.001,80
408.911,73
410.082,77
410.962,75
411.887,75
413.122,79
413.933,81
414.863,81
416.078,80
416.955,80
417.833,80
419.003,80
419.929,80
420.807,78
422.002,79
