df_hash,22ZHK4.K83A0A
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.142G
person_label,v104
date_time_start,2026-03-02_13-09-09.015000_+03
date_time_start_unix,1772442549.015
date_time_end,2026-03-02_13-17-56.920000_+03
length_difference_noticed,no

time,acc_mag
4.754,0.971
4.784,0.972
4.814,0.976
4.844,0.971
4.874,0.979
4.904,0.970
4.934,0.968
4.964,0.972
4.994,0.975
5.024,0.975
5.054,0.973
5.084,0.972
5.114,0.971
5.144,0.970
5.174,0.970
5.204,0.970
5.234,0.974
5.264,0.967
5.294,0.972
5.324,0.977
5.354,0.964
5.384,0.977
5.414,0.981
5.444,0.968
5.474,0.966
5.504,0.968
5.534,0.976
5.564,0.971
5.594,0.970
5.624,0.972
5.654,0.972
5.684,0.975
5.714,0.974
5.744,0.977
5.774,0.974
5.804,0.979
5.834,0.971
5.864,0.964
5.894,0.972
5.924,0.971
5.954,0.971
5.984,0.972
6.014,0.970
6.044,0.976
6.074,0.963
6.104,0.990
6.134,0.979
6.164,0.962
6.194,0.967
6.224,0.973
6.254,0.970
6.284,0.971
6.314,0.962
6.344,0.980
6.374,0.968
6.404,0.979
6.434,0.975
6.464,0.969
6.494,0.963
6.524,0.967
6.554,0.971
6.584,0.969
6.614,0.972
6.644,0.972
6.674,0.971
6.704,0.974
6.734,0.964
6.764,0.980
6.794,0.979
6.824,0.966
6.854,0.970
6.884,0.975
6.914,0.970
6.944,0.969
6.974,0.973
7.004,0.974
7.034,0.971
7.064,0.976
7.094,0.968
7.124,0.969
7.154,0.969
7.184,0.968
7.214,0.967
7.244,0.971
7.274,0.973
7.304,0.973
7.334,0.976
7.364,0.965
7.394,0.973
7.424,0.976
7.454,0.961
7.484,0.974
7.514,0.971
7.544,0.961
7.574,0.969
7.604,0.978
7.634,0.969
7.664,0.970
7.694,0.975
7.724,0.971
7.754,0.969
7.784,0.967
7.814,0.969
7.844,0.970
7.874,0.960
7.904,0.971
7.934,0.971
7.964,0.955
7.994,0.966
8.024,0.984
8.054,0.970
8.084,0.967
8.114,0.972
8.144,0.961
8.174,0.966
8.204,0.977
8.234,0.959
8.264,0.981
8.294,0.970
8.324,0.965
8.354,0.964
8.384,0.974
8.414,0.972
8.444,0.966
8.474,0.958
8.504,0.967
8.534,0.974
8.564,0.979
8.594,0.951
8.624,0.975
8.654,0.983
8.684,0.962
8.714,0.961
8.744,0.952
8.774,0.960
8.804,0.969
8.834,0.979
8.864,0.959
8.894,0.962
8.924,0.968
8.954,0.971
8.984,0.969
9.014,0.966
9.044,0.964
9.074,0.969
9.104,0.971
9.134,0.969
9.164,0.961
9.194,0.963
9.224,0.968
9.254,0.951
9.284,0.976
9.314,0.962
9.344,0.949
9.374,0.962
9.404,0.967
9.434,0.969
9.464,0.968
9.494,0.971
9.524,0.965
9.554,0.970
9.584,0.964
9.614,0.965
9.644,0.971
9.674,0.973
9.704,0.968
9.734,0.964
9.764,0.964
9.794,0.964
9.824,0.961
9.854,0.959
9.884,0.956
9.914,0.957
9.944,0.960
9.974,0.943
10.004,0.957
10.034,0.971
10.064,0.951
10.094,0.949
10.124,0.964
10.154,0.979
10.184,0.991
10.214,0.990
10.244,0.972
10.274,0.966
10.304,0.970
10.334,0.975
10.364,0.976
10.394,0.967
10.424,0.978
10.454,0.979
10.484,0.959
10.514,0.950
10.544,0.962
10.574,0.982
10.604,0.992
10.634,0.993
10.664,1.008
10.694,0.994
10.724,0.951
10.754,0.939
10.784,0.947
10.814,0.965
10.844,0.969
10.874,0.964
10.904,0.968
10.934,0.992
10.964,1.000
10.994,0.989
11.024,0.975
11.054,0.975
11.084,0.974
11.114,0.971
11.144,0.981
11.174,0.973
11.204,0.979
11.234,1.010
11.264,1.002
11.294,0.977
11.324,0.989
11.354,0.994
11.384,0.979
11.414,0.971
11.444,0.976
11.474,0.998
11.504,0.992
11.534,0.996
11.564,0.988
11.594,0.990
11.624,0.970
11.654,0.974
11.684,0.982
11.714,0.994
11.744,0.997
11.774,0.999
11.804,0.976
11.834,0.963
11.864,0.979
11.894,0.990
11.924,1.003
11.954,1.015
11.984,1.015
12.014,0.996
12.044,0.996
12.074,0.996
12.104,0.975
12.134,0.965
12.164,0.979
12.194,0.979
12.224,0.972
12.254,0.998
12.284,0.967
12.314,0.920
12.344,0.925
12.374,0.979
12.404,0.965
12.434,0.927
12.464,0.950
12.494,0.984
12.524,0.964
12.554,0.951
12.584,0.974
12.614,1.011
12.644,0.968
12.674,0.945
12.704,0.926
12.734,0.984
12.764,0.973
12.794,0.964
12.824,0.927
12.854,0.907
12.884,0.969
12.914,0.976
12.944,0.964
12.974,0.984
13.004,0.958
13.034,0.977
13.064,0.950
13.094,0.975
13.124,1.022
13.154,1.049
13.184,1.039
13.214,1.005
13.244,0.951
13.274,0.979
13.304,0.972
13.334,0.941
13.364,0.954
13.394,0.995
13.424,0.956
13.454,0.923
13.484,0.929
13.514,0.900
13.544,0.908
13.574,0.928
13.604,0.939
13.634,0.945
13.664,0.973
13.694,0.945
13.724,0.939
13.754,0.934
13.784,0.958
13.814,0.980
13.844,1.004
13.874,0.962
13.904,0.995
13.934,0.962
13.964,0.983
13.994,0.972
14.024,0.971
14.054,0.950
14.084,0.929
14.114,0.942
14.144,0.966
