df_hash,22ZHK4.K83A0A
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.142G
person_label,v104
date_time_start,2026-03-02_13-09-09.015000_+03
date_time_start_unix,1772442549.015
date_time_end,2026-03-02_13-17-56.920000_+03
length_difference_noticed,no

time,rr_int
10.375,4000
11.009,1625
11.593,745
11.886,495
11.891,305
12.130,20
12.138,275
12.569,10
13.007,375
13.056,445
13.934,10
15.057,1035
15.201,860
17.008,290
17.202,1815
17.207,15
17.311,300
17.495,15
17.541,240
17.547,120
19.345,865
19.348,860
19.491,10
19.784,370
21.882,1420
22.270,775
22.416,595
23.537,800
23.541,260
23.684,10
23.841,305
25.883,1315
26.631,685
26.657,730
27.292,10
28.124,785
28.949,790
29.631,775
29.635,740
29.680,10
29.684,15
29.690,25
29.924,220
30.070,140
30.265,200
30.269,10
31.581,695
31.585,710
32.654,10
33.147,745
33.688,790
34.360,495
34.365,700
34.652,10
34.658,270
35.335,10
35.872,720
35.920,245
36.700,345
37.288,675
37.293,625
37.968,10
38.260,675
38.266,350
38.406,15
38.455,100
38.699,15
39.382,250
40.211,800
41.039,780
41.770,775
42.453,705
42.704,785
42.745,220
42.989,10
43.818,340
45.085,790
45.524,1240
46.500,470
46.743,1190
48.303,945
50.106,605
50.111,1875
50.255,10
50.259,10
50.301,20
50.305,50
50.648,35
50.672,25
50.678,15
50.789,15
50.793,15
50.838,10
50.841,10
50.844,10
50.851,10
50.935,10
50.939,15
50.987,20
50.996,15
51.001,10
51.004,15
51.033,10
51.037,10
51.107,15
51.359,310
51.775,640
52.154,10
52.745,710
53.035,555
53.131,315
53.142,145
53.145,15
53.148,10
53.714,15
53.718,500
54.446,85
54.545,695
54.692,125
54.696,15
54.702,10
55.079,15
55.086,500
55.957,10
56.642,880
56.788,620
57.324,10
58.151,755
58.297,755
58.302,245
58.833,10
59.564,490
60.247,735
60.398,705
60.588,220
60.591,10
61.615,490
62.050,705
62.245,360
62.249,205
62.343,15
62.346,40
62.489,165
62.492,10
63.417,905
63.465,10
63.468,15
63.562,165
63.854,300
63.857,15
64.151,205
65.268,820
65.365,415
65.370,15
65.658,305
66.341,730
67.218,10
67.221,780
67.904,15
68.245,775
68.342,205
68.348,15
68.729,20
68.736,585
69.022,10
69.559,225
69.704,595
69.753,165
69.756,10
69.850,10
69.854,10
70.436,10
71.121,595
71.219,775
71.951,10
72.776,765
73.604,815
73.608,845
74.287,10
74.290,765
75.118,10
75.408,835
75.434,160
75.944,20
76.091,580
76.101,160
76.142,25
76.145,35
76.676,10
76.693,560
77.504,10
77.511,740
78.225,10
78.489,775
78.531,240
79.162,20
79.845,605
81.526,830
81.735,1550
81.892,215
81.897,15
82.917,15
82.965,1265
83.744,10
83.748,795
84.573,10
84.577,765
84.866,15
85.451,335
85.454,490
85.458,10
86.231,10
87.111,870
87.161,885
87.179,10
87.937,10
88.181,850
88.186,215
88.229,15
88.235,15
88.241,15
88.395,10
88.497,15
88.924,10
88.929,575
89.741,10
89.745,870
89.937,15
90.630,15
90.716,790
90.720,140
90.767,20
90.784,10
91.253,20
92.081,600
93.202,770
94.077,1155
94.860,775
95.299,850
96.296,455
96.422,1045
96.520,15
96.525,15
96.528,10
96.664,245
97.446,270
98.760,550
99.052,1385
99.494,300
99.735,300
101.197,385
101.203,1145
101.246,10
101.260,75
101.588,30
102.227,505
102.370,660
102.420,10
102.433,165
102.438,10
102.444,15
102.806,15
102.848,20
102.904,385
103.488,10
103.635,630
104.074,180
104.615,460
105.733,385
106.121,945
106.272,800
106.708,10
107.096,485
108.656,400
109.339,1540
109.342,725
110.167,10
110.171,755
110.314,10
110.317,150
110.362,15
110.366,10
110.369,10
110.411,10
110.414,10
110.417,15
110.421,15
110.498,20
110.850,25
110.889,20
111.590,395
112.410,795
113.239,815
113.244,845
114.067,10
114.071,820
114.750,10
115.062,745
115.189,155
115.194,20
115.206,15
115.482,20
115.490,490
116.315,10
117.190,765
117.821,740
117.995,795
118.162,195
118.650,20
118.797,595
118.942,340
121.039,550
121.042,1580
121.429,10
121.433,410
121.575,20
121.579,10
121.624,15
121.627,10
121.630,15
121.773,10
121.867,250
123.525,830
124.361,835
125.183,835
125.186,835
125.914,10
126.158,790
126.743,195
126.889,565
127.425,225
127.433,530
128.254,10
129.090,765
129.914,840
130.106,835
130.644,215
130.694,590
131.473,10
131.764,780
132.836,275
133.570,1200
134.250,635
135.079,750
135.226,750
135.372,330
135.908,520
136.056,10
136.590,130
137.419,635
138.248,805
139.145,805
139.518,800
139.808,10
139.813,785
140.637,10
140.641,810
141.466,10
141.613,805
141.712,190
141.758,20
142.295,20
142.440,600
143.128,225
143.271,580
143.613,165
143.617,10
143.855,10
144.586,590
145.365,725
146.051,770
146.197,730
146.882,10
147.074,805
147.706,10
147.852,820
148.534,240
148.537,620
148.827,10
149.413,215
149.417,635
149.510,10
149.660,310
150.632,465
151.070,515
151.752,415
153.118,680
154.677,1415
155.798,1490
156.919,1120
156.922,1105
156.926,10
156.929,10
156.968,50
157.023,15
157.164,25
157.167,20
157.192,25
157.310,330
160.627,1600
161.210,1570
161.477,670
161.480,275
161.599,10
161.603,210
161.648,15
161.651,10
161.766,20
161.941,195
162.721,845
162.925,10
163.013,255
163.017,15
163.159,115
163.164,15
