df_hash,22ZHK4.K83A0A
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.142G
person_label,v104
date_time_start,2026-03-02_13-09-09.015000_+03
date_time_start_unix,1772442549.015
date_time_end,2026-03-02_13-17-56.920000_+03
length_difference_noticed,no

time,temperature
5.019,29.969
5.890,29.953
7.014,30.062
7.889,30.062
8.913,30.062
9.889,30.109
10.929,30.125
11.898,30.141
12.910,30.125
13.902,30.125
14.913,30.125
15.884,30.156
16.908,30.078
17.883,30.094
18.906,30.094
19.881,30.094
20.905,30.094
21.931,30.125
22.904,30.156
23.879,30.203
25.221,30.234
25.877,30.219
26.902,30.203
28.120,30.250
28.900,30.297
29.915,30.297
30.899,30.328
31.917,30.328
32.908,30.344
34.169,30.375
34.898,30.359
35.874,30.438
36.919,30.469
37.871,30.469
38.964,30.500
39.869,30.516
40.893,30.516
41.917,30.500
42.915,30.484
43.871,30.469
44.934,30.500
45.914,30.484
46.889,30.484
47.913,30.406
49.285,30.422
49.912,30.422
51.325,30.438
51.981,30.531
53.032,30.547
53.910,30.594
54.909,30.641
55.908,30.625
56.883,30.656
57.907,30.766
58.931,30.766
59.906,30.812
60.883,30.844
61.905,30.812
62.880,30.797
63.903,30.781
64.878,30.766
65.902,30.812
66.926,30.844
67.900,30.844
68.876,30.875
69.900,30.844
70.875,30.844
71.947,30.844
72.873,30.875
73.934,30.875
74.872,30.875
75.896,30.875
76.871,30.875
77.912,30.906
78.870,30.891
79.894,30.906
80.869,30.938
81.903,30.969
82.867,31.000
83.891,31.000
85.064,31.047
85.890,31.031
86.865,31.016
87.889,31.016
88.914,31.047
89.945,31.047
90.916,31.062
91.986,31.047
92.901,31.016
93.885,31.062
94.909,31.047
95.884,31.062
96.908,31.047
97.882,31.047
98.906,31.047
99.981,31.016
101.171,31.047
101.880,31.062
102.929,31.094
103.929,31.094
104.903,31.125
105.878,31.172
106.954,31.266
107.877,31.250
108.902,31.297
109.876,31.328
110.917,31.297
111.897,31.312
112.898,31.266
113.897,31.297
114.898,31.312
115.874,31.281
116.895,31.188
117.972,31.203
118.894,31.219
119.869,31.219
120.893,31.234
121.954,31.203
122.894,31.250
123.867,31.266
124.891,31.203
125.865,31.234
126.892,31.266
128.037,31.266
129.016,31.266
129.863,31.266
130.887,31.266
131.869,31.266
132.886,31.234
133.861,31.219
134.956,31.266
135.859,31.266
136.883,31.266
138.007,31.297
138.882,31.297
139.857,31.281
140.881,31.312
141.856,31.344
142.950,31.375
143.903,31.359
144.878,31.375
146.048,31.344
146.877,31.344
147.901,31.344
149.122,31.344
149.900,31.375
150.875,31.391
151.898,31.406
152.886,31.391
153.900,31.484
154.972,31.500
155.896,31.547
156.874,31.531
157.898,31.516
158.870,31.547
159.947,31.516
160.869,31.516
161.918,31.484
162.965,31.484
163.891,31.406
164.866,31.406
165.891,31.438
166.865,31.453
167.888,31.438
169.110,31.453
169.887,31.453
170.862,31.500
171.892,31.500
172.861,31.484
174.299,31.500
174.862,31.516
175.884,31.516
177.202,31.547
178.316,31.562
178.858,31.562
179.881,31.562
180.909,31.562
181.880,31.562
182.881,31.641
183.879,31.641
184.854,31.625
185.886,31.625
186.901,31.594
187.900,31.625
189.003,31.656
189.875,31.656
191.096,31.656
191.874,31.688
192.898,31.656
193.894,31.672
194.899,31.656
195.871,31.656
196.896,31.578
197.870,31.547
198.894,31.531
199.869,31.547
200.893,31.547
201.868,31.547
202.917,31.547
203.890,31.516
204.890,31.562
205.865,31.578
206.890,31.703
207.864,31.734
208.888,31.734
209.912,31.734
210.887,31.766
211.910,31.766
212.886,31.781
213.864,31.828
214.884,31.812
215.863,31.812
216.906,31.844
217.874,31.797
218.881,31.828
220.010,31.828
220.881,31.812
221.856,31.828
222.879,31.844
223.863,31.844
224.878,31.875
225.927,31.875
226.877,31.891
227.854,31.953
228.876,31.953
230.143,31.953
231.031,31.969
231.850,32.000
232.874,32.031
233.854,32.062
234.928,32.031
235.847,32.031
236.871,32.000
237.846,32.031
238.870,32.062
239.845,32.094
240.918,32.094
241.941,32.031
242.867,32.031
243.891,32.000
244.866,32.031
245.890,31.984
246.965,32.031
247.889,32.031
248.863,31.984
249.889,32.062
250.862,32.094
251.886,32.094
252.933,32.125
253.885,32.125
254.860,32.156
255.886,32.219
257.004,32.219
257.882,32.219
258.857,32.250
259.881,32.156
261.150,32.188
261.880,32.219
262.856,32.219
263.880,32.188
264.854,32.250
265.881,32.281
266.853,32.250
267.876,32.281
268.851,32.281
269.879,32.312
270.850,32.312
271.971,32.281
272.852,32.312
273.873,32.344
275.042,32.312
275.872,32.312
276.943,32.312
277.870,32.344
278.845,32.344
279.869,32.312
280.844,32.344
281.868,32.344
282.843,32.344
283.867,32.375
284.842,32.375
285.865,32.375
286.848,32.406
287.961,32.406
288.888,32.375
289.863,32.406
290.889,32.406
292.162,32.438
292.885,32.469
293.860,32.469
294.884,32.438
295.859,32.438
296.882,32.469
298.104,32.469
298.905,32.562
299.857,32.562
301.078,32.656
301.856,32.688
302.888,32.688
304.003,32.719
304.878,32.750
306.197,32.781
306.876,32.750
307.852,32.781
308.879,32.719
309.872,32.688
310.874,32.625
311.854,32.594
312.873,32.625
313.848,32.625
314.921,32.625
315.858,32.688
316.871,32.719
317.894,32.781
