df_hash,22ZHK4.K83A0A
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.142G
person_label,v104
date_time_start,2026-03-02_13-09-09.015000_+03
date_time_start_unix,1772442549.015
date_time_end,2026-03-02_13-17-56.920000_+03
length_difference_noticed,no

time,quality
8.038,100
8.820,100
9.793,100
10.922,0
11.845,0
12.674,0
13.893,0
14.777,0
15.645,34
16.865,0
17.836,0
18.618,38
19.839,28
20.713,0
21.614,0
22.855,0
23.763,35
24.905,1
25.785,0
26.758,31
27.587,35
28.760,27
29.910,39
30.561,49
31.731,52
32.902,51
33.682,56
34.705,21
35.631,18
36.509,18
37.682,26
38.615,22
39.484,23
40.710,29
41.579,27
42.699,47
43.723,43
44.555,28
45.430,0
46.694,0
47.526,0
48.478,0
49.668,0
51.044,57
51.767,78
52.739,43
53.571,0
54.400,19
55.572,27
56.500,34
57.665,34
58.545,40
59.473,52
60.393,55
61.532,61
62.443,48
63.321,54
64.540,24
65.445,31
66.296,41
67.560,45
68.443,48
69.319,63
70.536,70
71.365,76
72.296,75
73.486,78
74.340,80
75.267,82
76.443,77
77.359,78
78.482,80
79.467,79
80.335,74
81.215,55
82.626,53
83.312,45
84.433,42
85.406,40
86.283,39
87.407,53
88.550,65
89.306,77
90.426,84
91.354,85
92.526,72
93.111,66
94.722,16
95.206,100
96.133,100
97.327,53
98.372,73
99.147,64
100.274,0
101.297,35
102.221,0
103.250,18
104.174,0
105.080,0
106.267,0
107.148,33
108.026,22
109.244,20
110.122,22
111.007,32
112.266,39
113.137,58
114.022,50
115.341,56
116.310,70
116.996,60
118.263,67
119.092,69
119.970,43
121.158,29
122.066,36
122.943,37
124.354,38
125.040,40
125.964,45
127.136,82
128.163,77
129.083,73
130.353,77
130.987,72
131.914,68
133.084,38
134.039,0
134.933,0
136.207,0
136.935,0
137.862,0
139.032,48
139.957,70
140.835,71
142.102,83
143.123,87
143.809,85
144.979,79
145.906,70
146.787,75
147.952,81
148.879,73
149.806,67
150.953,40
151.856,14
152.879,27
154.197,36
154.875,6
155.705,6
157.017,11
157.801,24
158.678,35
159.942,43
160.774,43
161.750,35
162.920,0
163.794,5
164.627,11
165.845,9
166.725,27
167.673,49
168.863,64
169.695,69
170.572,73
171.886,53
172.670,46
173.701,44
174.766,46
175.837,0
176.569,0
177.884,4
178.616,22
179.545,0
180.905,32
181.640,22
182.519,20
183.781,32
184.615,26
185.536,24
186.660,28
187.593,38
188.466,38
189.634,37
190.609,40
191.438,18
192.751,28
193.583,22
194.413,28
195.630,33
196.650,32
197.387,24
198.655,34
199.525,23
200.405,18
201.578,22
202.745,53
203.576,62
204.564,63
205.447,55
206.357,33
207.526,30
208.405,31
209.330,30
210.501,29
211.523,25
212.303,29
213.480,0
214.400,30
215.379,0
216.447,0
217.402,0
218.449,0
219.856,0
220.349,28
221.226,33
222.445,28
223.614,28
224.200,31
225.417,32
226.437,40
227.174,66
228.541,24
229.367,0
230.292,6
231.460,19
232.386,22
233.232,0
234.341,0
235.316,0
236.239,0
237.313,0
238.246,9
239.117,0
240.728,26
241.215,39
242.090,35
243.650,35
244.187,0
245.110,0
246.234,0
247.160,27
248.047,0
249.453,0
250.134,0
251.060,0
252.279,0
253.207,23
254.291,21
255.209,44
256.084,47
257.250,47
258.183,78
259.351,83
259.984,81
261.297,27
262.029,37
262.957,47
264.128,38
265.199,38
266.026,32
267.101,20
268.027,0
268.903,27
270.313,32
271.004,31
271.978,28
273.047,25
273.974,37
274.851,3
276.021,24
277.239,0
277.824,0
279.095,17
279.921,16
280.798,18
282.299,14
282.894,34
283.820,0
285.331,0
286.011,57
286.840,0
288.256,36
288.843,36
289.768,33
291.182,26
292.156,0
292.742,0
293.912,0
294.850,0
295.716,0
296.935,4
297.812,3
298.699,0
299.909,0
300.884,0
301.670,0
302.938,0
303.759,30
304.637,32
305.856,28
306.779,25
307.754,0
308.831,23
309.708,26
310.639,0
311.849,0
312.682,31
313.607,69
314.780,63
315.656,57
316.581,50
317.760,39
318.677,36
319.701,25
320.726,16
321.700,22
322.529,25
323.750,26
324.626,25
325.648,33
326.673,31
327.745,0
328.476,0
329.698,9
330.575,8
331.450,39
332.669,46
333.548,47
334.474,52
335.642,57
336.620,44
337.400,39
338.620,40
339.539,38
340.424,37
341.782,55
342.763,62
343.394,32
344.564,31
345.469,33
346.368,27
347.538,0
348.417,31
349.342,55
350.511,34
351.632,33
352.317,35
353.487,31
354.414,32
355.289,31
356.459,8
357.386,40
358.263,0
359.482,5
360.554,5
361.261,6
362.648,4
363.479,0
364.235,20
365.475,41
366.306,50
367.185,46
368.403,51
369.281,44
370.175,46
371.377,38
372.348,52
373.132,55
374.359,38
375.228,25
376.161,29
377.324,34
378.348,31
379.128,26
380.453,33
381.176,71
382.102,61
383.275,72
384.201,69
385.076,70
386.591,81
387.367,89
388.053,85
389.221,82
390.149,68
391.119,57
392.246,62
393.119,63
394.189,60
395.167,62
396.095,77
396.972,83
398.193,84
399.070,82
400.139,84
401.261,70
402.333,33
402.918,0
404.191,0
405.310,25
405.995,35
407.175,0
408.232,29
408.917,30
410.087,0
411.157,0
411.983,0
413.250,28
413.937,33
414.908,30
416.083,0
416.959,4
417.836,0
419.006,0
419.932,0
420.810,36
422.007,24
422.909,14
