df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,ppg_med
5.425,840
5.450,965
5.475,1164
5.500,1272
5.525,1230
5.550,1186
5.575,1302
5.600,1513
5.625,1594
5.650,1465
5.675,1327
5.700,1400
5.725,1596
5.750,1608
5.775,1331
5.800,1036
5.825,1021
5.850,1167
5.875,1062
5.900,567
5.925,48
5.950,-98
5.975,-31
6.000,-294
6.025,-1066
6.050,-1861
6.075,-2162
6.100,-2175
6.125,-2604
6.150,-3680
6.175,-4769
6.200,-5201
6.225,-5244
6.250,-5798
6.275,-7154
6.300,-8497
6.325,-8976
6.350,-8928
6.375,-9498
6.400,-11044
6.425,-12536
6.450,-12901
6.475,-12564
6.500,-12962
6.525,-14544
6.550,-16015
6.575,-16032
6.600,-15130
6.625,-15106
6.650,-16519
6.675,-17753
6.700,-17135
6.725,-15336
6.750,-14597
6.775,-15621
6.800,-16394
6.825,-14832
6.850,-11771
6.875,-10020
6.900,-10469
6.925,-10601
6.950,-7798
6.975,-3110
7.000,-88
7.025,123
7.050,701
7.075,4989
7.100,11657
7.125,16136
7.150,16909
7.175,18074
7.200,24024
7.225,32767
7.250,32767
7.275,32767
7.300,32767
7.325,32767
7.350,32767
7.375,32767
7.400,32767
7.425,32767
7.450,32767
7.475,32767
7.500,32767
7.525,32767
7.550,32767
7.575,32767
7.600,32767
7.625,32767
7.650,32767
7.675,22592
7.700,-32768
7.725,-32768
7.750,-32768
7.775,-32768
7.800,-32768
7.825,-32768
7.850,-32768
7.875,-32768
7.900,-32768
7.925,-32768
7.950,-32768
7.975,-32768
8.000,-32768
8.025,-32768
8.050,-32768
8.075,-32768
8.100,-32768
8.125,-32768
8.150,-27813
8.175,-20165
8.200,-17503
8.225,-17375
8.250,-14612
8.275,-8385
8.300,-2858
8.325,-1195
8.350,-1428
8.375,575
8.400,5528
8.425,10060
8.450,11409
8.475,10876
8.500,11677
8.525,14546
8.550,17043
8.575,17115
8.600,15812
8.625,15663
8.650,17238
8.675,18601
8.700,18105
8.725,16544
8.750,15879
8.775,16530
8.800,16963
8.825,15908
8.850,14048
8.875,12975
8.900,13023
8.925,12953
8.950,11739
8.975,9917
9.000,8757
9.025,8540
9.050,8290
9.075,7174
9.100,5570
9.125,4459
9.150,4125
9.175,3952
9.200,3424
9.225,2832
9.250,2738
9.275,3064
9.300,3128
9.325,2548
9.350,1746
9.375,1366
9.400,1441
9.425,1407
9.450,903
9.475,239
9.500,-50
9.525,90
9.550,206
9.575,-51
9.600,-509
9.625,-767
9.650,-744
9.675,-731
9.700,-965
9.725,-1313
9.750,-1483
9.775,-1424
9.800,-1371
9.825,-1513
9.850,-1745
9.875,-1830
9.900,-1725
9.925,-1638
9.950,-1761
9.975,-2011
10.000,-2098
10.025,-1815
10.050,-1219
10.075,-544
10.100,17
10.125,419
10.150,707
10.175,931
10.200,1120
10.225,1292
10.250,1415
10.275,1393
10.300,1290
10.325,1205
10.350,1196
10.375,1235
10.400,1248
10.425,1184
10.450,1057
10.475,915
10.500,790
10.525,672
10.550,533
10.575,366
10.600,198
10.625,58
10.650,-57
10.675,-180
10.700,-329
10.725,-482
10.750,-604
10.775,-703
10.800,-839
10.825,-1057
10.850,-1299
10.875,-1399
10.900,-1197
10.925,-691
10.950,-68
10.975,421
11.000,657
11.025,708
11.050,742
11.075,847
11.100,976
11.125,1019
11.150,946
11.175,840
11.200,812
11.225,884
11.250,973
11.275,983
11.300,896
11.325,778
11.350,699
11.375,664
11.400,621
11.425,536
11.450,425
11.475,328
11.500,254
11.525,169
11.550,49
11.575,-81
11.600,-176
11.625,-235
11.650,-321
11.675,-480
11.700,-649
11.725,-667
11.750,-400
11.775,115
11.800,679
11.825,1071
11.850,1224
11.875,1239
11.900,1251
11.925,1296
11.950,1307
11.975,1227
12.000,1099
12.025,1026
12.050,1056
12.075,1128
12.100,1141
12.125,1056
12.150,926
12.175,820
12.200,741
12.225,638
12.250,479
12.275,295
12.300,143
12.325,31
12.350,-82
12.375,-235
12.400,-401
12.425,-526
12.450,-613
12.475,-737
12.500,-955
12.525,-1196
12.550,-1270
12.575,-1020
12.600,-481
12.625,122
12.650,545
12.675,704
12.700,711
12.725,721
12.750,783
12.775,813
12.800,724
12.825,535
12.850,364
12.875,309
12.900,359
12.925,426
12.950,438
12.975,396
13.000,335
13.025,264
13.050,159
13.075,6
13.100,-164
13.125,-304
13.150,-402
13.175,-489
13.200,-582
13.225,-648
13.250,-639
13.275,-571
13.300,-542
13.325,-641
13.350,-826
13.375,-911
13.400,-711
13.425,-205
13.450,424
13.475,939
13.500,1227
13.525,1366
13.550,1497
13.575,1673
13.600,1812
13.625,1806
13.650,1647
13.675,1445
13.700,1317
13.725,1291
13.750,1299
13.775,1265
13.800,1174
13.825,1059
13.850,944
13.875,814
13.900,653
13.925,480
13.950,330
13.975,213
14.000,98
14.025,-49
14.050,-222
14.075,-385
14.100,-534
14.125,-706
14.150,-915
14.175,-1082
14.200,-1052
14.225,-726
14.250,-179
14.275,376
14.300,748
14.325,914
14.350,1002
